family,scenario,ratio,target,capacity,selected,status
boolean,A,20,780,3669,780,ready
boolean,B,20,780,3669,780,ready
boolean,C,20,780,3669,780,ready
boolean,D,20,780,1842,780,ready
boolean,E,20,780,3669,780,ready
boolean,F,20,780,3669,780,ready
union,A,20,780,1678,780,ready
union,B,20,780,1678,780,ready
union,C,20,780,1678,780,ready
union,D,20,780,864,780,ready
union,E,20,780,1678,780,ready
union,F,20,780,1678,780,ready
time,A,20,780,1186,780,ready
time,B,20,780,1186,780,ready
time,C,20,780,1186,780,ready
time,D,20,780,597,0,insufficient_pool
time,E,20,780,1186,780,ready
time,F,20,780,1186,780,ready
error,A,20,780,1036,780,ready
error,B,20,780,1036,780,ready
error,C,20,780,1036,780,ready
error,D,20,780,522,0,insufficient_pool
error,E,20,780,1036,780,ready
error,F,20,780,1036,780,ready
