id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,0,35,70,48,0,0,20,0,0,2,0,0,1,3,1,0,3,3,1,0,1,0,0,7,0.4687146544456482,0.5757552981376648,0.13124904036521912,4.144611835479736,17,2.910676956176758,2,7,2,0,1,0,2,0,0,0,R000011,9.118583860424557
CTGAN_000002,attack,boolean,203,16,24,57,0,0,8,4,0,2,0,0,0,0,0,0,0,0,3,0,0,2,1,38,0.09463685750961304,0.24476435780525208,0.20010493695735931,2.9271135330200195,23,2.571049690246582,8,7,1,0,1,1,2,0,1,0,R000030,6.7165881496933855
CTGAN_000003,attack,boolean,365,128,25,30,1,0,16,3,0,1,3,0,0,0,1,3,0,0,1,0,0,2,0,78,0.30309998989105225,0.5312202572822571,0.21018818020820618,3.550018072128296,0,3.0117318630218506,12,5,0,0,0,1,0,0,0,1,R000026,8.409560823600993
CTGAN_000004,attack,boolean,232,37,16,8,1,0,9,4,0,2,0,0,2,10,0,1,0,0,0,0,0,0,1,17,0.2869848608970642,0.3078218698501587,0.20357945561408997,3.6571292877197266,27,2.566490888595581,12,6,0,0,0,0,0,1,0,0,R000012,6.256817709656055
CTGAN_000005,attack,boolean,207,41,27,88,2,0,8,3,0,2,3,0,1,0,1,2,1,1,2,2,0,0,1,7,0.14960764348506927,0.5875720977783203,0.22977915406227112,3.842644691467285,12,1.444787621498108,6,6,2,0,0,0,2,0,2,0,R000015,7.83495572769627
CTGAN_000006,attack,boolean,38,59,18,81,0,0,18,0,0,2,2,0,2,11,1,0,2,0,0,0,0,0,1,0,0.26442858576774597,0.5050227046012878,0.19708222150802612,3.793309450149536,62,2.1966183185577393,9,4,2,0,1,0,1,0,1,1,R000012,6.918033948762568
CTGAN_000007,attack,boolean,76,24,23,51,6,0,0,2,2,2,0,0,0,1,0,0,0,3,1,0,0,0,1,31,0.15344172716140747,0.3594445586204529,0.2218039333820343,3.028165340423584,4,2.684979200363159,10,5,2,0,0,2,1,0,0,1,R000012,6.976023735027745
CTGAN_000008,attack,boolean,68,107,37,173,2,0,40,0,2,1,1,0,0,0,0,0,3,0,2,0,0,0,0,24,0.3174029588699341,0.44653406739234924,0.09379126876592636,3.4692726135253906,38,3.292269229888916,2,4,1,0,1,2,3,1,1,0,R000031,8.955955402111197
CTGAN_000009,attack,boolean,12,0,20,74,1,0,16,3,0,2,2,0,0,3,0,2,1,2,1,0,0,0,1,0,0.14470164477825165,0.26708436012268066,0.16504743695259094,3.2694010734558105,22,2.9509284496307373,5,2,1,0,1,1,3,1,0,0,R000019,6.322531784342454
CTGAN_000010,attack,boolean,173,130,21,107,0,0,18,5,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,18,0.195704847574234,0.32844090461730957,0.11274144053459167,3.5351858139038086,1,2.3423264026641846,3,5,1,0,0,0,2,2,0,0,R000009,6.00071266949937
CTGAN_000011,attack,boolean,334,56,48,0,2,1,5,0,0,1,3,0,0,6,0,1,0,1,2,2,0,0,0,47,0.45676493644714355,0.4774068593978882,0.09712666273117065,1.9063332080841064,51,3.0236034393310547,7,6,0,0,2,0,0,0,0,0,R000011,8.57906272204082
CTGAN_000012,attack,boolean,139,92,2,89,0,0,14,0,0,3,0,0,2,5,0,0,2,0,1,0,0,0,0,9,0.12741318345069885,0.4564496874809265,0.10347679257392883,2.868042469024658,111,1.6314506530761719,10,3,0,0,3,2,1,0,0,0,R000011,7.851400586911045
CTGAN_000013,attack,boolean,66,13,21,133,1,0,33,2,2,2,3,2,1,1,0,0,0,0,0,2,1,0,1,17,0.04792068153619766,0.5043380260467529,0.18982720375061035,3.9837684631347656,11,1.5453295707702637,7,5,1,0,0,1,0,0,0,0,R000031,6.998706826001623
CTGAN_000014,attack,boolean,344,0,90,62,3,0,13,0,2,2,2,0,0,0,3,0,0,0,2,1,0,2,0,49,0.4559616446495056,0.45111608505249023,0.1358005851507187,3.2342312335968018,1,1.6401712894439697,0,2,1,0,0,1,0,0,0,1,R000011,8.229522208026374
CTGAN_000015,attack,boolean,371,71,10,75,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,6,0.0784301608800888,0.39669838547706604,0.19365781545639038,3.884096622467041,87,2.0802505016326904,20,6,0,0,0,0,1,0,0,1,R000012,5.374512310692655
CTGAN_000016,attack,boolean,329,94,4,122,2,0,0,1,0,2,0,0,0,0,2,0,3,0,0,1,1,0,2,55,0.17508754134178162,0.49643540382385254,0.17584450542926788,3.6100480556488037,88,2.8922486305236816,6,7,0,0,2,0,0,0,1,1,R000031,8.444621573842088
CTGAN_000017,attack,boolean,200,61,0,101,0,0,2,9,0,2,4,0,0,1,2,1,0,0,0,2,0,0,1,0,0.1661733090877533,0.3082183003425598,0.10971014946699142,4.163973331451416,98,1.9940577745437622,17,3,2,0,0,0,0,0,0,0,R000009,7.515370238519238
CTGAN_000018,attack,boolean,151,14,17,91,2,0,9,0,0,2,1,1,0,0,0,0,0,0,1,3,0,1,1,13,0.06797587871551514,0.4449092149734497,0.1214171051979065,3.8832507133483887,12,1.8728349208831787,18,2,1,0,0,3,0,0,1,0,R000022,6.10448269043805
CTGAN_000019,attack,boolean,272,124,30,86,5,0,13,1,1,2,2,0,3,0,0,3,2,0,0,3,0,0,0,7,0.4799650013446808,0.3337615132331848,0.1572098582983017,3.434959650039673,43,2.5029211044311523,3,4,0,0,0,0,0,1,2,1,R000026,8.624882330285892
CTGAN_000020,attack,boolean,209,78,70,35,6,5,20,4,1,0,1,0,2,0,0,2,1,2,1,0,1,0,0,34,0.06376530230045319,0.2793332040309906,0.12744297087192535,3.1078929901123047,0,2.9958786964416504,6,1,0,0,0,0,2,0,0,1,R000021,8.41508903630421
CTGAN_000021,attack,boolean,323,27,44,15,1,0,3,0,0,2,2,0,0,6,0,3,0,0,0,2,1,0,0,24,0.13788750767707825,0.36220479011535645,0.08324166387319565,3.5754058361053467,59,2.20514178276062,15,8,0,0,0,0,0,0,0,1,R000026,7.294601379442032
CTGAN_000022,attack,boolean,229,98,6,22,7,0,0,3,0,2,3,0,0,14,3,0,1,0,0,0,0,0,0,15,0.03511197865009308,0.48650747537612915,0.13445816934108734,3.5683281421661377,120,1.7169222831726074,8,3,1,0,1,0,0,0,0,0,R000004,7.60021383691961
CTGAN_000023,attack,boolean,289,0,0,35,2,0,0,0,0,2,1,0,1,7,0,3,0,0,0,3,0,0,0,14,0.07331595569849014,0.26750293374061584,0.11341542750597,3.445706367492676,84,2.774653673171997,5,1,0,0,0,1,0,0,2,1,R000008,7.288022628356812
CTGAN_000024,attack,boolean,76,33,27,46,5,5,53,2,0,2,0,0,1,0,1,1,0,1,0,0,2,2,0,50,0.20442919433116913,0.5286669135093689,0.11105749011039734,3.38397479057312,6,2.681147575378418,4,4,0,0,2,0,2,2,0,0,R000028,8.534053550622652
