id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,error,207,72,52,101,4,1,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,20,0.14367538690567017,0.42589348554611206,0.1335621029138565,4.488099098205566,68,2.028777599334717,16,3,0,1,0,0,0,0,1,1,R000028,6.2336394030570705
CTGAN_000002,attack,error,295,23,57,50,2,0,26,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,51,0.10397060215473175,0.44519397616386414,0.09170547127723694,3.7894718647003174,48,1.735790729522705,13,2,0,0,0,0,0,0,0,1,R000031,6.520042615129716
CTGAN_000003,attack,error,262,139,0,144,0,0,40,4,0,2,1,0,0,3,2,0,0,1,3,0,0,2,1,8,0.20266367495059967,0.3569755554199219,0.1484883576631546,4.119937419891357,65,2.9428791999816895,12,2,0,0,0,1,3,3,0,1,R000023,8.299886785921018
CTGAN_000004,attack,error,256,91,40,145,3,0,13,0,0,3,0,1,0,12,0,0,0,0,0,0,0,1,0,30,0.08883883059024811,0.45444247126579285,0.20664040744304657,4.522632598876953,101,1.958583116531372,9,3,0,0,0,1,2,1,0,1,R000022,6.9585753535416215
CTGAN_000005,attack,error,349,46,47,119,1,0,6,0,0,3,0,2,2,3,0,0,0,2,1,0,0,0,0,9,0.19180315732955933,0.4361375868320465,0.1414879411458969,3.663095235824585,84,2.399597644805908,17,2,0,0,0,0,1,2,1,1,R000030,7.372333462457232
CTGAN_000006,attack,error,228,56,28,110,5,0,9,3,0,2,3,3,1,0,2,1,0,1,4,0,0,0,0,44,0.09600604325532913,0.4017263352870941,0.13439510762691498,3.197606325149536,103,2.7667131423950195,22,6,0,0,0,0,1,3,3,1,R000023,9.32828071554123
CTGAN_000007,attack,error,309,94,29,159,4,0,21,5,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,43,0.21047906577587128,0.4143727421760559,0.1491607427597046,4.199711799621582,62,3.1946425437927246,16,7,0,0,0,1,0,0,0,1,R000023,6.31591169656136
CTGAN_000008,attack,error,248,110,30,135,3,0,30,0,0,2,2,0,0,1,1,0,0,0,5,0,0,1,0,60,0.12219386547803879,0.40331757068634033,0.080659881234169,3.7191784381866455,64,2.458888530731201,15,12,0,1,0,0,3,2,0,1,R000023,6.73407899298433
CTGAN_000009,attack,error,215,49,46,71,4,0,22,3,0,4,0,0,0,0,2,0,0,0,1,0,0,1,0,19,0.10262148082256317,0.4467414319515228,0.1971096247434616,4.242015361785889,51,2.5771262645721436,6,2,0,1,0,0,0,1,0,1,R000018,7.185441437356118
CTGAN_000010,attack,error,324,15,9,120,0,3,19,6,0,2,2,3,0,0,0,1,0,1,0,0,0,3,0,57,0.19759634137153625,0.32230886816978455,0.1002393364906311,4.3589301109313965,56,2.299868106842041,10,9,0,0,0,0,0,1,2,1,R000017,8.154004810197506
CTGAN_000011,attack,error,204,105,49,148,0,0,26,1,2,2,1,0,1,4,0,0,0,1,0,0,1,0,1,84,0.17410264909267426,0.4624931514263153,0.1405809372663498,4.033071517944336,109,2.4588623046875,15,5,0,0,0,0,0,1,0,1,R000016,6.559972404464923
CTGAN_000012,attack,error,305,70,29,99,3,1,6,2,0,2,1,1,0,2,3,3,0,0,1,1,0,0,0,36,0.13007184863090515,0.3624782860279083,0.12820908427238464,3.6521096229553223,83,2.091341257095337,19,2,0,1,0,0,0,0,3,1,R000015,7.8272131051975276
CTGAN_000013,attack,error,172,89,31,115,5,1,33,6,0,1,1,0,0,20,3,3,1,2,0,1,0,2,0,59,0.15242891013622284,0.29758602380752563,0.1217322126030922,3.6478376388549805,21,1.5965834856033325,17,9,1,1,0,0,0,0,3,1,R000012,9.179244796619958
CTGAN_000014,attack,error,333,85,37,118,0,1,24,2,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,38,0.17626991868019104,0.4360622763633728,0.09398697316646576,4.289450168609619,43,2.1726937294006348,11,8,2,0,0,1,0,1,1,1,R000026,7.2797890277969035
CTGAN_000015,attack,error,225,96,57,123,6,0,16,2,1,3,0,0,0,19,0,0,0,0,0,0,0,3,1,64,0.19950991868972778,0.3984191119670868,0.14856605231761932,4.05007791519165,64,2.6430509090423584,13,5,0,3,0,0,2,3,0,1,R000006,7.572464903356921
CTGAN_000016,attack,error,183,126,26,115,2,1,27,2,3,2,0,0,1,0,1,0,0,0,0,0,0,3,0,31,0.07781440764665604,0.3397977650165558,0.12061649560928345,3.4052951335906982,48,2.7160799503326416,9,17,0,0,0,1,0,3,0,1,R000006,7.671888934519453
CTGAN_000017,attack,error,268,90,33,64,2,0,14,3,0,2,1,0,0,16,0,0,0,0,0,0,0,2,0,17,0.09798721969127655,0.36257821321487427,0.11760234087705612,3.2140121459960938,33,2.8061351776123047,6,14,0,0,0,0,0,0,0,1,R000030,6.3250219196759865
CTGAN_000018,attack,error,308,118,14,92,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,59,0.14818868041038513,0.42507532238960266,0.11085954308509827,4.147833347320557,69,2.873734712600708,7,13,0,2,0,1,2,1,2,1,R000006,7.446125262281071
CTGAN_000019,attack,error,350,90,86,151,3,0,27,5,0,2,1,0,0,2,0,3,0,0,0,0,0,1,2,53,0.1938105672597885,0.39241158962249756,0.1586749255657196,4.2716803550720215,69,3.245105504989624,19,12,0,0,0,0,0,0,0,1,R000023,7.0418350411401125
CTGAN_000020,attack,error,177,72,30,137,2,3,20,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,35,0.11170294135808945,0.2986912131309509,0.12016990035772324,4.196285247802734,65,2.4877257347106934,15,9,0,0,0,0,0,0,0,1,R000006,5.461726398910236
CTGAN_000021,attack,error,179,77,36,158,4,0,22,3,0,2,0,1,0,23,0,0,0,0,1,0,0,2,0,48,0.14393846690654755,0.33459532260894775,0.11286447942256927,4.320162296295166,37,2.0992767810821533,15,1,0,2,0,0,0,1,1,1,R000006,6.298527743030253
CTGAN_000022,attack,error,360,101,65,152,1,0,35,2,0,2,1,0,0,15,0,0,0,0,0,0,0,1,0,47,0.14417588710784912,0.40744203329086304,0.20131275057792664,4.379959583282471,98,3.2634501457214355,11,7,0,3,2,0,2,0,0,1,R000010,11.718468896068398
CTGAN_000023,attack,error,250,52,22,151,3,0,15,8,0,2,2,0,1,0,0,0,0,0,4,1,0,0,0,76,0.11157327890396118,0.42595696449279785,0.15556500852108002,3.762643337249756,38,3.0946714878082275,10,3,0,0,0,1,1,2,0,1,R000030,8.122435103017102
CTGAN_000024,attack,error,271,60,38,141,2,0,17,2,0,3,2,0,0,0,0,2,0,0,0,1,0,0,0,41,0.13699014484882355,0.41628730297088623,0.15514284372329712,3.978219747543335,58,2.65718936920166,12,5,0,0,0,0,1,1,1,1,R000030,6.276484155028689
CTGAN_000025,attack,error,161,108,49,97,7,0,26,5,0,0,0,0,3,4,2,4,0,0,0,0,0,1,0,37,0.1895110011100769,0.28309547901153564,0.159091979265213,3.2529873847961426,46,2.426952838897705,12,5,0,2,0,1,0,2,2,1,R000018,9.493094565854287
CTGAN_000026,attack,error,161,62,63,122,2,3,7,0,0,2,0,0,0,0,1,3,0,0,0,0,0,3,0,35,0.08272062242031097,0.4262556731700897,0.14779701828956604,4.4402313232421875,61,2.234703779220581,10,10,0,0,0,2,0,0,0,1,R000015,7.517098251580171
CTGAN_000027,attack,error,359,81,28,79,2,0,23,5,1,2,2,1,0,11,1,1,1,0,0,0,0,2,2,18,0.1743936538696289,0.37013718485832214,0.14881816506385803,3.2492923736572266,68,2.336874485015869,11,2,0,0,0,0,3,3,0,1,R000031,7.3178996078539065
CTGAN_000028,attack,error,350,48,15,71,4,0,20,0,2,0,2,0,1,23,0,0,0,0,1,1,0,1,0,79,0.11762183904647827,0.29764610528945923,0.1784840077161789,3.728421211242676,30,1.9468635320663452,18,13,0,0,0,0,0,3,0,1,R000006,9.43350721842251
CTGAN_000029,attack,error,257,66,42,127,1,0,23,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0.09233298897743225,0.45932286977767944,0.12023364752531052,4.534842491149902,28,2.3838322162628174,12,6,0,2,0,0,2,3,0,1,R000028,8.285512141403444
CTGAN_000030,attack,error,265,130,26,74,5,1,27,5,0,2,1,0,0,11,0,0,0,2,1,0,0,1,0,54,0.12675964832305908,0.34000810980796814,0.16667145490646362,3.9790828227996826,38,1.4565095901489258,19,9,0,0,0,0,0,1,0,1,R000006,5.5711447385094734
CTGAN_000031,attack,error,339,112,59,139,1,6,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,46,0.17504246532917023,0.4265729486942291,0.20013603568077087,3.240112066268921,74,1.7084197998046875,8,3,0,0,0,0,3,0,0,1,R000027,7.572227199622697
CTGAN_000032,attack,error,224,45,65,139,0,1,29,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,38,0.200973242521286,0.33216628432273865,0.12462881207466125,4.416208744049072,54,2.6238808631896973,18,3,0,1,0,0,3,0,3,1,R000028,7.606476976553382
