id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,61,15,0,34,0,0,2,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,1,8,0.3621795177459717,0.40862777829170227,0.10741012543439865,4.229216575622559,25,3.131392478942871,8,3,2,0,0,1,0,0,0,0,R000063,6.892965611768959
CTGAN_000002,attack,time,82,4,1,37,2,0,10,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,9,0.00885993242263794,0.3770597577095032,0.13799306750297546,3.692744016647339,16,2.460385322570801,10,2,0,0,0,1,0,0,0,0,R000073,6.434626426905083
CTGAN_000003,attack,time,73,33,4,52,0,6,6,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,8,0.08519978076219559,0.3055665194988251,0.10417160391807556,3.529616117477417,19,2.479395866394043,9,3,0,1,1,1,3,3,0,0,R000068,7.387741519032879
CTGAN_000004,attack,time,67,25,6,19,3,0,2,0,1,1,0,2,0,0,2,0,0,3,0,0,0,0,1,13,0.33225730061531067,0.5162950158119202,0.2309374064207077,4.385382175445557,25,2.25007963180542,5,6,1,2,0,0,2,0,0,0,R000016,8.409977885990266
CTGAN_000005,attack,time,95,11,16,36,1,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0.056207895278930664,0.33057665824890137,0.1084131971001625,3.221682548522949,17,2.804828405380249,6,3,0,0,0,0,1,0,0,0,R000009,6.7670007736940265
CTGAN_000006,attack,time,61,10,12,34,0,0,5,0,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,13,0.022990599274635315,0.5676032900810242,0.16781482100486755,2.965914249420166,19,1.6095325946807861,7,3,0,0,0,1,1,3,3,1,R000024,7.637600614098192
CTGAN_000007,attack,time,85,28,18,31,0,1,3,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,9,0.0,0.400505006313324,0.12109925597906113,3.571315288543701,24,2.4452080726623535,7,4,0,0,0,0,0,0,0,0,R000069,5.646986166029896
CTGAN_000008,attack,time,68,31,0,66,0,5,6,0,1,1,0,0,2,0,1,2,1,0,0,0,0,0,1,9,0.26048555970191956,0.5838497877120972,0.08108852803707123,2.720264196395874,19,1.5192548036575317,9,3,2,2,1,0,3,1,0,1,R000017,9.895359620945175
CTGAN_000009,attack,time,59,13,8,31,0,0,5,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,7,0.010546756908297539,0.3699623644351959,0.1252933144569397,4.064728260040283,22,1.5910706520080566,4,3,2,0,0,3,0,1,0,0,R000018,6.779912825744499
CTGAN_000010,attack,time,100,2,3,17,1,0,4,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,6,0.15785399079322815,0.41557496786117554,0.15301533043384552,3.93410587310791,22,2.981048107147217,4,3,1,1,0,0,0,0,2,0,R000065,7.049750374344027
CTGAN_000011,attack,time,62,27,5,29,0,0,1,0,0,1,1,1,2,0,0,0,0,2,1,0,0,0,0,14,0.19184844195842743,0.3415159285068512,0.1186264306306839,3.9155941009521484,24,2.7244462966918945,7,3,0,0,0,0,0,0,0,0,R000045,5.866847586484084
CTGAN_000012,attack,time,80,14,12,44,0,0,8,1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,7,0.06141352653503418,0.291005402803421,0.14001145958900452,3.309476613998413,22,2.1009576320648193,9,3,2,0,1,0,1,0,2,0,R000009,6.544915459160753
CTGAN_000013,attack,time,53,19,35,27,2,0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,5,0.07476057857275009,0.5485862493515015,0.07982812821865082,3.451855182647705,13,2.0444328784942627,7,3,2,0,1,2,0,0,3,0,R000064,7.240137744239169
CTGAN_000014,attack,time,94,25,5,40,3,0,3,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,5,0.121699258685112,0.27676141262054443,0.07520236819982529,4.228981018066406,20,2.585508346557617,5,3,0,0,3,0,0,0,1,0,R000007,6.700989210633879
CTGAN_000015,attack,time,65,24,18,28,0,0,12,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,13,0.23124989867210388,0.44724971055984497,0.09297744184732437,3.8872923851013184,23,2.2490687370300293,6,3,4,1,3,0,1,3,0,0,R000023,8.140416784087584
CTGAN_000016,attack,time,59,41,22,36,1,0,11,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,10,0.0,0.5252183675765991,0.13624288141727448,3.1641321182250977,22,1.8166025876998901,5,5,0,0,2,0,0,3,0,1,R000054,7.761444396555418
