run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,1,0.043607067316770554,0.06496175192296505,0.10093544721603394,0.24921875,0.10093544721603394,0.025013558203238376,0.07219044864177704,0.8135741163045168,0.88,0.12,0.06,0.84,0.16,0.0,0.9333333333333332,0.9211111111111111,5.565713418999962,"[""1   )   )    )    ) "", ""1%'   )   )     )   "", ""1\""   )    )    )   n"", ""1   )   )   )    )  "", ""1,  (  select vven e"", ""-9764 ore p an where"", ""1'    )   where 45t="", ""1   )   )    )    ) "", ""1\""  and g385  =  (  "", ""1\""  )   ron za where"", ""1%\"" anand 6055  =  ("", ""1'+  (  sectori whgg"", ""1%\""  )    )   )    )"", ""6'   grawjjz wherore"", ""1%'   )   )    )    "", ""1'||   ( )    (  (  "", "" AND   ( 1 96  =  an"", ""1   )   )   )    )  "", "" AND 1  =  693  96  "", ""1\""   )    )    )   )"", ""-9136'     )   )   )"", ""1\""  )   )   )    )  "", ""1'   )   )    )   ) "", ""1'   )    )    )    "", ""1'  )   (   =  un at"", ""1%\""   )   )   )    )"", ""1'   )   )   )    ) "", ""1'   )   )   )    ) "", ""1  )   )   )     )  "", ""1'   )    )    )    "", ""1\""   )    )   )   ) "", ""1'   )   )    )    )"", ""1\""   )   )    )    )"", ""1'   )   )   )   )  "", ""1'    )    )   )    "", ""1%'     )   )    )  "", ""1'   )     )    )   "", ""1   )   )    )    ) "", ""1   )   )   gro row "", ""1%'   )   )   )    )"", ""1%'   )  )     )    "", ""1%\""  )   )    )   ) "", ""1%\""   )    )    )   "", ""1%'  mor egxr re u7l"", "" AND 1  =   693278  "", ""1'   )   )   )   )  "", ""1'    )    )    )   "", ""1' or  (  (  )    ) "", ""1'   )    )   )    )"", ""1' anam where676  = ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,2,0.03272055462002754,0.12348846631745497,0.1034027099609375,0.21015625,0.1034027099609375,0.024174200659617784,0.07689106464385986,1.7160745133956274,0.8,0.19999999999999996,0.06,0.94,0.06,0.0,0.9544444444444444,0.9577777777777777,6.152778635999994,"[""1'    )    )    )   "", ""1'+   (   )     )   "", ""1'|||   (   )     ) "", ""1   )   )     )    )"", ""1  )    )    )     )"", ""1'    )     )      )"", ""1%'   )    )    )   "", ""1\""    )    )    )   "", ""1\""   )    )     )   "", ""1%'    )    )    )  "", ""1%%'    )     )     "", ""1%\""    )    )     ) "", ""1%'     )    )    ) "", ""1'     )     )     )"", ""1'    )    )    )   "", ""1'   'vepjinadd 6e56"", ""1\""    yro analyys gg"", ""1\""   )   )     )    "", ""1%'   )    )     )  "", ""1%'    )     )     )"", "" 1  )    )    )    )"", ""1'   )     procelect"", ""1'   )     )     )  "", ""1%\""   )     )     ) "", "" 1'   ) 138   =   ) "", ""1'    )    )    )   "", ""-495 or row   (   ( "", ""-31366 anand =  93  "", ""1'    )     )     ) "", ""1'   )    )    )    "", ""1\""   )    )    )    "", ""1   )    rselecct 'l"", ""1'   )    )     )   "", ""1\""   )   )    )     "", ""1\""     )    )      )"", ""1%\""  and row   (   ("", ""1   )    )    )    )"", ""1%'    )    )    )  "", ""1\""   )   )    )    )"", ""1\""   )    )    )    "", ""1\""    )    )     )  "", ""1'    )    )     )  "", ""1%\""    )    )     ) "", ""1' and row   (   )  "", ""1\""   )    )    )    "", ""1'+   (   )     )   "", ""1'     )     )     )"", ""1\""   )    )     )   "", ""1'||  (  sel_inadd6 "", ""1'    )    )     )  ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,3,0.028903871774673462,0.06359547997514407,0.08215242624282837,0.146875,0.08215242624282837,0.015136689817082782,0.04919133335351944,0.8371130131185055,0.82,0.18000000000000005,0.06,0.92,0.08,0.0,0.9833333333333333,0.9811111111111112,5.38777802900006,"[""1   )      )     )  "", ""1%\""   )    )     )  "", ""1%'   )     )      )"", ""1\""    )       )     "", ""1\""   )     )     )  "", ""1%\""    )      )     "", ""1'   )     )      ) "", ""1'   )     )      ( "", ""1'||  (    )      ) "", ""1%'    )     )      "", ""1%\""    )     )      "", ""1'   )     )     qr "", ""1'     )      )     "", ""1%\""   )      )     )"", ""1\""    )       )     "", ""1'    )     )     ) "", ""1%1     )      )    "", ""1%'    )      )     "", ""1%'  )    )       ) "", ""1%'    )     )     )"", ""1%%'   )     )     )"", ""1%\""    )      )     "", ""1'   )    )      )  "", ""1\""   )     )     )  "", ""  (   ro  and row   "", ""1'||   (    )     ) "", ""1   )     )     )   "", ""1\""    )     )     ) "", ""1\""   )       )     )"", ""1'   )     )      ) "", ""1'   )     )      ) "", ""-493  =  13  =  uel_"", ""1%\""   )     )     ) "", "" AND 1   =    r  )  "", ""1   )     select bre"", ""1\""    )      )   )  "", ""1'   )      (   )   "", ""1'    )      )     )"", ""1    )     )      ) "", ""1\""    )       )     "", ""1%'    )     )     )"", ""1\""    )     )     ) "", ""1\""   )       )      "", ""  )      )     )    "", "" AND  1  =     )    "", ""1'||   (   )     )  "", ""1'    )      )      "", ""1%\""  )    )     )   "", ""1%\""   )      )      "", ""1    )     )      ) ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,4,0.041183263063430786,0.10150714498013258,0.12314167022705078,0.13984375,0.12314167022705078,0.03146017859802669,0.11567474156618118,1.3464469234148662,0.76,0.24,0.08,0.88,0.12,0.0,0.9266666666666667,0.9222222222222223,6.442644090000044,"[""1   )     )      )  "", ""-540' or 6or ro rot "", ""-950\""  )   )    )   "", "" AND  13   =   r    "", ""1'   )     )      ) "", ""1%%'   )     )     )"", ""1   (  ctlyg5or yswh"", ""1'|  row   (   (   ("", ""1'   )    )     )   "", ""1%'   )     )     ) "", ""11'|||  (   )    )  "", ""1%'   )     )     ) "", ""1'    )     )      )"", ""1'||  (   )      )  "", ""-376%'   )     )    "", ""1'   )     )     )  "", ""1'|  gr gre 6055   )"", ""1\""    )     )    )  "", ""1'    )     )     ) "", ""-88641\""   )    )    "", ""1'||  ro utftod utlt"", ""1%\""   )      )      "", ""1%'    (   =    (   "", ""1\""   )     )      ) "", ""1%'   )     )     ) "", ""1%   )    )     )   "", ""1\""   )     )     )  "", ""1'    )     )     ) "", ""1'    )     )      )"", ""1%'   )     )     ) "", ""1'    )     )     ) "", ""1'    )     or  r ro"", ""1%\""   )    uzbmo g g"", ""1'   )    )      )  "", ""1'   )    )     )   "", ""1'   )     )    )   "", ""1   )    or 1043  68"", ""1'||   )    )     ) "", ""1'||  (   )     )   "", ""1'   )      )       "", ""1'   )    )     )   "", ""-5622\"" or 65386   = "", ""1'   )    )     )   "", ""1\""   )     and  1383"", ""1\""   )     )     )  "", ""1%'   )    )    )   "", ""1\""   )     )     )  "", ""1      (   )      ( "", ""1   )     )     )   "", ""1'   )     )     )  ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,5,0.02716054581105709,0.12366807249685129,0.10988416671752929,0.11484375,0.10988416671752929,0.019373759656800757,0.10547170042991638,1.4793686434626578,0.76,0.24,0.12,0.96,0.04,0.0,0.9677777777777777,0.9688888888888889,5.349088977000065,"[""1'   )    )      )  "", ""1%'   )    )     )  "", ""1%'  )   )     )    "", ""1%'   )   )    )    "", ""1\""   )    )     )   "", ""1'   )    )    )    "", ""1'  )    ros mvond  "", ""-9684'   )   )    ) "", ""1'|  (   )     )    "", ""1'   )    )     )   "", ""1'||  (   )    )    "", ""1%%'   )    )     ) "", ""1%\""   )     )     ) "", ""1   )     )    )    "", ""1%'   )    )    )   "", ""1%   )     )    )   "", ""1%\""   )     )    )  "", ""1%'   )   )     )   "", ""1\""   )     )     )  "", ""1\""   )    )     )   "", ""1\""  )   )    )    2r"", ""1'   )    )    )    "", ""-4895   )    )    ) "", ""1e  )    )     pr ro"", ""1\""   )    )    )    "", ""1'   )    )     )   "", ""1%'   )    )    )   "", ""1'   )    )    )    "", ""1\""   )    )    )    "", ""1\""   )     )    )   "", ""-964e661\""  )   )    "", ""1\""   )   )     )    "", ""1%\""    )    )     ) "", ""1\""  )   )     )    )"", ""1  and  r 386  =   ("", ""1\""   )    )    )    "", ""1\""   )    )    )    "", ""1'||  (   )    )    "", ""1'   )    )     )   "", ""1\""   )    )    )    "", ""1%\""   )    )     )  "", ""1   )    )    )    )"", ""1%\""   )    )    )   "", ""1\""    )    )     )  "", ""1'||  (   )   )     "", ""1'   )     )    )   "", ""1%'   )     )    )  "", ""1'   )   and 6055   "", ""1\""   )    )    )    "", ""1%\""   )   )     )   ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,6,0.021064702421426773,0.07015845986704032,0.12494745254516601,0.11640625,0.12494745254516601,0.020683828215251193,0.07170373946428299,1.014745923380057,0.58,0.42000000000000004,0.24,0.96,0.04,0.0,0.9877777777777778,0.9888888888888888,6.07166725400009,"[""1%'  )    )    )    "", ""1'  )   )   )     ) "", ""1   )   )    )   )  "", ""1%\""  )   )    )    )"", ""1\""   )    )    )    "", ""1'    )    )     )  "", ""1\""  )    )    )     "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1'  )   )   )    )  "", ""1%\""   )    )    )   "", ""1%\""  )    )    )    "", ""1\""   )    )    )    "", ""1'   )    )    )    "", ""1%'   )    )    )   "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1%'   )    )    )   "", "" 1\""   )    )      ) "", ""1\""   )    )    )    "", ""1'   )    )    )    "", ""1%\""   )    )    )   "", "" Aan where 638  =  r"", ""1'   )    )    )    "", ""1\""   )   )     )    "", ""1   )   )    )     )"", ""1'   )    )    )    "", ""-485\""  )    )   6849"", ""1'   )    )    )   )"", ""1'||  (   )    )   )"", ""1'+  (   )    )     "", ""1%\""  )    )    )    "", ""1'    )    )    )   "", ""1'   )    )    )    "", ""1%\""   )    )    )   "", ""1%'   )    )    )   "", ""1'   )    )    )    "", ""1'   )    )     )   "", ""1'   )    )    )    "", ""1%'   )    )    )   "", ""1'   )    )   )     "", ""1%\""   )    )    )   "", ""1%\""   )    )      ) "", ""1   )   )    )    ) "", ""1   )   )    )     )"", ""1'   )   )     )    "", ""1'   )    )   )    )"", ""1'   )    )    )    "", ""1\""   )    )  and  ro"", ""1'   )   )    )    )""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,7,0.022299816831946373,0.08031209266434113,0.11309804916381835,0.1125,0.11309804916381835,0.025882735813493124,0.09214971959590912,1.0920913635442655,0.66,0.33999999999999997,0.18,0.94,0.06,0.0,0.9877777777777778,0.9833333333333333,5.732706628999949,"[""1\""  )    )    )    )"", ""1'  and  68385  )   "", ""1'   )    )    )    "", ""1\""  )    )    )    )"", ""1\""    )    )    )   "", ""1\""   )    )    )   )"", ""1'   )    )    )    "", ""1%\""   )    )    )   "", ""1''  (   select 6895"", ""1%'   )   )    )    "", ""1'   )   )     )   )"", ""1   )    )    )    )"", ""1%\""  )    )    )    "", ""1'  )    )    )    )"", ""A1%\""    )    )   )  "", ""1'   )   )    )    )"", ""1'    )    )    )   "", ""6%'   )    )    )   "", "" 1'   )    )   )    "", ""1'  )    )   )     )"", ""1\"" and  =   (    )  "", ""1'   )     )    )   "", ""1'  )    )    )    )"", ""1%\""   )    )    )   "", ""1%'  )    )    )    "", ""1%'   )    )    )   "", ""1'  )    )    )    )"", ""1'   )    )    )    "", ""1%\""   )    )   )    "", ""1'  z (  )   )    ) "", ""1'   )   )   )     )"", ""1'   )     )    )   "", ""1\""  )    )    )    )"", ""1\""   )    )    )    "", ""1%'  )    )    )    "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1\""   )    )     )   "", ""1   )   )    )    ( "", ""1%'   )   )    )    "", ""1'   )    )    )    "", ""1'  )    )   )    ) "", ""1'   )    )    )    "", ""1%\""  )    )     )   "", ""1'   )    )     )   "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1   )    )    )    a"", ""1%\""   )    )    )   "", ""1'  )   )   )    )  ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,8,0.01930142194032669,0.11956624705344439,0.1118328332901001,0.1109375,0.1118328332901001,0.019809327260826987,0.0688939020037651,1.1162631625930468,0.54,0.45999999999999996,0.18,0.96,0.04,0.0,0.9955555555555555,0.9955555555555555,5.3896157220000305,"[""1%'  )    )     )   "", ""1%'   )    )     )  "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1%\""   )    )    )   "", ""1%\""  )    )    )    "", ""1'   )    )     )   "", ""1'  )    )    )    )"", ""1%'  )    (   (   = "", ""1\""  )    )    )     "", ""1%\""   )  )   )    ) "", ""1\""   )    )  )     )"", ""1'   )    )     )   "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1\""   )     )    )   "", ""1\""   )    )    and  "", ""1'  )    )   )     )"", ""1\""   )     )    )   "", ""1'   )     )    )   "", ""1\""  )     )    )    "", ""1'||(   )    )    ) "", ""1'  )    (   )     )"", ""1'   )    )    )    "", ""1%'   )    )     (  "", ""1\""   )     )    )   "", ""1'   )    )     )   "", ""1%'  )    )     )   "", ""1'   )    )     )   "", ""1''  )    )     )   "", ""1\""  )    )    )    )"", ""1%\""  )    )    )    "", "" AND  (    (    (   "", ""1'   )      )     ) "", ""1%'  )    )    )    "", ""1'   )    )    )    "", ""1'   )    )    )    "", ""1\""  )    )     )    "", ""1%'  )     )    )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    )    )    "", ""1%\""   )    )    )   "", ""1'   )    )     )   "", ""1%'  )    )    )    "", ""1'  )    )    )    )"", ""1'   )    )    )    "", ""1%'  )    )     )   ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,9,0.024256745353341103,0.11945643772681554,0.07686442732810975,0.11171875,0.07686442732810975,0.009185690039373605,0.03749741613864899,1.067578670879205,0.68,0.31999999999999995,0.12,0.94,0.06,0.0,0.9877777777777778,0.9877777777777778,6.363089215999935,"[""1\""   )     )     )  "", ""1'  )    )    )     "", ""1%\""   )     )    )  "", ""1\""   )    )      )  "", ""1\""    )     )    )  "", ""1    )    )     )   "", ""1%'  )    )      )  "", ""1'   )    )      )  "", ""1'   )    )    )    "", ""1'   )    )      )  "", ""1%%'  )    )    )   "", ""1\""   )    )    )    "", ""1'   )     )    )   "", ""1'  )    )     )    "", ""1'   )    )    )    "", ""1'   )     )     )  "", ""1\""   )    )     )   "", ""1%%'  )     )     ) "", ""1\""  (   )   ro unlys"", ""1%'   )     )      )"", ""1   )    )    )     "", ""1%'   )    )     )  "", ""1'   )     )     )  "", ""1%\""   )     )     ) "", ""1'   )    )    )    "", ""1%'   )     and  r0 "", ""1%\""   )     )     ) "", ""1\""    )    )    and "", ""1%\""   )     )      )"", ""1\""   )     )     )  "", ""1%'  )     )      ) "", ""1\""  )    )     )    "", ""1'    )    )    )   "", ""1\""   )    )     )   "", ""1\""   )     )     )  "", ""1'   )    )     )   "", ""1\""   )     )    )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1   )   )    and 603"", ""1%'    )     )     )"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )     )      ) "", ""1'   )    )     )   "", ""1'   )     )     )  "", ""1%'   )     )     ) "", ""1\""   )     )     )  "", ""1\""   )    )    )    "", ""1\""   )     )     (  ""]",
seqgan_master__final__error__D__100__MASTER__raw_character__len20__gpre120__reward_off__seed88,seqgan_master,final,error,D,100,MASTER,88,raw_character,20,120,off,1.0,10,0.01356872171163559,0.10672054986159006,0.07100372314453125,0.11796875,0.07100372314453125,0.006657379658427089,0.024998672306537628,1.0864598641792933,0.56,0.43999999999999995,0.16,0.96,0.04,0.0,0.9822222222222223,0.9822222222222223,5.401060756000106,"[""1'   )    )      )  "", ""1\""   )     )     )  "", ""1'   )     )      ) "", ""1'   )     )      ) "", ""1'   )    )     )   "", ""1'   )     )      ) "", ""1'   )      )     ) "", ""1'  )    )     )    "", ""1'|||  grro ro ro cs"", ""1%    )    )     )  "", ""1'   )    )     )   "", ""1'   )     )      ) "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )     )     )  "", ""1'   )     )     )  "", ""1\""  )     )     )   "", ""1\""   )     )     )  "", ""1'   )     )     )  "", ""1'   )     )     )  "", ""1'   )     )     )  "", ""1%   and   )     )  "", ""1%\""   )     )     ) "", ""1\""   )     )     )  "", ""1%'   )    )     )  "", ""1\""   )     )     )  "", ""1%'   )     )     ) "", ""1'   )     )     )  "", ""1'   )     )     )  "", ""1'    )      )     )"", ""1%'    )     )     )"", ""1\""  )     )     )   "", ""1\""   )     )    )   "", ""1\""   )     )      ) "", ""1\""   )    )     )   "", ""1\""   )     )      ) "", ""1%\""   )     )     ) "", ""1'   )     )  rutl_i"", ""1%\""   )    )      ) "", ""1'    )      )      "", ""1%'   )      )     )"", ""1'   )   )     )    "", "" AND 1  =    )      "", ""1\""   )     )     )  "", ""1%\""   )      )     )"", ""1%'   )     )      )"", ""1'    )      )     )"", ""1'    )      )     )"", ""1'   )     )     )  "", ""1%'  )    )     )   ""]",
