label,payload,family,payload_type,method,run_id,sample_index
attack,"-5748""  8692#8391869286928692869286922869286925_2',86922S#869286928692869228692b869228692869258692869251#'9988,8692869258692869286928692869286925b8",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,0
attack,"-57483666""      8692  =#  54778692#869286928692869286928692869286928692869286928391  86928692869286928692869286928692723086927230869228391<# 869286928692#86923081--  # 5153#8692869286928692869286928692869286928692886928692869286920  8692S# #23348692869286928692  1vS86924373r<#""  8268  # 8692  =  11#869286928692    58708692#8692869286928692869286922334869286928692869286928692869286928692869286928692869228692869272308692869272308692?22334,869286928692,86928692869286928692723086928692869286922",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,1
attack,"-5748'  2774  =  =    8692  8692    =  8268    8692 8391,    2887#86928692869286928692869286928692869286928692S#869286925228113081",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,2
attack,"-5748""  #8692  8692  2887#8692869272308692869286924338869286928692869286928692c8692869286928692891441,86927230#8692869272305c52.c2272302249517     8702  =  =  #5145  =    =  =  869286928692869286928391    2887  82688692  # ,869286928692#86928692Rb  # selectselect \  1.#8692 4338    86928692  =8268    #r# select##869286928692869286928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,3
attack,"-5748""  16468692  =    2887#869286928692869286922446#869286928692869286922869286928702869214438692869288908692#c4#7230#8692869286922887#  1  8692  8692869286928692869286928692869286928692869286928692869286925#.86921845#869286928692    =  =    # 8692  =  #8692  1  ##86921  =  #  =  =  2887  8268  =  28878692  # 8692  =  869286928692  #   1#8692869286928692869286928692869286928692869286928692869286928692869286928692869286928692869286921441869286928692723086928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,4
attack,"-5748""  #8692869286928692  8268    #1  8268  =  =    =  #  8692  =  8268  =  =86921<8692869286928692869286928692869286928692869286928692869286928692869286928692869286928692869286923059869286928692869286928692null  # ,1839#86928692  =  2887  =    2887  # 11  2887  1#869286928692869286928692869233398692869286928692  # 8692869244818692869272302$86928692869286928692869286925756S## ?#8692 #86928692869286928692869286928692.#86922869286927230869286922.#869286928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,5
attack,"-5748'  8268  2887  2887  # 8692c86928692869286928692869286926962,869286922869286928692869286924266869286928692RS#",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,6
attack,"-5748""  8692  2887  =2887  8692  #86928692#2869237418692869286928692869286928692869286922,23348692v86928692869272308692869249658692869286928692586922869286923RS# 8692  =  =8268  86928692  =  =  8692,8692#    =    =2887    =  86928692# select869286928692  #  8692   1  =  8692#86928692869286927230869286928692869286928692869286922869286928692869286928692869233395  1839  8692#1,d  2887  8268##  # union  1#869286926021386928692869286920b86928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,7
attack,-5748 8692  =  #8692869233398692869272308692869286928692c869286928692869286928692869286924S#869286928692869286928692305986928692  =    2887  8268  8692# 8692  =    2887#86927230  2887  2887  =  =  8268    8692  # 233486928692869286928692869286928692869286929517#86928692869286928692869286928692,union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,8
attack,"-5748'86925c555748#86928692b  8692 869223348391#8692869228692869286928692#86922869286928692233486928692869260395870869286928692#O#869286928692869286928692869272308692508782688692528692  28878692524330RS# 2334,#869286928692286928692869286928692  8692869286928692869272308692<# select,86928099#86928692869272308692#86928692869286928692869286925925869242668692869286922149486928692286928692869222858692233486928692869218692869286928391#72308692869286928692869286928692869286928692511992137411839#86928692  =8692  ",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,9
attack,"-5748  =      8692#  1 +##869286928692  #  1  =  2887#8692869286928692869286928692869286928692869286928692869286928692586928692869286928692555222855.8979,'  #  =  11  #86928692869251538692b8692869286928692869286928692#8692869286928692869286927230869286922b86928692869286925.8692#7230869286925869214Sk',  2887  =  8268  =  =  8692 7230#8692869286928692869286928692869286928692869286928692869286928692286928692869286928692869286928  233486928692  8702#8692  ",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,10
attack,"-5748    8268  86928692869286928692869286928692869286928692869286928692select86928692#869286928692  5925869286928692869286928692869286928692486928692  86922869286922#.#869272308692869286927230869233398692869286928692233486925552286922&&.# 8692  8692  1#86928692869286928692869286928692869286924854869286928692869286924854286927230=8692869286928692869286928692d869286928231#28692  8692.  86928692 8692    #  # 374186928692#869286928692723086928692869286928692#8692826886928692#8692869237418692869286928692869286927460,",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,11
attack,-5748 8268  8692 #  5870      8692  =    =  #@ 869286925145869286928692869286928692869286922334869286928692723086927230#,union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,12
