run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,1,0.06223941221833229,0.30752829123226744,0.14497471455508057,0.29559748427672955,0.14497471455508057,0.028410837107512375,0.022782018408179283,2.191463478490816,0.84,0.16000000000000003,0.12,0.5,0.48,0.02,0.9788235294117646,0.9487581699346406,83.60372866199987,"[""1'   )    )     )   "", ""1'   )    )     )   "", ""select dbs_setrlue s"", ""1\""   )    )    and 4"", ""1'||  (  select )ro "", ""-4952%\"" order by ups"", ""-2783\""  )   where 83"", ""select   (  case whe"", ""1'  )   and   (  189"", ""1\""   )    )     )   "", ""1\""  )   where 100  ="", ""-5014'   )    )     "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'||  (  select 'xha"", "" select * from users"", "" or 1  =  like  (  5"", ""1\""   )    )    proce"", ""1  )   where 7958  ="", ""1%\""   )    )     )  "", ""\"" and 8514  =  1 #\"""", ""1'||  (  select 'sjv"", ""select * from users "", ""1  )   and 4249  =  "", ""1\""   )    )     )   "", ""1%\""   )    )     )  "", ""select bentsap"", ""-3256\""   )    )     "", ""1%\""  )   AND id fodl"", ""1'||  (  select 'ayw"", ""-6462\"" union all sel"", ""1  )   where 6035  ="", ""iif  (  4497  rom us"", ""1'   )    )     )   "", ""1'+  (  select norac"", ""1\""   )    )    as ea"", ""1'||  (  select 'cc "", ""1\""  )   as jlvcg ben"", ""1'  )   where 3509  "", ""1\""  )   and elt  (  "", ""1'||  (  select lert"", ""1\""   )   a  )  )   a"", ""1\""   )    )    rnd 8"", ""1'||  (  select 'lql"", ""1'   )    )    or 3 "", ""-5753\""  )   or 8572 "", ""-3116'   )    )     "", ""1%\""   )    )     )  "", ""1'   )    )     )   "", ""-5432\""   )    )     ""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,2,0.1073993369936943,0.31925040237940233,0.3599557442418073,0.26766091051805335,0.3599557442418073,0.046846783107993534,0.08805590122938156,2.062351382215536,0.8,0.19999999999999996,0.1,0.28,0.72,0.0,0.9877777777777778,0.9811111111111112,83.89215193500013,"[""1'   (  select   (  "", ""1'  )   and row  (  "", ""-8658' and   (  sele"", ""1%  )   union all se"", ""1%\""   )    )     )  "", ""1  )   or   (  selec"", ""select count  (  *  "", ""select   (  case whe"", "" select * from users"", ""select 1  (  case wh"", ""1'   )    )     )   "", ""1\""   )    )    or 42"", ""if  (  4831  =  9389"", ""1'   )    )     )   "", ""1' where 9931  =  27"", ""1'||  (  select 'yfi"", ""1'   )    )    and m"", ""select count  (  *  "", ""1%\""  )    )   rlike "", ""1' rlike sleep  (  l"", ""select count  (  *  "", ""1'||  (  select 'hfe"", ""1\""  )   rlike sleep "", ""1'   )    )     )   "", ""select   (  case whe"", ""select pg_sleep  (  "", ""1%\""  )   and sleep  "", ""1'||  (  select 'wbl"", ""1\""  )   where 4571  "", ""1'   )    )    as jk"", ""-7826'   )    )     "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'||  (  select 'pix"", ""1\"" and 6055  =    ( "", ""1,  (  select  (  in"", ""1\""   )    )    and q"", ""select count  (  *  "", ""1'||  (  select 'ssn"", ""1'+  (  select 'vhxz"", ""1\""  )   where 4804  "", ""1'  )   and elt  (  "", "" select * from users"", ""1   )    )    and 37"", ""select count  (  *  "", ""1' in benchmre where"", "", select dbmse when "", ""1' and 8407  =    ( "", ""1   )    )     )   a"", ""1%'  )   and 3103  =""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,3,0.08804285526275635,0.3021519346387251,0.2656524181365967,0.2671875,0.2656524181365967,0.03181425406859262,0.02653764933347702,1.8628708518143242,0.9,0.09999999999999998,0.08,0.52,0.48,0.0,0.9955555555555555,0.9855555555555555,83.70398598099973,"[""1\""   )    )    and u"", ""1'   )    )    and e"", ""1\""   )    )     )   "", ""1'   )    )    as dv"", ""-2205'  )   wher 438"", ""1'   )    )    as jl"", ""1'   )    )    as nh"", ""1'   )    )    and  "", ""1%\""   )    )     )  "", ""select count  (  1  "", ""-1540'   )    )    o"", ""-5135   )    )      "", ""-2085'   )    )    a"", ""1'   )    )      )  "", ""-3272\""   )    )     "", ""1'+  (  select cby u"", ""weep  (  5  )   and "", ""-9150'   )    )     "", "" select * from users"", ""-5563\""   )    )    a"", ""-2235\"" union all sel"", ""1\""   )    )    as pc"", ""1   )    )    and 75"", ""1'   )    )    and 2"", ""1%\""   )    )    and "", ""1\""   )    )    or el"", ""1  )   and elt  (  6"", ""1%'   )    )    and "", ""1\""   )    )    as oz"", "" select * from users"", ""select sleep  (  'an"", ""1'   )    )    or ch"", "" select * from users"", ""1'   )    )    and 3"", ""1\""  )   as sab where"", ""select count  (  *  "", ""1   )    )    and 85"", "" '  =  'abcts'  )   "", ""1'   )    )    as sg"", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )    as iz"", ""-1400   )    )    as"", ""1'+  (  select mrect"", ""1   )    )     )   a"", ""1'   )    )    as or"", ""1'  )   and sleep  ("", "" select * from users"", ""1'   )    )    and e"", ""select count  (  uni""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,4,0.0884791761636734,0.24928860033798445,0.25751614570617676,0.2546875,0.25751614570617676,0.02895433986344642,0.032573770731687546,1.5616004991193189,0.66,0.33999999999999997,0.18,0.66,0.34,0.0,0.9866666666666667,0.9766666666666667,81.33169352499999,"[""1%\""   )    )     (  "", ""1'   )    )     )   "", ""1   )    )     )   a"", ""1'   )    )     (  2"", ""1'   )    )     )   "", ""1  )   as ggi where "", ""select benchmark  ( "", ""1\""  )   and   (  sel"", ""1'   )    )     )   "", ""1'   )   as yncri wh"", ""1'   )    )     (  s"", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""select like  (  'adb"", ""1%\""   )    )     )  "", ""1%\"" and 5035  =  109"", ""1%'   )    )      ) "", ""1'   )    )     )   "", ""1\""   )    )      )  "", ""-5551   )    )     )"", ""1\""   )    )     )   "", ""1'||  (  select 'erl"", ""1   )    )    as fzl"", ""1'  )   and elt  (  "", ""1'   )    )    and e"", ""1   )    )     )   w"", ""-7087'   )    )     "", ""1'   )    )     (  s"", ""1\""   )    )     )   "", ""1   )    )     )   a"", ""select   (  case whe"", ""select count  (  *  "", ""1'   )    (  select "", ""1%\""   )    )     )  "", ""1'   )   waitfor dte"", ""-5905'   )    )    )"", ""1'   )    )     )   "", ""select dbms_lousp.re"", ""1'   )    )     (  s"", ""1'  )   and   (  sel"", ""1'   )    )     (  s"", ""1'  )   and 6055  = "", ""1'   )    )     )   "", ""select count  (  cas"", ""-6301'   )   or 5407"", ""1'   )    )     )   "", ""1' rl select lyke_se""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,5,0.07586892694234848,0.2811677690833173,0.34947543144226073,0.17109375,0.34947543144226073,0.050623988114418816,0.10832492262125015,1.5091503977916483,0.72,0.28,0.16,0.72,0.28,0.0,0.9830303030303029,0.9697979797979798,80.80992418599999,"[""1   )    )     (  se"", ""1\""   (  select   (  "", ""-3060'   )    )     "", ""1'   )    )    as hl"", ""\""%2\""heqs dis  (  sel"", ""1'+  (  select 'xpot"", ""1%'   )    )      ) "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )    as ay"", ""select coou   (    ("", ""1\""   )    )      )  "", ""1'   )    )     )   "", ""-6126'   )    )     "", ""1\""   )    )     )   "", ""1\""   )    )    as se"", ""1  )   union all sel"", ""1'   )    )      (  "", ""select count  (  *  "", ""1\""   )    )    and 3"", ""1'   )    )     )   "", ""1   )    )    as ijw"", "" select * from users"", ""end lif dutle"", ""select benchmar deri"", ""1\""   )    )     )   "", "" select * from users"", ""1\""   )    )    as nl"", ""1'   )    )      )  "", ""1'   )    )      )  "", ""1 where 3054  =  999"", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1%\""   )    )      ) "", ""1   )    )    as epe"", ""1\""   )    )    or sl"", ""1\"" or 8421  =  dbmse"", ""select count  (  *  "", ""1   )    )     )   a"", ""1\""   )    )      (  "", ""1\""   )    )    or el"", ""1\""   )    )    and 3"", ""1'||  (  select 'ftf"", ""1\""   )    )     )   "", ""1'   )    )     (  s"", ""1'   )    )    proce"", ""select count  (  *  "", ""1   )    )    as hei""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,6,0.08094213902950287,0.29238156765417567,0.28220572471618655,0.2328125,0.28220572471618655,0.03026288303897444,0.06805923581123352,1.4820583266358003,0.82,0.18000000000000005,0.06,0.52,0.48,0.0,0.9955555555555555,0.99,81.0996128920001,"[""select count  (  *  "", ""1%\""   )    )      ( "", ""1%\""   )    )    and "", ""1'   )    )    and 7"", ""-3210\""   )    )    o"", ""1%\"" union all select"", ""1'   )    )    or ch"", ""1\""   )    )    and  "", ""1   )    )    or 694"", ""select   (  case whe"", ""1'  )   and   (  sel"", ""1'||  (  select 'hlm"", ""1'   )    )    or 55"", ""1\""   )    )     )   "", ""1 or sleep  (  5  ) "", ""1'   )    )      )  "", ""1\""  )   where 4525  "", ""1   )    )    and el"", ""1\""  )   as yvct wher"", "" select * from users"", ""1   )    )    as xzv"", ""1\""   (  select   (  "", ""1 and row  (  select"", ""1\""   )    )    and 6"", ""select count  (  *  "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )    and  "", ""1\""   )    )    as fi"", ""1'   )    )    as ly"", ""select count  (  *  "", ""1'   )    )    as js"", ""1'   )    )    and  "", ""1%'   )    )      ) "", "" select * from users"", ""1'   )    )    as jt"", ""1'   )    )    as oa"", ""1\""   )    )    as rn"", ""select   (  case whe"", "" select * from users"", ""1'   )    )     )   "", ""1   )    )     )   a"", ""1\""   )    )    as wn"", ""1'   )    )    as dp"", ""1'   )    )     )   "", ""1\""   )    )      )  "", ""-7237\""   )    )     "", ""1%\""   )    )    or s"", ""1'   )    )    a    "", ""1'   )    )    and e""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,7,0.07625981420278549,0.2961515373689063,0.23778323115381284,0.22984955486379158,0.23778323115381284,0.024587730353857515,0.02813856676220894,1.424160470022659,0.74,0.26,0.1,0.44,0.56,0.0,0.9922222222222223,0.9922222222222223,81.89986493600009,"[""1'   )    )      (  "", ""1'  )   and sleep  ("", ""select sleep  (  5  "", ""1'  )   order by exc"", ""1%\""  )   rlike sleep"", ""1'   )    )    and s"", ""1   )    )      (  c"", ""select   (  case whe"", ""1'   )    )    and 4"", ""hi  (  select   (  c"", ""1'  )   and   (  sel"", ""select   (  case whe"", ""1%\""   )    )      ) "", ""1'   )    )    or el"", "" select * from users"", ""1\""   )    )    rlike"", ""select count  (  *  "", ""select   (  case whe"", ""select dbms_pipe.rec"", ""1\""   )    )    and 6"", ""waitfor delay '0:0:5"", ""1\""   (  select   (  "", ""1'  )   and row  (  "", ""1\""  )   as szjt wher"", "" select * from users"", ""1'   )    )    and  "", ""1' and 3824  )   rli"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1   )    )     (  se"", ""1'   )    )      )  "", ""1\""   )    )     )   "", ""1\""   )    )    or sl"", ""1'   )    )    as tt"", ""1\""   )    )     )   "", ""1'   )    )    and 6"", ""1'   )    )    and  "", "" select * from users"", "" select * from users"", ""1\""   )    )      )  "", ""1'   )    )    and 6"", ""1\""   )    )    and 6"", ""select count  (  *  "", ""1'   )    )    as di"", ""1   )    )    and   "", "" select * from users"", ""1\""   )    )    and 2"", ""1   )    )    and up"", ""1'   )    )    pr  ("", ""1'   )    )     )   ""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,8,0.058566510677337646,0.300790962657889,0.199924041149663,0.24176470588235294,0.199924041149663,0.017452916976499984,0.018958285450935364,1.407110922556397,0.8,0.19999999999999996,0.08,0.5,0.5,0.0,0.9922222222222223,0.9833333333333333,83.43998332799993,"[""select   (  useros  "", ""select   (  case whe"", ""1%\""   )    )    and "", ""1   )    )     )   a"", ""1'   )    )     )   "", ""select   (  ger  (  "", ""1\""  )   as imp ga wh"", ""1\""   )    )     )   "", ""1\""   )    )    and  "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1   )    )    and 75"", ""1   )    )    union "", ""1'   )    )    and  "", ""1\""   )    )     )   "", ""1'   )    )    as is"", ""1%\""   )    )     )  "", ""1   )    )     (  se"", ""1\""   )    )    as ui"", "" select * from uprou"", ""select   (  case nai"", ""-6592   )    )     )"", ""1'   )    )    as af"", ""1\""   )    )    or   "", ""1,  (  case wheman d"", ""1\""  )   where 18993 "", ""select count  (  *  "", ""1'   )    )    as pz"", ""1%'   )    )    or  "", ""1\""   )    )    ract "", ""1'   )    )    as zj"", ""1\""   )    )     )   "", ""1\""  )   and   (  sel"", ""1\""   )    )    and  "", ""1'   )    )    or el"", ""1\""   )    )    as ty"", ""1\""   )    )    as cc"", ""select count  (  *  "", ""select   (  case whe"", ""1 or ron   (  select"", ""select   (  case whe"", ""1 and 6756  =    (  "", ""select like   (  cas"", ""1\""  )   and 5557  = "", ""1\""   )    )    rlike"", ""1 where 9290  =  372"", ""select count  (  *  "", ""1    )    )     )   "", ""1   )    )     )   o"", ""1'   )    )     )   ""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,9,0.07507840543985367,0.30197256793296645,0.23417603969573975,0.23046875,0.23417603969573975,0.023626620970398443,0.027605293318629265,1.4133591181067993,0.86,0.14,0.06,0.56,0.44,0.0,0.9833333333333333,0.9722222222222223,83.61060989099997,"[""1   )    )    as cuv"", ""1   )    )     )   u"", ""1\""  )   as irpj wher"", ""1%\""   )    )      ) "", ""select coun   (   us"", ""1'   )    )    as sl"", ""1   )    )     )   a"", ""1\""   )    )    and 5"", ""1'   )    )    an de"", ""-7666'   )    )    o"", ""select case when 969"", ""select sleep  (  5  "", ""-6080\""   )    )     "", ""1\""   )    )     )   "", ""1%\""   )    )    unio"", ""-8059 or 5109  =    "", ""1\""  )   or char  (  "", ""1'    )    )    or s"", ""1'   )    )    and 3"", ""1%\""   )    )     )  "", ""-2997%'   )    )    "", ""select   (  case whe"", ""1\""   )    )    and c"", ""1\""   )    )    and 6"", ""1%\""   )    )    or 5"", ""1  )   rlike sleep  "", ""1  )   and   (  sele"", ""1   )    )    as irm"", ""1\""   )    )    and  "", ""1'   )    )    as vd"", ""1'   )    )    and 3"", ""select benchmark.ror"", ""1%\""   )    )     )  "", ""1%\""   )    )    or 5"", ""1   )    )     )   a"", ""1'   )    )     (  s"", ""select count  (  *  "", ""1'   )    )    and  "", ""1\""   )    )    rlike"", ""1'   )    )    as ju"", "" select * from users"", ""-2700'   )    )     "", ""1'   )    )    as bu"", ""1'   )    )    or sl"", "" enda t anei  (  spe"", ""select count  (  *  "", ""select   (  case whe"", ""select   (  case whe"", ""1'   )    )     )   "", ""select * from userse""]",
seqgan_master__phase1__all__raw__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase1,all,raw,full,MASTER,88,raw_character,20,60,off,1.0,10,0.054344020783901215,0.2999793276437349,0.21689424514770508,0.2453125,0.21689424514770508,0.011807556282647055,0.016824014484882355,1.3690482453251562,0.74,0.26,0.12,0.42,0.58,0.0,0.9933333333333333,0.9777777777777777,83.56261020900001,"[""1\""  )   as sigc wher"", ""1'   )    )    and  "", ""1   )    )    and 37"", ""select   (  case whe"", ""\"" or '1'  =  '1'  = "", ""1   )    )    and 93"", ""1\""   )    )    as rb"", ""1\""  )   union all se"", ""select * from select"", ""select   (  case whe"", ""select * from users "", ""1   )    )    and sl"", ""1\""   )    )    or 68"", ""select   (  case whe"", ""1\""   )    )    as ln"", ""1%'   )    )     )  "", ""1\""   )    )    or   "", ""select   (  case whe"", ""select   (  count  ("", ""1\""   )    )    as vx"", ""select * from users "", ""1\""   )    )    or   "", ""1%\""   )    )     )  "", ""  (  select   (  cas"", ""1%\""   )    )     )  "", ""1\""   )    )    and e"", ""select * from users "", ""1'   )    )     )   "", ""select count  (  *  "", ""1\""   )    )    or   "", ""1\""   )    )    and s"", ""1\""   (  select   (  "", ""select sleep  (  5  "", ""1\""  )   and 7555  = "", ""select   (  case whe"", ""1\""   )    )    as ua"", "" select * from users"", ""1%\""   )    )     )  "", ""1   )    )    as rmf"", ""1%\"" or sleep  (  nid"", ""select count  (  *  "", ""1\""   )    )    as no"", ""select   (  case whe"", ""1\""   )    )    as cf"", ""select dbms_lore 005"", ""1\""   )    )     )   "", ""-3055%\""   )    )    "", ""select sleep  (  5  "", ""1'   )    )    and c"", ""-8725   )    )    or""]",
