epoch,critic_loss,generator_loss
1,8.813037109375,0.33532655239105225
2,6.890621948242187,0.9811752438545227
3,3.212668037414551,1.9474437236785889
4,-1.679796314239502,3.2827396392822266
5,-6.2676393508911135,4.133367538452148
6,-9.63919734954834,5.535593032836914
7,-10.85179557800293,6.671969413757324
8,-10.561420059204101,6.031221389770508
9,-10.216340637207031,5.7985382080078125
10,-9.20106201171875,4.754152774810791
11,-8.508407306671142,4.233209133148193
12,-8.094375801086425,2.433978796005249
13,-7.781179141998291,1.0754672288894653
14,-7.2109301567077635,-0.41177642345428467
15,-6.534396648406982,-1.4070260524749756
16,-5.809474658966065,-2.9050400257110596
17,-4.656347560882568,-3.6743149757385254
18,-4.076258373260498,-4.896963596343994
19,-3.3916273593902586,-4.796520709991455
20,-2.864763784408569,-5.149603843688965
21,-2.6881531715393066,-5.179816246032715
22,-2.1947942972183228,-5.5558085441589355
23,-1.9033845663070679,-6.146630764007568
24,-1.9505260705947876,-5.889420986175537
25,-1.8745365619659424,-5.758887767791748
