epoch,critic_loss,generator_loss
1,9.014212226867675,0.2161046415567398
2,7.552304649353028,0.6050551533699036
3,4.726752710342407,1.1774955987930298
4,0.8393957614898682,1.9507843255996704
5,-2.968831253051758,2.34128475189209
6,-5.711303997039795,3.0012402534484863
7,-6.683341598510742,3.231071710586548
8,-6.948444366455078,3.297830104827881
9,-6.7389778137207035,2.7162253856658936
10,-6.035891342163086,2.222090721130371
11,-5.655815601348877,1.6010355949401855
12,-5.428318023681641,0.8568627834320068
13,-4.76869010925293,0.7402662038803101
14,-4.810916233062744,-0.14076440036296844
15,-4.341574192047119,-0.8005648851394653
16,-3.917995262145996,-1.4747179746627808
17,-3.692048358917236,-2.2035186290740967
18,-3.0376093864440916,-2.8737282752990723
19,-2.2149085521698,-3.4924709796905518
20,-2.0456560611724854,-3.5706310272216797
21,-1.8539387941360475,-3.8980371952056885
22,-1.599247932434082,-4.110090732574463
23,-1.352152442932129,-4.403419017791748
24,-0.994361686706543,-4.343432426452637
25,-0.7656597316265106,-4.298387050628662
