id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,86,27,10,37,0,0,10,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,10,0.07784666866064072,0.3511503338813782,0.14361242949962616,3.8007049560546875,21,1.6441915035247803,7,4,2,2,0,1,1,0,2,0,R000004,6.166401743416644
CTGAN_000002,attack,time,70,29,27,45,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0.03159517049789429,0.4924550950527191,0.132817804813385,3.5784497261047363,14,1.9684786796569824,5,4,0,0,1,0,0,0,2,0,R000064,5.438935593589384
CTGAN_000003,attack,time,65,23,7,27,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.16836325824260712,0.22289927303791046,0.10076675564050674,3.632375478744507,19,1.9638978242874146,6,3,0,2,3,0,1,0,0,0,R000063,5.548339739423427
CTGAN_000004,attack,time,87,17,35,25,4,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.0596909373998642,0.5576493144035339,0.1522987186908722,3.6335127353668213,20,2.5177366733551025,7,3,0,0,0,0,1,0,0,1,R000036,6.0077220881391655
CTGAN_000005,attack,time,83,17,36,17,3,0,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0.04802010953426361,0.21288464963436127,0.1318967044353485,3.668182849884033,19,1.848239541053772,8,3,1,0,1,0,0,0,0,0,R000063,7.309331122444827
CTGAN_000006,attack,time,70,17,14,23,0,0,4,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,6,0.19409871101379395,0.2817904055118561,0.1500026434659958,3.1626720428466797,20,1.994134545326233,4,3,3,0,1,0,1,0,1,0,R000035,6.614591241156094
CTGAN_000007,attack,time,74,27,13,19,0,0,10,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0.09011716395616531,0.39594075083732605,0.2333824634552002,2.50930118560791,17,1.980635404586792,5,3,1,0,1,0,1,0,0,0,R000070,6.333065585136158
CTGAN_000008,attack,time,93,18,23,30,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.22614242136478424,0.47476330399513245,0.13244397938251495,3.655571460723877,17,1.5654881000518799,5,3,0,1,0,0,0,0,0,0,R000009,5.773879146690432
CTGAN_000009,attack,time,76,23,21,24,1,0,4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,12,0.22598321735858917,0.44125857949256897,0.11808687448501587,3.827775478363037,13,2.355135440826416,5,5,0,0,1,0,0,0,0,0,R000010,5.884109735681276
CTGAN_000010,attack,time,61,11,26,28,0,0,11,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.4513765275478363,0.10419724881649017,3.4491922855377197,15,1.8821616172790527,9,2,0,0,2,0,0,0,1,1,R000073,5.911901570955425
CTGAN_000011,attack,time,73,28,13,31,0,0,7,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,7,0.06886227428913116,0.3600306510925293,0.10038579255342484,3.7201149463653564,20,1.0777080059051514,4,3,0,0,0,1,0,0,1,0,R000061,5.662326764240538
CTGAN_000012,attack,time,95,28,24,33,4,0,8,0,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,7,0.1377035528421402,0.3659375011920929,0.12336468696594238,3.8159866333007812,17,2.5415360927581787,9,2,0,0,2,0,0,1,1,0,R000020,6.818438030696823
CTGAN_000013,attack,time,108,25,7,13,6,3,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0.26614123582839966,0.5243363976478577,0.15476179122924805,4.33353328704834,17,2.172262191772461,8,4,0,2,2,1,1,0,2,0,R000045,7.65641382407615
CTGAN_000014,attack,time,60,25,12,39,0,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1221286952495575,0.5197540521621704,0.13501109182834625,3.40670108795166,11,2.1422855854034424,7,2,0,0,0,0,1,0,2,1,R000077,5.257832624076576
CTGAN_000015,attack,time,51,15,18,24,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0.15604527294635773,0.2729523777961731,0.1022602766752243,3.7660512924194336,14,2.2896676063537598,10,3,1,0,2,0,0,2,2,0,R000071,5.398858902624893
CTGAN_000016,attack,time,88,16,12,28,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,17,0.16665899753570557,0.4962068498134613,0.1880764663219452,3.7128844261169434,13,2.0717477798461914,8,4,0,0,3,0,1,0,0,0,R000040,6.5718047257210355
CTGAN_000017,attack,time,63,23,23,10,3,0,6,0,0,1,0,2,3,0,3,0,0,0,0,0,0,1,0,10,0.01953517086803913,0.42880621552467346,0.17704494297504425,3.346372365951538,23,2.407041311264038,7,3,0,0,2,2,0,2,0,0,R000040,7.369412770091015
CTGAN_000018,attack,time,84,10,16,20,0,1,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,13,0.17859618365764618,0.3575643301010132,0.1472887098789215,3.2728981971740723,14,2.0290465354919434,8,3,1,0,0,0,1,0,1,0,R000023,6.08413262018638
CTGAN_000019,attack,time,67,16,13,32,0,0,11,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,14,0.023333195596933365,0.3099810779094696,0.14100973308086395,3.9239554405212402,12,2.2151639461517334,8,3,0,0,0,0,2,0,0,0,R000004,6.371189483837649
CTGAN_000020,attack,time,69,37,6,31,3,0,4,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0.23346447944641113,0.30113667249679565,0.14673565328121185,3.859372615814209,21,2.371640682220459,6,4,1,0,0,0,0,0,0,0,R000045,5.081135400192298
CTGAN_000021,attack,time,77,41,14,31,0,0,6,0,0,2,2,1,0,0,2,2,0,0,0,0,0,1,1,8,0.037815723568201065,0.5053261518478394,0.18407395482063293,2.902221202850342,14,2.0800671577453613,8,3,0,2,4,0,0,0,1,0,R000003,8.03795597212748
CTGAN_000022,attack,time,54,25,14,15,1,1,4,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,13,0.1650640070438385,0.4342772364616394,0.14585842192173004,3.5594429969787598,14,1.8149117231369019,6,2,1,0,2,1,0,0,0,0,R000006,5.885515205478023
CTGAN_000023,attack,time,53,25,5,31,3,0,11,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0.24194464087486267,0.5391855239868164,0.14896073937416077,3.665327787399292,16,2.1803066730499268,5,3,2,2,0,0,2,0,1,0,R000039,6.0750007019784205
CTGAN_000024,attack,time,93,23,33,37,0,0,7,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,17,0.0,0.39755359292030334,0.09901081025600433,3.469813585281372,16,1.8119808435440063,8,6,2,1,1,1,0,0,1,0,R000054,7.335844183978419
CTGAN_000025,attack,time,71,15,2,30,3,0,10,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,11,0.006979374215006828,0.49066072702407837,0.0981350690126419,3.106154203414917,14,2.0892043113708496,7,3,1,1,2,0,0,2,2,0,R000070,6.290087574993548
CTGAN_000026,attack,time,72,29,27,24,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0.06321030855178833,0.4352131187915802,0.17037919163703918,2.830808162689209,19,2.1995582580566406,7,4,1,2,1,0,0,0,1,0,R000023,5.156433510331436
CTGAN_000027,attack,time,85,20,20,26,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.28915736079216003,0.43266692757606506,0.16655710339546204,3.8945016860961914,17,1.688842535018921,7,3,0,0,0,0,2,0,2,0,R000023,6.630290885588985
CTGAN_000028,attack,time,75,24,13,36,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.18683476746082306,0.3494669198989868,0.09367749094963074,2.4008426666259766,18,1.9144909381866455,4,4,3,0,2,0,0,0,0,0,R000032,6.344642380232519
CTGAN_000029,attack,time,56,22,4,13,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.30595114827156067,0.3684521019458771,0.13993002474308014,3.168489456176758,23,1.88826584815979,8,3,0,1,1,0,1,0,3,0,R000059,6.852481125950552
CTGAN_000030,attack,time,94,5,29,18,0,0,7,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,6,0.04733073711395264,0.34689727425575256,0.11688657850027084,3.378065586090088,15,1.5697026252746582,4,4,1,2,0,1,0,1,3,0,R000064,8.183629414345445
CTGAN_000031,attack,time,59,41,33,22,1,6,8,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,7,0.13520009815692902,0.30708497762680054,0.16663727164268494,3.651392936706543,19,1.1073455810546875,5,3,0,0,3,0,2,0,0,0,R000048,9.551583998724878
CTGAN_000032,attack,time,65,22,1,33,0,0,6,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,9,0.21079425513744354,0.49945148825645447,0.12383009493350983,4.012965202331543,17,2.2747442722320557,4,5,0,0,4,0,0,0,0,0,R000061,5.488316977238301
