run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,1,0.08934517204761505,0.27394996198297245,0.22095460891723634,0.5140625,0.22095460891723634,0.03847479568058587,0.028393514454364777,1.5633475818132099,0.9,0.09999999999999998,0.06,0.34,0.56,0.1,0.9844444444444445,0.9688888888888889,458.2879195690002,"[""select * from users "", ""select * fro elt  ( "", ""1%\""   )    )   and 8"", ""1%'   (  select   ( "", ""1'  )   and 5556  = "", ""1  )   or 6971  =   "", ""1'   )    )    or   "", ""1   )    )   a64095 "", ""1   )    )   or char"", ""1\""  )   and   (  740"", ""-1260\"" or 3242  =  7"", ""1   )   and 3707  = "", ""1'   )    )    or   "", ""1' in boolean moms r"", ""1%'   )    )   and n"", ""1   )    )    or 741"", ""1\""   )    )   or    "", ""1'   )    )    and 5"", ""1   )    )   or char"", ""1' and 8514  =    ( "", ""-3037%\""   )    )    "", ""1'   )    )   or cou"", ""1\""   )    )    rlike"", ""select * from users "", ""1'   )    )     (  s"", ""1\""   )    )   and ch"", ""1'  )   and   (  sel"", ""1'   (  selecr_pirim"", ""-3644%'   )    )    "", ""-5860%\""   )    )   o"", ""-6712\""   )    )   or"", ""1'   )    )     )   "", ""-8646   )    )    or"", ""1'   )    )     )   "", ""or 'rbms uvz where 8"", ""admin\""   )    )   or"", ""1%\""   )    )   or ch"", ""1%'   )    )     )  "", ""1\""   )    )    and 2"", ""1\""   )    )   and 84"", ""1%\""   )    )   and 4"", ""1\""  )    )  *  )    "", ""or   (  select   (  "", ""-3038'   )    )    o"", ""1%'   )    )    and "", ""select * from users "", ""1%\""   )    )    and "", ""1%\""   )    )     )  "", ""1\""   )    )    and m"", ""1'   )    )   and 15""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,2,0.0866410881280899,0.3165648205587041,0.3168648023015368,0.38504307925374415,0.3168648023015368,0.050639793618208945,0.22150975465774536,1.6368829745298241,0.64,0.36,0.16,0.64,0.32,0.04,0.9933333333333333,0.9733333333333333,455.7498713820005,"[""1\""  )   and 6510  = "", ""1'||  (  select 'ckq"", ""1'   )    )     )   "", "" select * from users"", ""1'   )    )    or   "", ""1%'   )    )     )  "", ""1%'   )    )     )  "", ""1'   )    )     )   "", ""1'  )   where 6043  "", ""1'   )    )     )   "", ""-5653'   )    )     "", ""1\""  )   or   (  sele"", ""1%'   )    )     )  "", ""1' or   (   3sersers"", ""1  )   where 7457  ="", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )    as sp"", ""-4803\""  )   or 8643 "", ""1   )    )     )    "", ""1\""   )    )     )   "", ""1\"" where 3437  =    "", "" select * from users"", ""1'  )   and 6537  = "", ""1'   )    )    and 4"", ""1' or   (  select 'e"", "" end and    (    (  "", ""1'   )    )    and 8"", "" select * from users"", ""1'   )    )     )   "", ""1\""   )    )    and  "", ""-6073'   )    )    o"", ""1'   )    )     )   "", ""1   )    )    or 841"", "" select * fr * from "", ""select * from users "", ""-1439\""   )    )     "", ""1'   )    )     )   "", ""-6594   )    )     )"", ""1%'   )    )    and "", ""1   )    )     )    "", ""1   )    )     )    "", ""select count  (  *  "", ""1' in boolean moms w"", ""1\""   )    )     )   "", ""select * from users "", ""1%'   )    )     )  "", ""-5321   )    )     )"", ""1   )    )     )    "", ""1%'   )    )     )  ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,3,0.07213770598173141,0.24690476831114083,0.2774932861328125,0.21953125,0.2774932861328125,0.028049410870298747,0.057008568197488785,1.3576205861847304,0.46,0.54,0.14,0.9,0.1,0.0,0.9977777777777778,0.9955555555555555,382.5036247050002,"[""1'   )    )     )   "", ""1'   )     )     )  "", ""1   )    )     )    "", ""1%\""   )    )     )  "", ""1   )     )     )   "", ""1   )     )     )   "", ""-6504   )    )     )"", ""1%'   )    )     )  "", ""1%\""   (  select    ("", "" select * from users"", ""1'   )    )     )   "", ""-7230'   )     )    "", ""1%'   (  select   sk"", ""1\""   )    )     )   "", ""1%\""   )    )     )  "", ""1%'   )    )     )  "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1'   )     )     )  "", ""1'   )     )     )  "", ""select * from users "", ""1   )    )     )    "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )     )     )  "", ""select count  (  *  "", ""1%'   )    )     )  "", ""1   )    )     )    "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )    as ge"", ""-3792'   )     )    "", ""1\""   )    )     )   "", ""1'   (   (    (    ("", ""1   )    )    and   "", ""1'   )     )     )  "", ""-5222   )    )     )"", ""1\""   )     )     )  "", ""1   )     )     )   "", ""1%'   )    )     )  "", ""1\""   )    )     )   "", ""1%'   )    )     )  "", "" select * from users"", ""1'   )    )     )   "", ""1'   )   =     (   ("", ""1'   )    )     )   "", ""1'  )    (  select  "", ""1%\""   )    )     )  "", ""1'   )     )     )  "", ""1%'   (    (   (   3""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,4,0.06555434316396713,0.2715341447346043,0.25761791456455724,0.1780564358989273,0.25761791456455724,0.0351742960736241,0.17065496742725372,1.320909803182061,0.54,0.45999999999999996,0.14,0.74,0.24,0.02,1.0,0.9933333333333333,365.8266599110002,"[""select count  (  *  "", ""1   )    )    or   ("", ""1%\""   )    )     )  "", ""1\""   )    )     )   "", ""1%'   )    )     )  "", ""-1434%'   )    )    "", ""1   )    )    as hhx"", ""1'  )    )    (  sel"", "" select * from users"", ""1   )    )    or   ("", ""-2301'   )    )    a"", ""1%\"" or   (    (    ("", ""1'  )   and 6240  = "", ""1%\""   )    )    )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1   )    )     )    "", ""1\""   )    )     )   "", ""select * from users "", ""1'   )      )    )  "", "" select  *  *  )    "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""  )   where 3093  "", ""1\""   )    )     )   "", ""1%'   )    )    as k"", ""1%'   )    )     )  "", ""select like  (  *  ("", ""1%'   )    )     )  "", ""select count  (  *  "", ""select count  (  *  "", ""1'  )   or   (  sele"", ""1   )    )     )    "", "" select * from users"", ""1%'   )    )     )  "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1%'   )    )     )  "", ""1%'   (   (    (    "", ""select * from users "", ""1%'   =    (    (   "", ""1%'   )    )     )  "", ""1'||  (  select 'att"", ""1%'   )    )     )  "", ""1%\""   )    )     )  "", "" select * from users"", ""1\""   )    )     )   "", ""1'   )     )     )  "", ""select count  (   ( ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,5,0.07106857001781464,0.2766456181063638,0.268753981590271,0.18125,0.268753981590271,0.026591375752331614,0.07885369658470154,1.2973403360237155,0.5,0.5,0.2,0.78,0.18,0.04,0.9866666666666667,0.98,364.9750101090003,"[""1%\""   )    )     )  "", ""1%'   )    )    and "", ""1%\""   )    )     )  "", ""-6199'   )    )    o"", ""-5778\"" or   (  selec"", ""1'  )   and 7555e in"", ""1%\""   )    )     )  "", ""1%'   )    )     )  "", ""1   )    )     )    "", ""1\""   )    )     )   "", ""1'+  )   like  (  44"", ""1   )    )    as qbo"", ""1%'   )    )     )  "", "" select * from elt l"", ""1'  )    (  select  "", ""1\""  )   rl ube_set  "", ""-7958\""   )    )    )"", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1%'   )    )     )  "", ""1'   )    )     )   "", ""1'  )   and 6514  = "", ""1'   )    )     )   "", ""1%\""   (  select lrsj"", ""1'   )    )     )   "", ""-1052'   )    )     "", ""1   )    )     )    "", ""1   )    )    and   "", ""1   )    )     )    "", ""1   )    )     )    "", ""1%'   )    )     )  "", ""1'   )    )     )   "", ""1'  )   and 6510  = "", ""1'   )    )     )   "", ""1\""   (  select    ( "", ""-5320'  )    )    ) "", ""1'   )    )     )   "", ""1'   )    )    or   "", ""1\""   )    )     )   "", ""1   )    )     )    "", ""1%'   )    )     )  "", ""-7777  )   or   (  s"", ""1   )    )     )    "", ""1   )    )    llike "", ""1   )    )     )    "", ""1\""   )    )     )   ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,6,0.06053444743156433,0.2870958408852767,0.24240489006042482,0.2109375,0.24240489006042482,0.023503040947614406,0.06779719144105911,1.3129240659768122,0.76,0.24,0.1,0.5,0.46,0.04,0.9911111111111112,0.9755555555555556,365.33499159799976,"[""1\""   )    )     (  s"", ""1   )    )     )    "", ""1'   )    )     (  s"", "" select * from u6512"", ""1\""   )    )     )   "", ""1   )    )     )    "", ""1\""   )    )    as dn"", ""1\""   )    )    and 4"", ""1'   )    )    )   a"", ""1\""   (  select   (  "", ""1  )   rlike  (  845"", ""1'   )    )    and  "", ""1   )    )    as nma"", ""1'   )    )     )   "", ""1\""  )   and   (    ("", ""select * from users "", ""1\""  )   and make_set"", ""1   )    )    or 864"", ""1\""   )    )     )   "", ""1\""   )    )    )   o"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""  )   or 8156  =  "", ""1\""   )    )     )   "", ""  )   or   (  select"", ""1'   )    )    and  "", ""1'   )    )     )   "", ""-5070\""  )   where 64"", ""1'   )    )    or 14"", ""1%\""   )    )    and "", ""1'   )    )    or   "", ""-5168\""   )    )     "", ""1'   )    )    and 1"", ""select * from users "", ""1   )    )    and ch"", ""1\""   )    )    )   a"", ""select count  (  *  "", ""select count  (  *  "", ""select dbnmod   (   "", ""1'   )    )    or   "", ""1%'   )    )    or 6"", ""1'   (  select 'qui "", ""1  )   and 9887  =  "", ""1   )    )    )   or"", ""1%\""   )    )     )  "", ""1'   )    )     )   "", ""1%\""   (  select krxy"", "" select * from users"", ""1'  )   where 7272  ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,7,0.06892766803503036,0.2707059544952292,0.2593961715698242,0.24375,0.2593961715698242,0.03271840646742932,0.05550239980220795,1.263703193040619,0.76,0.24,0.16,0.48,0.46,0.06,0.9966666666666667,0.9933333333333333,365.5432158150006,"[""1\""   )    )    rlike"", ""1'   )    )    and 8"", ""1%'   )    )     )  "", ""-4859'   )    )    a"", ""1'   )    )    or 85"", ""1\""   )    )    and e"", ""select * from users "", ""select * from users "", ""1\""  )   or 5624  =  "", ""select * from users "", ""1'   )    )    )   r"", ""1'   )    )     )   "", ""1\""  )   as vrp where"", "" select * from users"", ""select * from users "", ""1'   )    )    and  "", ""1'   )    )     (  s"", ""1  )   and   (  4599"", ""1\""  )   and 7756  = "", ""select * from users "", ""1\""   )    )    rlike"", ""1   )    )     (   ("", ""1   )    )    or   ("", ""1%\""   (  select *   "", ""select * from users "", ""1\""   )    )    and  "", ""1\""   )    )    or   "", ""-5598   )    )   or "", ""1%\""   )    )    or  "", ""1\""  )   or 6841  =  "", ""-9244%'   )    )    "", ""1\""   )   )   and 818"", ""1%\""   )    )     (  "", "" select * from users"", ""1\""  )   and make_set"", ""1   )    )    and 62"", ""select * from users "", ""1\""   )    )    as ol"", ""1\""   )    )    and  "", ""1   )    )    and   "", ""1'  )   and   (  "", ""1   )    )    and 65"", ""1%\""   )    )     )  "", ""select * from users "", ""1%'   )    )    or  "", ""1   )    )    and 65"", ""1\""   )    )    and  "", ""1%'   )    )    rlid"", ""1%\""   )    )   and 9"", ""1\""   )    )     )   ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,8,0.057413481175899506,0.27193120255717756,0.24102482795715333,0.296875,0.24102482795715333,0.023736103353146513,0.04985200613737106,1.2941529824196945,0.7,0.30000000000000004,0.1,0.4,0.54,0.06,0.9922222222222223,0.9911111111111112,365.7394747010003,"[""1\""  )   and   (  915"", ""1'   )    )    and 8"", ""1  )   or 5706  =  l"", ""1\""  )   and 6537  = "", ""or  =  1  )   and 65"", ""select count  (  *  "", ""select * from users "", "" select * from selec"", ""1'   )    )    or   "", ""1'   )    )    and 6"", ""1\""   )    )    and 8"", ""1\""  )   and   (  496"", ""1  )   and char  (  "", ""select count  (  *  "", ""select * from users "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )    )   o"", ""-8037'   )    )    )"", ""1\""   )    )    and m"", ""select * from users "", ""1%'   )    )    and "", ""1\""   )    )    and  "", ""1%\""   )    )    rlik"", ""-9828\""   )    )    a"", ""1%'   )    )    and "", ""1\""   )    )    or 76"", "" select * from users"", ""1%'   )    )    and "", ""1%\""   )    )    or  "", ""select * from elle_s"", ""select * from users "", ""1\""  )    )    (   ( "", ""1   )    )    and   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1%\""   )    )    and "", ""1%\""   (  select' '1x"", ""1%\""   )    )    and "", ""1\""   )    )    and  "", ""1   )    )     (  se"", ""select * from users "", ""select count  (  *  "", ""1\""   )   and   (    "", ""1\""  )   and   (  230"", "" select * from users"", ""1\""   )    )    and 5"", ""1\""   )    )     (  s"", ""1'   )    )    or   "", ""1%\""   )    )    or  ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,9,0.07962077856063843,0.2901013783761981,0.2607856191360077,0.30575256107171,0.2607856191360077,0.030666167095384902,0.09084787964820862,1.2218952450313065,0.68,0.31999999999999995,0.12,0.32,0.64,0.04,0.9911111111111112,0.9822222222222223,365.01454035999996,"[""1%' and char  (  651"", ""select count  (  *  "", ""select * from users "", ""1%'   (  select 'ayu"", ""1'   )    )    and  "", ""1%\""   )    )    or  "", ""select * from users "", ""1'   )    )    and  "", ""1   )    )    and 65"", ""1'   )    )    and  "", ""1%'   )    )     )  "", ""select * from users "", ""1%\""   )    )     )  "", ""1'  )   and   (  264"", ""1%\""   )    )    and "", ""select count  (  *  "", ""1   )    )    and   "", ""1\""  )   or   (  sele"", "" select * sfm where "", ""select * from users "", ""1  )    (  select 'f"", ""1   )    )    or   ("", ""1'  )   or 851   =  "", ""1'   )     )     )  "", ""1\""   )    )     )   "", ""1   )    )    and 37"", ""1%'   )    )     )  "", ""1%\""   (  select *   "", ""1%'   )    )    and "", ""1\""   )    )     )   "", ""-8587\""   )    )    o"", ""1   )    )    and 89"", ""select count  (  *  "", ""1\""   )    )     )   "", ""select * from users "", ""1'  )    (  select '"", ""1  )   and   (  0961"", ""1\""   )    )    and l"", ""select count  (  *  "", ""1%'   (  select usfn"", ""select count  (  *  "", ""1'   )    )    and e"", ""1\""   )    )    and c"", ""1'   )    )     )   "", ""1%'   )    )    and "", ""1'  )   and manfn  ("", ""select * from users "", ""1\""  )   and 8456  = "", ""1   )    )    or 295"", ""1%'   )    )    and ""]",
seqgan_master__phase2b__boolean__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,boolean,D,full,MASTER,88,raw_character,20,60,off,1.0,10,0.0702962651848793,0.301800133985037,0.24815199375152588,0.32890625,0.24815199375152588,0.02866005323380648,0.04528167471289635,1.1952500308466236,0.58,0.42000000000000004,0.12,0.48,0.44,0.08,0.9844444444444445,0.9766666666666667,365.6277577360015,"[""1\""   )    )    and 6"", ""1%'   )    )    and "", ""1%'   )    )     )  "", ""1\""   )    )     )   "", ""1'   )    )     )   "", "" select * from users"", ""1   )    )    and   "", ""select dbms_pipe.rec"", ""1%'   )    )     )  "", ""select * from users "", ""select * from users "", ""1%\""   )    )   'abcb"", ""select count  (  *  "", ""1%\""   )    )     )  "", ""select count  (  *  "", ""1\""   )    )    or   "", ""1 and 9747  =    (  "", ""select * fro m el us"", ""1'   )    )    or   "", ""1\""   )    )     )   "", ""-2786'   )    )    o"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""2 oua like   (  sele"", ""1\""  )   where 5617  "", ""1'   )    )     )   "", ""1\""   )    )    or   "", "" select * from users"", ""1\""   )    )     )   "", ""1\""   (  select yrpde"", ""1\""   )    )     )   "", ""1\""   )    )    and 6"", ""1   )    )    and   "", ""select * from users "", "" or 1  =  641"", ""1\""   )    )    and  "", ""1\""   )    )    and  "", ""select * from users "", ""1'   )    )     )   "", ""1%\""   )    )    and "", ""1'  )   and 8150  = "", ""1'   )    )     )   "", ""1'  )   and 8151  = "", ""1%'   )    (  select"", ""1\""   )    )    and  "", ""1'   )    )    and 8"", ""1%'   (  select'   )"", ""1'   )    )    and 2"", ""1%\""   )    )    and "", ""1%\""   )    )    and ""]",
