id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,74,19,1,28,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,10,0.03347955644130707,0.5032340884208679,0.18753649294376373,3.406942367553711,11,2.336158275604248,3,3,1,0,0,0,1,0,0,0,R000006,5.0215129767697775
CTGAN_000002,attack,time,96,51,2,15,5,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,6,0.132883682847023,0.4599950313568115,0.07612615823745728,4.079038619995117,5,2.310642957687378,10,3,0,0,2,1,2,0,0,0,R000125,6.531423607691915
CTGAN_000003,attack,time,68,26,20,57,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,11,0.04313404858112335,0.3164355158805847,0.306749165058136,4.492480278015137,29,2.5891611576080322,4,2,0,0,0,0,0,0,1,0,R000127,6.836599091434825
CTGAN_000004,attack,time,67,44,10,36,0,0,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,6,0.08303707093000412,0.128684863448143,0.15153132379055023,2.480651378631592,15,2.1590800285339355,6,3,1,0,0,3,2,0,0,0,R000116,7.5490157206540776
CTGAN_000005,attack,time,156,12,33,59,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,15,0.22327810525894165,0.47285011410713196,0.1461121141910553,3.487882137298584,20,2.7170941829681396,7,2,2,0,1,0,0,0,3,0,R000123,5.810037284899246
CTGAN_000006,attack,time,72,38,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.18589657545089722,0.42234480381011963,0.14763030409812927,4.626456260681152,7,2.8600656986236572,5,3,3,1,0,0,0,0,0,0,R000127,5.720966668616556
CTGAN_000007,attack,time,0,29,4,59,0,0,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0.4081975519657135,0.5492294430732727,0.13162563741207123,2.2768211364746094,20,2.3567261695861816,8,2,2,0,0,0,1,0,1,0,R000089,7.036935991490992
CTGAN_000008,attack,time,115,16,32,30,2,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,16,0.011671092361211777,0.5321068167686462,0.06307858228683472,4.101860046386719,10,1.641074538230896,7,4,1,1,0,0,2,0,1,1,R000119,7.12864736364251
CTGAN_000009,attack,time,98,51,33,43,4,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,14,0.0,0.23171469569206238,0.09688299149274826,2.941978931427002,14,1.615760087966919,4,7,2,1,0,2,0,0,0,1,R000151,7.517199656978063
CTGAN_000010,attack,time,28,0,0,44,0,0,6,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,9,0.1056765466928482,0.5185734629631042,0.14047344028949738,2.673914670944214,20,2.032745122909546,7,2,0,0,2,0,2,0,0,0,R000089,5.046583277333996
CTGAN_000011,attack,time,15,16,27,96,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,0.11454306542873383,0.3025904893875122,0.09248708933591843,2.4623076915740967,24,3.2350635528564453,4,4,3,0,0,1,0,0,0,0,R000146,7.715308382012632
CTGAN_000012,attack,time,85,44,11,36,2,0,4,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,1,8,0.052970074117183685,0.4614247977733612,0.3145639896392822,2.854357957839966,23,2.778139114379883,5,2,2,0,1,1,2,0,0,0,R000098,5.7996674800179395
CTGAN_000013,attack,time,145,22,38,19,2,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,8,0.019628845155239105,0.5285145044326782,0.19306792318820953,3.734910011291504,29,2.452942132949829,7,3,2,0,1,1,0,0,0,0,R000123,6.192455535593788
CTGAN_000014,attack,time,26,13,4,4,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,11,0.24585533142089844,0.27569299936294556,0.10626211762428284,3.6569790840148926,15,2.0741257667541504,7,1,0,0,2,0,3,0,0,0,R000127,5.589831069682101
CTGAN_000015,attack,time,100,10,14,15,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,12,0.14286062121391296,0.4769103229045868,0.30151814222335815,3.3136661052703857,14,3.214280366897583,8,2,0,2,0,0,2,0,1,0,R000106,6.386215854748271
CTGAN_000016,attack,time,56,12,5,21,0,0,5,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,15,0.04240848124027252,0.5355644822120667,0.07982088625431061,3.023209571838379,10,3.3108367919921875,6,2,0,0,0,0,0,0,2,2,R000047,6.701892076572946
CTGAN_000017,attack,time,63,46,28,44,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.22128118574619293,0.5922662615776062,0.17670384049415588,3.0722873210906982,35,2.7126495838165283,7,3,3,0,3,2,0,0,1,0,R000053,6.5998202801695625
CTGAN_000018,attack,time,152,13,24,31,6,0,2,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,1,11,0.0,0.3866446018218994,0.09014536440372467,3.2290260791778564,12,1.55440092086792,6,3,2,3,2,2,2,0,1,0,R000067,8.065597396669785
CTGAN_000019,attack,time,50,16,5,12,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0.1918473243713379,0.4146113991737366,0.17011526226997375,3.5109446048736572,25,3.6665492057800293,7,3,1,0,1,1,0,0,0,1,R000129,5.240592735292018
CTGAN_000020,attack,time,74,15,4,57,0,0,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0.26598864793777466,0.0,0.1232893168926239,2.4202277660369873,17,2.43013334274292,6,3,0,0,0,0,1,0,0,0,R000090,6.591069982729707
