id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,union,110,28,52,14,1,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,10,0.6002517938613892,0.14033208787441254,0.12955385446548462,4.6173295974731445,14,2.6623711585998535,10,5,2,0,1,0,0,0,0,2,R000086,5.132044805422425
CTGAN_000002,attack,union,102,51,30,19,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,14,0.44127795100212097,0.20044615864753723,0.1552102267742157,3.9051756858825684,33,2.1752824783325195,6,3,4,0,0,0,0,0,1,2,R000147,5.734903359835618
CTGAN_000003,attack,union,113,26,21,9,1,0,0,7,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,16,0.5877259373664856,0.39355629682540894,0.1676742136478424,3.3874149322509766,39,1.1974024772644043,8,5,2,0,0,1,1,0,3,1,R000101,8.394588972079294
CTGAN_000004,attack,union,89,19,33,32,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0.0,0.18488536775112152,0.1171942874789238,3.9732913970947266,18,2.6117537021636963,6,4,4,0,0,2,2,0,0,0,R000086,5.76101342707505
CTGAN_000005,attack,union,61,20,63,14,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,3,0.45011985301971436,0.16736184060573578,0.09967568516731262,4.154191493988037,20,2.9034290313720703,6,8,2,0,0,0,2,0,1,0,R000092,5.650526546553261
CTGAN_000006,attack,union,35,29,36,9,1,0,0,9,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0.5569079518318176,0.21241049468517303,0.15616776049137115,4.099343776702881,20,2.869702100753784,5,1,2,0,0,2,0,0,1,0,R000092,5.272951736596617
CTGAN_000007,attack,union,105,80,15,8,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,18,0.15775921940803528,0.1895895153284073,0.21099872887134552,4.529660224914551,24,2.8430795669555664,6,5,1,0,1,3,1,0,0,0,R000096,6.608284031303798
CTGAN_000008,attack,union,47,12,0,12,4,1,0,9,0,1,3,0,0,2,2,0,0,0,0,0,0,0,1,11,0.06274537742137909,0.32195472717285156,0.0743383839726448,3.869356155395508,24,2.6315157413482666,5,2,2,0,2,0,2,0,3,0,R000152,7.3793407839649605
CTGAN_000009,attack,union,37,55,6,16,1,0,0,11,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,11,0.5097662210464478,0.019219152629375458,0.18277892470359802,3.8594212532043457,43,2.686150550842285,6,1,0,0,0,3,2,0,0,0,R000058,6.918410336883858
CTGAN_000010,attack,union,20,29,20,18,2,0,0,3,0,1,2,0,0,0,3,0,0,0,0,0,0,0,1,16,0.5080410242080688,0.213431254029274,0.16595549881458282,3.953871726989746,5,2.6190459728240967,5,5,0,0,0,1,0,0,1,2,R000140,6.5424293291378826
CTGAN_000011,attack,union,23,25,22,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0.34751924872398376,0.21506041288375854,0.18283145129680634,3.4737043380737305,18,2.644315242767334,6,4,5,0,0,0,0,0,3,0,R000058,7.936037104736588
CTGAN_000012,attack,union,67,45,44,16,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,15,0.46154114603996277,0.1777070015668869,0.17290204763412476,4.1173834800720215,26,2.4070260524749756,6,7,2,0,1,0,2,0,2,2,R000074,6.3096619257744955
CTGAN_000013,attack,union,93,6,53,36,1,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,9,0.1914656013250351,0.3595914840698242,0.1010780930519104,4.081169605255127,38,2.2546069622039795,5,4,1,0,0,0,0,0,1,0,R000095,5.592774804304698
CTGAN_000014,attack,union,126,23,0,2,1,0,2,7,0,1,2,0,0,3,2,0,0,0,0,0,2,1,1,13,0.26498550176620483,0.23195242881774902,0.04539163410663605,4.276960372924805,16,2.8584206104278564,5,7,3,0,0,2,0,0,1,2,R000050,8.287454362356614
CTGAN_000015,attack,union,92,24,8,15,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,21,0.623798668384552,0.33205360174179077,0.15841156244277954,4.474897861480713,20,2.7761006355285645,6,2,2,0,1,0,0,0,1,1,R000090,6.126964037596275
CTGAN_000016,attack,union,57,10,14,41,4,1,1,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,1,8,0.3126670718193054,0.11271774023771286,0.1233074814081192,4.495508670806885,39,2.7320282459259033,5,10,2,0,0,1,0,0,0,3,R000054,8.088529465425522
CTGAN_000017,attack,union,106,40,3,45,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,19,0.08943267166614532,0.3942694067955017,0.17382696270942688,3.95828914642334,37,2.3905866146087646,6,8,1,0,2,3,0,0,0,0,R000037,6.7548758240665405
CTGAN_000018,attack,union,59,75,2,14,0,1,0,5,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,11,0.2833726406097412,0.13602499663829803,0.2230672538280487,4.291501998901367,32,2.350799083709717,6,7,0,0,2,0,0,0,1,0,R000137,7.3501197546593975
CTGAN_000019,attack,union,73,19,66,15,4,0,0,4,0,0,3,0,0,0,1,0,0,3,0,0,0,0,1,5,0.49868109822273254,0.21079763770103455,0.13635091483592987,3.9545576572418213,20,2.7081921100616455,5,10,2,0,0,1,0,0,1,1,R000090,8.18402094510702
CTGAN_000020,attack,union,88,29,18,14,3,0,1,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,11,0.0551927387714386,0.3108627498149872,0.15274998545646667,4.253149509429932,19,2.4703598022460938,6,8,2,0,1,2,1,0,0,0,R000108,5.6695079744923484
CTGAN_000021,attack,union,70,17,0,7,3,0,0,5,0,1,3,0,0,2,0,0,0,1,0,0,1,0,1,18,0.0699504166841507,0.20663177967071533,0.12012170255184174,3.8827035427093506,15,2.712027072906494,6,4,2,0,1,2,1,0,0,1,R000152,5.816259480581252
CTGAN_000022,attack,union,83,50,55,35,3,0,1,4,0,3,2,0,0,0,2,0,0,0,0,0,0,1,1,7,0.5576238036155701,0.19584906101226807,0.19239899516105652,3.9740655422210693,35,2.63602876663208,7,3,2,0,0,2,1,0,2,0,R000075,7.151852513581809
CTGAN_000023,attack,union,73,63,29,29,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,19,0.3871780037879944,0.191520556807518,0.06735797226428986,4.151524543762207,25,2.4752321243286133,5,4,3,0,2,3,0,0,0,1,R000090,6.660078472390525
CTGAN_000024,attack,union,97,35,2,18,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,10,0.4148855209350586,0.2132837027311325,0.15474256873130798,3.983992338180542,18,2.9003772735595703,5,4,0,0,0,3,2,0,0,1,R000086,5.6296375355890325
CTGAN_000025,attack,union,96,61,50,9,0,0,0,6,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,17,0.48645415902137756,0.18435221910476685,0.10943279415369034,4.055819511413574,1,2.2397055625915527,7,2,1,0,0,0,0,0,0,0,R000090,6.183171521101629
CTGAN_000026,attack,union,46,26,9,12,0,0,3,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0.6463359594345093,0.07169804722070694,0.14525365829467773,3.7819557189941406,23,2.3821163177490234,6,5,3,0,1,2,0,0,0,3,R000131,6.33674356759427
CTGAN_000027,attack,union,104,40,29,16,4,1,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0.284635066986084,0.09444375336170197,0.16001148521900177,4.406341552734375,36,2.7902653217315674,6,1,0,0,2,0,0,0,2,3,R000103,6.078007483724314
CTGAN_000028,attack,union,37,11,17,21,0,0,0,6,0,1,3,0,0,0,0,1,1,0,0,0,0,0,1,7,0.21819423139095306,0.21129614114761353,0.11476457118988037,3.7920401096343994,38,2.7180230617523193,0,3,0,0,0,0,1,0,0,1,R000090,6.198987400007626
CTGAN_000029,attack,union,69,49,66,16,1,1,0,12,0,3,2,0,1,2,1,1,0,0,0,0,0,0,1,16,0.47442489862442017,0.05057564377784729,0.2012254297733307,3.8102731704711914,25,3.5937376022338867,5,3,0,0,0,1,0,0,1,0,R000091,8.035354316639447
