label,payload,family,payload_type,method,run_id,sample_index,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,keyword_total
attack,"-5748""  8692#8391869286928692869286922869286925_2',86922S#869286928692869228692b869228692869258692869251#'9988,8692869258692869286928692869286925b8",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,0,147.0,18.0,2.9421666105971833,3.0,132.0,2.0,10.0,0.02040816326530612,0.8979591836734694,0.013605442176870748,0.06802721088435375,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-57483666""      8692  =#  54778692#869286928692869286928692869286928692869286928391  86928692869286928692869286928692723086927230869228391<# 869286928692#86923081--  # 5153#8692869286928692869286928692869286928692886928692869286920  8692S# #23348692869286928692  1vS86924373r<#""  8268  # 8692  =  11#869286928692    58708692#8692869286928692869286922334869286928692869286928692869286928692869286928692869228692869272308692869272308692?22334,869286928692,86928692869286928692723086928692869286922",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,1,495.0,21.0,3.0949872534004887,4.0,433.0,34.0,24.0,0.00808080808080808,0.8747474747474747,0.06868686868686869,0.048484848484848485,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748'  2774  =  =    8692  8692    =  8268    8692 8391,    2887#86928692869286928692869286928692869286928692S#869286925228113081",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,2,130.0,17.0,3.1886112548842207,1.0,94.0,27.0,8.0,0.007692307692307693,0.7230769230769231,0.2076923076923077,0.06153846153846154,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748""  #8692  8692  2887#8692869272308692869286924338869286928692869286928692c8692869286928692891441,86927230#8692869272305c52.c2272302249517     8702  =  =  #5145  =    =  =  869286928692869286928391    2887  82688692  # ,869286928692#86928692Rb  # selectselect \  1.#8692 4338    86928692  =8268    #r# select##869286928692869286928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,3,338.0,26.0,3.6101949568414726,24.0,235.0,54.0,25.0,0.07100591715976332,0.6952662721893491,0.15976331360946747,0.07396449704142012,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,"-5748""  16468692  =    2887#869286928692869286922446#869286928692869286922869286928702869214438692869288908692#c4#7230#8692869286922887#  1  8692  8692869286928692869286928692869286928692869286928692869286925#.86921845#869286928692    =  =    # 8692  =  #8692  1  ##86921  =  #  =  =  2887  8268  =  28878692  # 8692  =  869286928692  #   1#8692869286928692869286928692869286928692869286928692869286928692869286928692869286928692869286921441869286928692723086928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,4,465.0,17.0,3.007203699605087,1.0,375.0,61.0,28.0,0.002150537634408602,0.8064516129032258,0.13118279569892474,0.060215053763440864,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748""  #8692869286928692  8268    #1  8268  =  =    =  #  8692  =  8268  =  =86921<8692869286928692869286928692869286928692869286928692869286928692869286928692869286928692869286923059869286928692869286928692null  # ,1839#86928692  =  2887  =    2887  # 11  2887  1#869286928692869286928692869233398692869286928692  # 8692869244818692869272302$86928692869286928692869286925756S## ?#8692 #86928692869286928692869286928692.#86922869286927230869286922.#869286928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,5,462.0,24.0,3.086333972710061,5.0,372.0,55.0,30.0,0.010822510822510822,0.8051948051948052,0.11904761904761904,0.06493506493506493,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748'  8268  2887  2887  # 8692c86928692869286928692869286926962,869286922869286928692869286924266869286928692RS#",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,6,114.0,15.0,2.9015543560808856,3.0,97.0,9.0,5.0,0.02631578947368421,0.8508771929824561,0.07894736842105263,0.043859649122807015,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748""  8692  2887  =2887  8692  #86928692#2869237418692869286928692869286928692869286922,23348692v86928692869272308692869249658692869286928692586922869286923RS# 8692  =  =8268  86928692  =  =  8692,8692#    =    =2887    =  86928692# select869286928692  #  8692   1  =  8692#86928692869286927230869286928692869286928692869286922869286928692869286928692869233395  1839  8692#1,d  2887  8268##  # union  1#869286926021386928692869286920b86928692",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,7,444.0,30.0,3.2904406102343158,16.0,340.0,62.0,26.0,0.036036036036036036,0.7657657657657657,0.13963963963963963,0.05855855855855856,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,-5748 8692  =  #8692869233398692869272308692869286928692c869286928692869286928692869286924S#869286928692869286928692305986928692  =    2887  8268  8692# 8692  =    2887#86927230  2887  2887  =  =  8268    8692  # 233486928692869286928692869286928692869286929517#86928692869286928692869286928692,union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,8,294.0,16.0,2.9872449035336426,2.0,241.0,39.0,12.0,0.006802721088435374,0.8197278911564626,0.1326530612244898,0.04081632653061224,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"-5748'86925c555748#86928692b  8692 869223348391#8692869228692869286928692#86922869286928692233486928692869260395870869286928692#O#869286928692869286928692869272308692508782688692528692  28878692524330RS# 2334,#869286928692286928692869286928692  8692869286928692869272308692<# select,86928099#86928692869272308692#86928692869286928692869286925925869242668692869286922149486928692286928692869222858692233486928692869218692869286928391#72308692869286928692869286928692869286928692511992137411839#86928692  =8692  ",union,union,seqgan_improved,seqgan_improved__phase2b__union__D__100__V2_B6X__sql_aware__len160__gpre120__reward_off__seed88,9,510.0,26.0,3.133977255400062,11.0,468.0,13.0,18.0,0.021568627450980392,0.9176470588235294,0.025490196078431372,0.03529411764705882,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
