run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,1,0.09236685186624527,0.3043156087398529,0.13538494945997262,0.5634661549116036,0.13538494945997262,0.028343192416347276,0.050416022539138794,0.982265587647756,0.94,0.06000000000000005,0.08,0.12,0.66,0.22,0.8834364830598382,0.7925449821959539,82.5838940069998,"[""-ubw' inobal ymaboal"", ""-6789'||  (  select 'ucky '||  (  select 'jua' from dual"", "" select * from users where id  =  "", ""-7564' in modlean l information_schema.v"", "" select from users where id  =  mo"", ""-6067'+  (  select 'bfhf' where 6915  =  3967  )   a"", ""-6789'||  (  select '4869uc' from userl where 9128  "", ""-3593%' union all select 1580,1580,--"", ""-2204'||  (  select 'bwaf' from uolean mo"", ""-6789'||  (  select 'uew' from dual union all select"", ""-5817' id mode  lea bodd"", ""-1641'||  (  select 'juhf  )    )    as jrxy "", ""-4465%' union all select 9184--"", ""-8982' inual where 4884  =    7682 union"", ""-3638\"" union all select 4394,4394,4394,,4394,4394"", ""-9145' in bolean  l bad'"", ""-6789'||  (  select 'ua' from dualean mol"", ""-%'   )    ogn moderxym where"", ""-6067'+  (  select 'bf' *e from d  =  7682 ua"", ""-2314%'   )    )    a' where id  =  from"", ""-9145' ibc 9565  )   lsers where "", ""-3667%'   )    )    where 6915  =  6915 union all"", ""-2384'||  (  select 'sh9145' from all d  =  3114 mo"", ""-7848%\"" union all select 3303,5235,4394,1580,1580"", "" select * from users where id  =  "", ""-8677'||  (  select 'xkaduc' from users c"", ""-7637\"" union all select 4394,4394,4394,4394,4394,"", ""-6067'+  (  select 'be' where id  =  )ual where"", ""-2384'||  (  select 'xown' from dual where 9321 "", ""-3442' in modleml  ' idd"", ""-1876'||  (  select 'itfc' from dual where 2163  "", ""-3017\""   )    )    as cv', 'as where 4011"", ""-\""' in boolean moder"", ""-7078%\""   dcz' from sers union all"", "" select * from usery  =   union all "", ""-2314%'   )    )    asers where d  ="", ""-7111%\"" union all 7039 select mode  3114  "", ""-3226'||  (  select 'ykdw' union users where i"", ""-4452%\"" union all select 8498,4394,6346,8498,--"", ""-4465%' union all select 4394,8498--"", ""   a select * uye where d  4100  )uc"", ""-2230%\"" union all select 9184--"", "" select * from users where id  =  "", ""-union' in all select 6083mualeadm"", ""-1606'||  (  select 'qbaa' from dualean m"", ""-8677'||  (  select 'ieub' fromaan moderz"", ""-3017\""   )    )    as cvv where sxa"", ""union select 1580,1580,1580,1580,1580,1580,1580,1580,"", ""1234 \"" AND 1  =  0 UNION ALL SELECT \""admin\"", \""81den  )b52d"", "" select * from users where id  =  ""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,2,0.11432149261236191,0.3337827458977699,0.18432219343079292,0.6273450017543969,0.18432219343079292,0.035199011483989295,0.0615038126707077,1.1977208316326142,0.9,0.09999999999999998,0.1,0.12,0.66,0.22,0.8981973659455313,0.8434386710307861,89.85241173000031,"[""-8677'||  (  select 'ihpm' from dual where 1858  "", ""7637\"" i from dual union 5235 where 6630  "", "" select select * from 7141,3075,6083,3075,6196t,"", "" select * from users where 3967  =  ="", "" select * from useausers where i"", ""-9808' bolgan mooolean "", ""-5776%' union all select 9184--"", ""-7078'||  (  select 'ltha' from dual where where "", ""-2305' in boolean moocd"", "" select * from users where disal"", ""4465munion all select 8498,,8498,5--"", "" select from users where ise  =  3967"", ""-  )   mno' where dual where 8417  "", ""-4465%' union all select 57296083,4394,8498,8498,"", "" select * from users where id  =  "", ""-9145' iinbooe  =  =  uloa"", ""-7637\"" union all select 3303,6346,3303--"", "" select * from users where id  =  "", ""-7627%\""   )    )    as dua where sa"", "" select * from users where idd  s"", ""-4955%' union all select 4612,t,6083,6083,8095"", "" select * from users ljivky "", ""-2314%'   )    )    al where 2489  =  3967 "", "" select * from us users where id"", ""-9046' union all select 5729,4612--"", ""-6186' in booloecz' from v"", ""-4711' from djug  l where 4884  =  7039"", ""-5817' in mode  e  =  =m)m"", "" select * from users where id  =  "", "" select * from users where id  =7039"", ""-5217'||  (  select 'jufn' from users ias"", "" select * from ualesrs where id  "", "" select from users where id  =  3967 "", ""-7111%\"" union all select 9184--"", ""4955 union select * where 8095  =  7039 union union "", ""-2305' in boolean moog  "", ""-7848%\"" union all from ualeak  d"", ""-3370' in boolean vk where "", ""-5776%' union all select 9184--"", ""' select * from users where id  ="", ""-7078where+  (  l where id  =  5076  )   "", ""  select * from users us ajx"", ""-6789'||  (  select 'nmuanl)ean' from dua"", ""-2305' in booleean 3303 us"", "" select * fromo information_schema.tal duc yu"", "" select * from users where id  =  "", ""-5520%\"" union all select 5928,1,5729,84983560--"", ""-2204'||  (  select 'bck' where 2256  =  2617  )    )e"", ""2643select union select 6083,6083,6083,8498,6083d3560,6083"", "" select * from users where id  =  ""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,3,0.04982661083340645,0.36487880945205686,0.1299525977866629,0.48860958366064416,0.1299525977866629,0.02208947259753196,0.031806476414203644,1.247372994820277,0.82,0.18000000000000005,0.18,0.08,0.76,0.16,0.9015357222514866,0.8483542983365667,82.28656450300014,"["" select select * from users where id  "", ""-5217'||  (  select 'juannol from where id  =  "", "" select * from users where id  =  "", "" select * from users where i8095  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-8325   )    )    as cvs where 7682  =  "", ""-4711' in)nms lnyuas is"", ""-9808' in boolean mode  "", "" select * from users where id  9565  "", "" select * from users where id  =  "", ""-7627%\""   )    )    al where 9321  =  = "", "" select 1580,1580,1580-- 2163+ select 4612,6083,6083"", ""-7627%\""   )    )    asers where d  5076"", "" select m * from usenrs where id"", "" select * from users where id  =  "", "" select * from users where idd  ("", "" union select 3075,3075,3075,3075,3560,3075,3075,7141"", "" select * from users where id  =  "", ""-4955%' union all select 4612,6083,6083,6083,6083"", ""-5817' imidin bn boolea"", ""-4955union' union all select 4612,4011,6196,6196,4612"", ""select * from users where 4719  =  =  "", "" select select * from users where 2256  ="", "" select * from useras vk where i"", "" select * from us m  =  =  l union "", ""-7637\"" union all  8498dd  )d  ,1,8498"", "" select select * from users where id  "", ""-6067'+  (  select 'gq)    goas can all   o"", ""-2643%\"" union bood   ase s  l "", ""-6789'||  (  select 'bwolea' where id  =  9565 "", ""-4955%' union all id=  =  select 3303d  "", "" select * from users where d  =   "", "" select \"" AND 1  =  0 UNION ALL SELECT \""60836083d9db6083,6083,6083,6083--"", ""-2230%\"" union all select   =  select bodl"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select from 6083users where id  =  5076"", ""-7111%\"" union 7039 all select use  =  8498"", "" select 5928,5928a,)    ysan in m  "", ""-5776%' union all select,5729,4394,1942,4394,1942"", ""-3226'||  (  select 'ykz' from dualean mo"", "" select 6346 * from users where id  "", "" select * from users where id  =  "", "" from no)oleanm boode  a"", ""-8982' in boolean moles"", ""-7001'+  (  select issl, where 4612(6196"", ""-3\""    where 6915  =  =mm' bode"", ""-4955%\"" union all select 3303,3303,3303--"", ""-1606'||  (  select 'qbaa' where 2256  =  7682 5076 union""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,4,0.06245291978120804,0.36673037707805634,0.14828554535521,0.5379888560423733,0.14828554535521,0.026484861748794383,0.024990461766719818,1.3451268076896667,0.64,0.36,0.38,0.12,0.76,0.12,0.909084546301932,0.8752177534262525,83.47549909500003,"["" select * from users where id  =  "", "" select * frommosers where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-1876'||  (  select 'ifc' from idug select 4612ad"", "" select * from use  =ladmodmo"", ""-6789'||  (  select 'uckza' from dual where d"", ""-4711' select in5729 bidb  =  7682 b"", ""-6186'  )   as uc where 9321  =  7039 "", ""-2314%'   )    )    ain moc mos"", ""-2230%\"" union all select 3303,8498,--8498--"", ""-2643%\"" union all select 4612,3303--"", ""   union select iode  =  =   modl"", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-4318\""  )   as c where 4719  =  5076 b"", "" select * from users where id  =  "", ""-2314%'   union all select 4612,4011,4011,572940114612"", "" select * from users where id  =  "", "" select * from uasers cj where i"", "" select * from users where id  =  "", ""-5008'   )    a in uc s where d  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-6436' in boolean 9565 use"", "" select * from useadud  zual "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-8982' in booderz c moo"", ""-5217'||  (  select 'jx3667gmog all select   *  e  "", "" select where select 1,5729,load_file  e  =  5076 select"", "" select * from users where id  =  "", "" select * select from uesins 8095d  l"", ""-2643%\"" union all select 3303,3303,5235,5235,5235"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-7848%\"" union all select 5729,4612select,3303--"", "" select * from useanrs where id  "", ""-2305' in boolean mode  "", "" select * from users where id  =  "", "" select * from us where ussean b"", ""-8677'||  (  select 'iheain booo where d  9565"", "" select * from users from dual "", "" select 8498,6083,6346,8498,608346126083c4394,4394s,"", "" select * from users where id  =  "", ""-6436' in boolean mode  "", ""-8982' in boolean c\"", \"""", ""-9098'||  (  select 'vfn' from duaod  aeao""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,5,0.07404928654432297,0.36553719838460286,0.29161954675830387,0.5215408517129766,0.29161954675830387,0.04950332419572985,0.03520962595939636,1.3657611429691314,0.64,0.36,0.38,0.04,0.8,0.16,0.9401675414586513,0.9051488292627294,82.04352214900018,"["" select  select * * from users where "", "" select * from users where id  =  "", "" select * from us information_schema.' id * ' AND 1  =  0 UNION ALL SELECT '"", ""-7637\"" all  select 1580,1580--"", "" select * from users where id  =  "", "" select from from us sauan union all "", "" select * from userz where 8950  =  7682"", ""-2305' iin iode  =ual where "", "" select * from users where id  =  "", "" select * from users where 7682  i union"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select select * from ug  =  9565 union allm"", "" select  * from users where id  ="", "" select * from users where id  =  "", ""-6789'||  (  select 'muak,z' from dual where "", "" select * from useryq in union all"", ""-2230%' union all select 5729,v,6083,6083,6083"", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-4955%' union all select 4612,3560,6196,3560,6196"", "" select * from users where id  =  "", "" select * from users  where id  ="", ""union all select 1580,1580,1942,1580,1580,1580,1580,"", "" select * from users in where id"", ""-3442' in bo d  dual where 3114"", "" select * from users where id  =  "", "" select * * from users where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-8982' in booleanogmiol"", "" select * from users where id  =  "", "" select * from us where 8095  =  =  =  "", "" select * from users where id  =  "", ""-7637\"" union all select useamode  ="", "" select * from users where id  =  "", ""-6789'||  (  select 'uckz' where 7682  = union all select"", "" select * from users where id  =  "", "" select * from users where 2256    =  "", "" select * from users where id  =  "", "" select * from uasers where select where "", "" select select * from users where id  "", ""-3442' in boolean 8498 ual"", ""-7485\""   )    )    daooas where d  ="", ""-4711' ink, all se,r' from d"", "" select *  from users where id  ="", ""-f%' union all select 4394,4394,8498,4394,8498"", "" select * from users where id  =  "", ""-6067'+  (  select 'bfhf' where id  =  =  )   "", "" select * from users where id  =  ""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,6,0.060025230050086975,0.3579389621814092,0.24028190829400384,0.5082413345481319,0.24028190829400384,0.032681750477222105,0.05094346031546593,1.0557399143775303,0.62,0.38,0.38,0.08,0.76,0.16,0.935856541256534,0.9110021546526571,80.74024556699987,"["" select * from users where id  =  "", "" select * from users where id  =  "", "" select  select * from users where id"", "" select * from users i where d  ="", "" select * uoosera where idud  "", "" union select * * where id  =  )  )   "", ""select m\"" in bode  )  =  select select"", "" select * from users where id  =  "", ""-2305'n i select use  =  =buan"", ""union union select 3560,3075,,3075,3075,3075,7141,3075"", "" select * where 6083ode  =  select  =  5076  "", "" * from n dual where id  =  5076"", "" select * from u,ss rxq where id"", ""-4955%' union all select  =  3114  )   al "", "" select * from userz,6196,4612as d"", "" select * from users c where 9584  ="", "" select * from users where id  =  "", "" select * from users, where idus"", "" select * from users where id  =  "", ""-4711' in boolean mode  "", "") select * uyoal where information_schema5928,1,3075"", ""-1710\""   )    )    as cp  s cs a"", "" select * from users where id  =  "", ""-4711' in boolean mode  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select where select us,5\"" AND 1  =  0 UNION ALL SELECT \""V'||  (  select 'dcn' select"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select select * from usery where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id=  7682"", "" select * where userz where id  =  "", ""-2230%\"" union all select 4612,4612--"", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-6186' in boolean mode  "", "" select * from 4394 4612,4011,"", ""9565 union all select 5235,5235,5235 6229iwhere id"", "" select  * from users where id  ="", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-7848%\"" union all select select 5729,3560,4394,4011"", ""-4058  )   union all select * dual where "", ""-2384'||  (  select 'qda' where id  =  9565 boo"", "" select * from users where id  =  "", "" select * from users where iid  =""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,7,0.048948969691991806,0.392522919178009,0.30208214653862847,0.5073016454303075,0.30208214653862847,0.032442997623225944,0.03480694442987442,1.1721994698047637,0.64,0.36,0.38,0.0,0.92,0.08,0.9394038079298066,0.9225634568275275,77.08939414999986,"["" select * from users where idc 5729"", "" select * from users where iid  ="", "" select * from users where id  =  "", "" select * from s userz where id  "", "" select * from users where id  =  "", "" select * from users where in  =  "", ""-2798'+  (  select 'emobaoz' from dual where"", ""-5217'||  (  select 'uykyean' from sl sl "", ""-2899\""   )    where d  3114 bsl where id"", ""-1641'||  (  select 'jkjxm   all 4612,1580,1580,19421580"", "" select * from users where id  =  "", "" select * from user= where id  =  "", ""-6186' in booserz where select *"", "" select * from users where id  =  "", "" select * from users where id  z  "", "" select * from users where id  =  "", "" select * from users ni n us"", ""-7848%\"" union all select 5729,4612,5729,8498--"", "" select * from users where id  =  "", ""-3593%' union all select 4011,3560,3560,3560,3560"", "" select * from users where id  =  "", "" select * from users in union all "", "" select * from users where id  =  "", ""1234 select * from dual where 6915  = i"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from usesrs where id  ="", "" select select * from users where id  "", ""-6067'+  (  select 'bfhf' union all d  =  5076 i"", "" select * from use  ers where id  "", "" select * from user' from dual "", ""-2230%\"" union all select 6083,6083,4011,9184----"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * n from users where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-5776%' union all where id  3114  =  select "", ""where id use  =  =  )   union all i"", ""-1710\""   )    )    as from dual where "", "" select * from u--sers where id  ="", "" select * from users where id  =  "", "" select * from users where 8950id  ="", ""o where id  =  ballulodan m "", "" select * from users where id  =  "", "" select u,6083' from dual where 2617  ="", "" select * from users where id  =  "", "" select * from users where select id  ""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,8,0.021244212985038757,0.38606181045373283,0.19856016635894774,0.47890625,0.19856016635894774,0.012356468367733561,0.01191998552531004,0.9360619604587554,0.4,0.6,0.62,0.04,0.92,0.04,0.9478693655859829,0.9301701638666199,74.69541507599979,"["" select * from users where id  =  "", "" select * from users where id  =  "", ""-9098'||  (  select 'j from d  =  select where =  =  ="", ""-2305' union boodealgusers "", "" select * from users where id  =  "", "" select where * * users where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-9046' union all select  =  5076 in boo"", "" select * from users where id  =  "", ""select select *  from users where idd"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select 3303 * from 8095  =  ers where i"", "" select * from users where id  =  "", "" select from urs where id  =  9565 bo"", "" \"" AND 1  =  0 UNION ALL SELECT \""dmdmboodc' from dual "", "" select * from users where id  =  "", ""-2314%'   )    )    as where d  =  7682 "", "" select * from from users where id  "", ""-3924'||  (  select 'iceo  s where id  =  = b"", "" select * from users where id  =  "", "" select * from users where idr=  "", "" select * from users where id  =  "", ""in mode mod   m2899  )6196' "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select select* from users where id  ="", "" select * from users where id  =  "", "" select * from users where id  =  "", ""3442 q bodcan mosers where "", ""-9098'||  (  select 'yick     where 5543  =  6915 b   o"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-4955%' union all 1580,1580,1580,1942 *,5928"", "" select * * from users where id  "", "" select * from users where id  =  "", "" from users where idud  = mo""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,9,0.025403542444109917,0.366491178671519,0.1395616643393329,0.506773707450323,0.1395616643393329,0.007658242977797228,0.013196868821978569,1.0057904839515686,0.38,0.62,0.64,0.04,0.92,0.04,0.9608047277971484,0.9574148055839267,70.44244553800036,"["" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * fromn users where id  ="", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select from users where id  =  =m"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from uslean users "", "" select * from users where id  =  "", "" where select * from users where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from from users where id  "", "" select * from users where id  =  "", "" select select * from users in where "", "" select * from users where ide  ="", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-  %' union all select where 8417  =  3114 i"", ""-5817' in boolean moose"", ""-3226'||  (  select 'qboaac all * from user"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" * from users where id  =  =m"", "" select * * from users where id  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""h\"" union all select d5729dud  )    ,--"", ""-2230union all select *m * from d  =  )"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""-9145'in n6196 all d  =  )u  l "", "" select b* from users where id  ="", "" select * from users where id  =  "", "" select  * from users where id  ="", "" select * from users where id  =  ""]",
seqgan_improved__phase3__union__F__200__V3__sql_aware__len20__gpre160__reward_off__seed88,seqgan_improved,phase3,union,F,200,V3,88,sql_aware,20,160,off,1.0,10,0.01514044962823391,0.36202566921710966,0.2128368616104126,0.49140625,0.2128368616104126,0.013727045428331051,0.03516155108809471,1.1183219403028488,0.32,0.6799999999999999,0.7,0.0,0.96,0.04,0.9686575013454994,0.9619866161620607,68.64845036499992,"[""-1606'||  (  select 'qbac from users where id"", "" select from users where id  =  = "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", ""= union all 9565 select 8498,6083,8498,6083,6083,"", ""-7848\"" union all select e  =  =  )l where"", "" from users where id  =  = union "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select select * usfroms where id  =  ="", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select where * from 4100oasers where i"", "" select * from usasers where id  "", "" select * from users where id  =  "", ""-2230%\"" union all select 4612,6083,6083,6083,6083"", "" select * from users where id  =  "", "" select * from oodr= moodcam"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where select * from"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from duserz where id  ="", "" select * where 4612 users all * from"", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from users where id  =  "", "" select * from usesrs where id  ="", "" select from users where id  =  7682  "", "" select * from users where id  =  "", "" select * from users where id  =  ""]",
