id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,22,2,13,6,0,0,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0.1734510064125061,0.26911330223083496,0.11992205679416656,3.1085658073425293,8,1.837376594543457,4,1,0,1,0,0,0,0,1,0,R000092,4.558373936163537
CTGAN_000002,attack,boolean,18,4,12,11,0,0,2,0,3,1,2,0,1,0,3,1,0,0,0,0,0,0,0,3,0.3748522102832794,0.5111576318740845,0.18372470140457153,3.0798733234405518,8,2.148801565170288,4,1,1,1,0,0,1,0,0,0,R000309,5.946991380016901
CTGAN_000003,attack,boolean,7,4,13,10,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,2,0.0,0.19311337172985077,0.028313107788562775,3.7140674591064453,7,2.452108860015869,2,1,0,0,1,0,0,1,0,0,R000036,6.700503156901588
CTGAN_000004,attack,boolean,7,4,9,5,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,6,0.2783167362213135,0.3743203282356262,0.14780104160308838,3.620129346847534,8,1.2241004705429077,3,1,0,1,0,0,0,2,0,0,R000099,5.559598039791059
CTGAN_000005,attack,boolean,19,2,9,6,1,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0.44930151104927063,0.257408082485199,0.48398908972740173,2.3354475498199463,7,2.269312620162964,4,1,2,1,0,0,0,1,0,0,R000100,6.698689684277782
CTGAN_000006,attack,boolean,7,3,9,10,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0.5283185243606567,0.41227638721466064,0.2415556162595749,3.272930860519409,8,2.751690626144409,4,1,2,1,0,0,0,0,3,0,R000131,5.924942609420047
CTGAN_000007,attack,boolean,25,1,13,10,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0.6359352469444275,0.26273319125175476,0.26795196533203125,3.293584108352661,7,1.9845330715179443,4,1,2,1,1,0,0,1,3,0,R000237,6.161040252907781
CTGAN_000008,attack,boolean,22,7,3,10,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,2,0,1,4,0.5163687467575073,0.4100767970085144,0.3435920178890228,3.3076627254486084,7,2.4948415756225586,4,1,2,1,0,1,0,0,0,0,R000309,5.432335491361215
CTGAN_000009,attack,boolean,23,8,10,0,0,1,0,0,2,1,1,0,0,1,1,1,0,1,0,0,2,0,1,5,0.2678241729736328,0.44982150197029114,0.0694088414311409,3.4298620223999023,8,1.8157857656478882,4,1,1,1,0,0,1,0,1,0,R000234,5.828917715279327
CTGAN_000010,attack,boolean,4,2,11,11,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,4,0.20903536677360535,0.3745126724243164,0.24880437552928925,2.705312728881836,9,2.5226073265075684,4,1,3,1,0,1,0,0,3,0,R000253,7.9636220764323955
CTGAN_000011,attack,boolean,24,2,12,10,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0.512565553188324,0.38589900732040405,0.2109866440296173,3.4229156970977783,8,2.5559635162353516,4,1,0,1,0,0,0,1,0,0,R000192,2.9422454852855373
CTGAN_000012,attack,boolean,10,3,1,19,0,0,0,0,0,1,0,1,3,1,2,0,0,2,0,0,0,0,0,4,0.38971948623657227,0.29494383931159973,0.2026463896036148,3.747565269470215,7,2.2155489921569824,4,1,1,0,1,0,0,0,0,0,R000160,8.106126021543476
CTGAN_000013,attack,boolean,25,2,11,5,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0.04649578407406807,0.37712037563323975,0.1708459109067917,2.5301811695098877,8,2.6784937381744385,2,1,0,1,1,0,0,0,2,0,R000190,5.011651270191708
CTGAN_000014,attack,boolean,29,3,9,9,0,0,0,0,3,1,0,0,1,2,0,0,0,1,0,0,0,0,1,4,0.3958229422569275,0.3900720477104187,0.1521020382642746,3.4630935192108154,8,2.3169639110565186,4,1,1,1,0,1,0,3,0,0,R000192,5.883561995804831
CTGAN_000015,attack,boolean,17,4,1,6,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,7,0.45892372727394104,0.2705036997795105,0.24468716979026794,3.6654953956604004,8,1.5796728134155273,4,1,2,1,0,0,1,1,3,0,R000275,5.885867459496084
CTGAN_000016,attack,boolean,29,8,11,5,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0.16759461164474487,0.3888395130634308,0.7769393920898438,3.1172008514404297,8,2.4491374492645264,4,1,2,0,0,2,0,4,0,0,R000061,9.58898997957695
CTGAN_000017,attack,boolean,28,2,2,6,0,3,0,0,2,1,0,0,0,2,2,1,0,1,0,0,0,0,0,5,0.44210195541381836,0.30339938402175903,0.20783065259456635,3.2984797954559326,8,1.7048134803771973,4,1,0,1,1,0,0,2,0,0,R000234,5.501994870503739
