id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,141,79,7,54,0,4,4,4,0,2,2,0,0,0,0,0,0,1,3,0,0,1,1,18,0.05321274325251579,0.33282142877578735,0.10682868957519531,3.4497804641723633,41,2.0148069858551025,6,4,0,1,0,1,0,2,1,0,R000128,5.72636316554586
CTGAN_000002,attack,boolean,142,52,11,61,0,0,4,0,0,2,2,0,3,0,3,1,0,2,1,0,0,1,1,19,0.07521218806505203,0.5470014810562134,0.147284597158432,4.19741153717041,36,2.873749017715454,9,3,0,2,0,0,0,1,0,0,R000093,7.182711997680961
CTGAN_000003,attack,boolean,127,32,15,72,0,0,9,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,19,0.17684251070022583,0.2554819583892822,0.15360423922538757,4.444291591644287,30,2.7818143367767334,16,4,0,0,1,2,1,0,0,0,R000241,5.9746816300902506
CTGAN_000004,attack,boolean,143,68,10,36,0,4,6,4,2,1,2,0,2,5,1,0,0,1,0,0,0,1,1,14,0.16269055008888245,0.2669419050216675,0.13111434876918793,4.400038719177246,30,3.287709951400757,15,3,0,0,0,1,1,0,0,0,R000127,6.789375515284311
CTGAN_000005,attack,boolean,137,58,17,52,1,0,9,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,13,0.060990992933511734,0.2689977288246155,0.14469179511070251,3.6443326473236084,34,2.4394142627716064,10,3,1,0,1,0,1,2,0,0,R000042,5.7695680281712
CTGAN_000006,attack,boolean,139,63,15,41,0,3,4,1,1,2,0,0,0,0,2,0,0,2,0,0,0,1,1,24,0.16973234713077545,0.3167227804660797,0.15693703293800354,3.814613103866577,37,2.591648817062378,7,3,2,0,0,0,1,1,1,0,R000146,6.099984332825235
CTGAN_000007,attack,boolean,140,50,10,58,5,0,7,2,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,15,0.06486696004867554,0.29474499821662903,0.125036358833313,4.0617547035217285,41,2.579789400100708,7,4,0,0,2,1,1,3,0,0,R000173,6.80281386116327
CTGAN_000008,attack,boolean,135,71,6,37,1,1,8,3,0,2,0,0,3,0,0,0,0,1,0,0,0,1,1,17,0.11876644194126129,0.29811891913414,0.1324009895324707,4.00563383102417,29,3.052527904510498,10,3,0,1,0,0,1,0,0,0,R000248,5.143432128270069
CTGAN_000009,attack,boolean,140,54,14,43,4,0,5,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,19,0.04816127568483353,0.24777410924434662,0.13431937992572784,4.091154098510742,34,1.862413763999939,8,3,0,0,1,0,2,1,1,1,R000255,5.961209864336947
CTGAN_000010,attack,boolean,132,45,6,45,0,0,6,5,0,2,2,0,0,7,0,0,0,0,1,0,0,1,0,20,0.10649391263723373,0.23802167177200317,0.11964604258537292,3.655539035797119,36,2.6384260654449463,11,3,0,0,1,0,1,0,0,0,R000158,5.832158987185317
CTGAN_000011,attack,boolean,132,91,6,41,0,1,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,31,0.08684471249580383,0.3380667269229889,0.1481398642063141,3.8227977752685547,34,2.4937117099761963,8,3,0,2,1,0,3,1,0,0,R000018,6.847719694941754
CTGAN_000012,attack,boolean,143,39,26,38,2,0,8,2,2,2,2,0,0,0,1,0,0,0,0,0,3,1,0,13,0.05355229601264,0.2457921802997589,0.1514987349510193,4.137651443481445,33,2.772559404373169,10,2,0,0,0,2,0,0,0,0,R000280,8.452783330445419
CTGAN_000013,attack,boolean,135,67,7,48,0,3,3,1,0,2,0,0,2,0,2,0,0,2,2,0,0,0,0,18,0.07198062539100647,0.3212895691394806,0.14446334540843964,3.9253692626953125,30,2.620837688446045,6,2,0,0,0,1,0,0,1,0,R000139,5.750650158390741
CTGAN_000014,attack,boolean,138,51,18,48,0,0,8,2,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,29,0.045675504952669144,0.23418718576431274,0.16204878687858582,4.183981895446777,36,2.7293701171875,9,4,2,1,1,0,0,0,0,1,R000015,6.372310735724388
CTGAN_000015,attack,boolean,135,80,22,56,4,3,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.16589702665805817,0.31393963098526,0.15302960574626923,3.0773091316223145,28,2.819756031036377,7,3,0,0,0,0,2,1,1,1,R000187,7.717738793208935
CTGAN_000016,attack,boolean,131,73,15,44,0,0,9,1,3,1,0,0,3,0,0,1,0,1,0,0,0,0,0,16,0.1624041199684143,0.26452890038490295,0.11124251782894135,4.189116477966309,35,3.428825616836548,8,4,1,0,0,0,0,1,0,0,R000152,6.476990345193736
CTGAN_000017,attack,boolean,134,29,16,33,2,0,5,1,1,2,2,0,0,0,3,0,0,0,0,0,0,1,0,17,0.0,0.33556607365608215,0.16602328419685364,3.619300603866577,31,2.5739872455596924,9,1,0,3,0,0,0,1,0,0,R000107,7.0114645426061655
CTGAN_000018,attack,boolean,137,84,16,52,3,3,6,4,0,1,2,0,0,0,0,2,0,0,6,0,0,0,0,21,0.0970243364572525,0.28164470195770264,0.19902420043945312,4.285468578338623,39,3.054495334625244,15,4,0,0,0,0,1,1,0,0,R000095,5.691005990386627
CTGAN_000019,attack,boolean,136,48,12,32,6,0,4,3,0,2,0,0,1,0,2,1,0,1,0,0,0,0,0,28,0.06190881133079529,0.31936970353126526,0.16204005479812622,4.327884674072266,34,2.0486948490142822,10,3,0,3,0,0,0,0,2,0,R000173,6.757121343907944
CTGAN_000020,attack,boolean,140,86,12,39,2,1,10,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,22,0.050332799553871155,0.4793705344200134,0.12871144711971283,3.666215181350708,34,2.491240978240967,10,4,3,0,0,0,0,1,0,0,R000273,5.290228166498645
CTGAN_000021,attack,boolean,140,80,15,63,0,0,4,0,0,1,0,0,3,0,0,2,0,1,0,0,0,1,0,20,0.18668591976165771,0.25538989901542664,0.14682801067829132,3.6498148441314697,36,2.8927600383758545,14,3,0,1,0,0,1,1,0,0,R000275,6.962918365572486
CTGAN_000022,attack,boolean,129,68,9,54,2,1,3,0,0,1,2,1,0,0,0,1,0,2,0,0,1,0,1,14,0.07868688553571701,0.294077068567276,0.1387924998998642,3.760587453842163,25,2.8398423194885254,10,2,0,0,0,1,2,0,0,0,R000301,7.476109137210912
CTGAN_000023,attack,boolean,129,67,24,43,1,1,9,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,22,0.084457628428936,0.3270174562931061,0.13578741252422333,4.036516189575195,29,2.828413248062134,10,3,0,0,0,0,2,0,1,0,R000101,5.87916461140989
CTGAN_000024,attack,boolean,141,52,10,41,0,2,9,4,2,2,0,0,0,4,0,1,0,0,0,0,1,1,0,17,0.0,0.2999696433544159,0.1712678074836731,3.795438766479492,27,2.3973388671875,10,3,2,1,0,2,2,1,0,1,R000258,9.037024338797032
CTGAN_000025,attack,boolean,130,70,15,33,0,0,8,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,1,20,0.06177448481321335,0.3463298976421356,0.14429917931556702,4.434024333953857,37,2.5742764472961426,10,3,0,0,1,0,3,1,1,0,R000215,5.930003694197752
CTGAN_000026,attack,boolean,141,80,14,47,5,0,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,20,0.10963132232427597,0.29490533471107483,0.12912961840629578,3.5848803520202637,38,2.4060068130493164,8,3,0,0,0,0,0,0,0,0,R000255,4.845332931602139
CTGAN_000027,attack,boolean,138,49,13,36,4,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0.16387218236923218,0.49128156900405884,0.156577467918396,3.8879425525665283,29,2.125969171524048,8,4,0,2,0,1,1,3,1,0,R000294,6.357168705867536
CTGAN_000028,attack,boolean,134,52,18,36,0,0,10,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,17,0.10381165146827698,0.24104873836040497,0.15370115637779236,4.185368061065674,37,2.4126992225646973,10,4,2,0,2,0,1,2,1,0,R000028,6.431853808972636
CTGAN_000029,attack,boolean,130,42,22,40,0,3,8,4,1,1,2,0,3,0,0,0,0,0,2,0,0,1,0,20,0.15728528797626495,0.281563401222229,0.16668692231178284,4.162895679473877,31,2.736562728881836,8,3,1,1,0,1,0,0,0,1,R000061,6.506022754967089
CTGAN_000030,attack,boolean,142,66,18,41,8,0,6,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,15,0.19347713887691498,0.2751595675945282,0.13515368103981018,3.9165167808532715,38,2.2539150714874268,13,4,1,0,0,0,0,0,1,0,R000116,5.939761596404146
CTGAN_000031,attack,boolean,139,69,11,47,0,0,11,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,18,0.06433749943971634,0.4223684072494507,0.17311261594295502,3.7033028602600098,39,2.4939534664154053,7,4,0,0,0,1,3,0,0,0,R000226,6.56824991071369
CTGAN_000032,attack,boolean,143,94,11,43,3,0,9,5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0.0944192111492157,0.3337109684944153,0.20768968760967255,3.5901100635528564,27,2.814831018447876,10,3,0,0,1,0,0,0,0,0,R000213,6.264201763929964
CTGAN_000033,attack,boolean,141,70,10,40,1,1,3,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,16,0.125954732298851,0.4974919855594635,0.2456524521112442,4.273887634277344,28,2.9745001792907715,15,2,2,2,1,0,0,0,0,0,R000113,7.815025814445207
CTGAN_000034,attack,boolean,130,50,6,37,3,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,17,0.06193026527762413,0.2483689934015274,0.20269396901130676,3.671065330505371,34,2.5747570991516113,15,3,1,0,0,0,0,0,0,0,R000138,5.351777978769232
CTGAN_000035,attack,boolean,127,65,14,41,0,1,12,2,0,2,2,0,0,0,0,0,0,3,0,0,0,0,1,16,0.15948402881622314,0.36059075593948364,0.11828537285327911,4.142512798309326,32,2.8639469146728516,14,4,0,0,0,2,1,2,0,0,R000010,5.962329208457765
CTGAN_000036,attack,boolean,143,74,9,39,5,0,5,2,0,2,2,0,1,0,3,0,0,0,4,0,0,1,1,18,0.0749712586402893,0.48280560970306396,0.12043525278568268,4.163418769836426,27,2.827937364578247,6,4,0,3,0,0,3,2,1,0,R000044,7.669609618319501
CTGAN_000037,attack,boolean,139,79,8,40,4,0,9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,29,0.0900336280465126,0.44092658162117004,0.14654678106307983,4.251534461975098,35,2.4794564247131348,14,4,0,3,1,0,0,1,0,0,R000014,6.535811936987752
CTGAN_000038,attack,boolean,142,72,16,43,4,0,9,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,16,0.07519051432609558,0.41204744577407837,0.1427529752254486,4.375500679016113,34,1.965702772140503,9,3,0,0,0,0,0,3,0,0,R000255,5.285325202377625
CTGAN_000039,attack,boolean,134,90,8,34,0,0,9,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,22,0.08615677803754807,0.3002123236656189,0.16198313236236572,4.207815170288086,35,2.74733829498291,8,2,0,2,1,0,0,2,0,1,R000226,6.475342774188122
CTGAN_000040,attack,boolean,138,37,8,34,0,0,9,2,1,2,2,0,2,0,3,0,0,0,0,0,0,1,1,21,0.1078144833445549,0.3350070118904114,0.21288616955280304,4.031414031982422,41,2.2317750453948975,11,3,0,0,0,0,1,3,0,0,R000255,7.115411673077603
CTGAN_000041,attack,boolean,136,84,16,40,9,0,5,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,17,0.13389670848846436,0.46449607610702515,0.09654203057289124,4.141321182250977,36,2.65604305267334,7,3,0,0,0,0,0,2,0,0,R000307,6.354492522218309
CTGAN_000042,attack,boolean,135,57,8,46,0,0,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,19,0.0688454881310463,0.273245632648468,0.12639743089675903,3.9734928607940674,28,1.7500468492507935,10,3,2,0,0,0,0,3,0,0,R000056,6.135993511486916
CTGAN_000043,attack,boolean,136,82,13,35,4,1,9,1,0,2,2,0,3,0,2,0,0,0,0,0,0,1,1,15,0.14779317378997803,0.41923779249191284,0.15813235938549042,4.433791637420654,26,3.221096992492676,17,3,0,0,1,0,1,0,0,0,R000182,6.473653740155977
CTGAN_000044,attack,boolean,135,102,25,45,4,0,13,2,2,1,2,0,2,0,0,0,0,2,0,0,0,1,0,19,0.10903894156217575,0.34756186604499817,0.1477920114994049,4.2860822677612305,29,2.0905935764312744,9,3,0,0,0,1,0,3,0,0,R000107,7.656707916934883
