epoch,critic_loss,generator_loss
1,8.753447151184082,0.384812593460083
2,6.481700801849366,1.2983520030975342
3,2.364805889129639,2.562131643295288
4,-3.0447286128997804,4.353090286254883
5,-8.596347522735595,5.944189548492432
6,-12.859002494812012,7.280399799346924
7,-15.335955047607422,8.660930633544922
8,-15.861515045166016,9.71642780303955
9,-15.940372848510743,8.799034118652344
10,-15.305144119262696,8.073071479797363
11,-14.209150505065917,6.594635486602783
12,-13.7007568359375,3.87985897064209
13,-12.782167625427245,1.7360872030258179
14,-12.02397346496582,0.34435778856277466
15,-10.805891036987305,-2.3182594776153564
16,-10.414868927001953,-4.151015758514404
17,-9.377778816223145,-6.242478847503662
18,-8.119840908050538,-8.50926399230957
19,-6.950315380096436,-9.570710182189941
20,-5.650276565551758,-10.383620262145996
21,-4.852724933624268,-10.691056251525879
22,-4.232133436203003,-11.97943115234375
23,-3.7092130184173584,-12.251007080078125
24,-3.564289999008179,-12.394819259643555
25,-3.3701529026031496,-11.598101615905762
