id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,75,20,1,22,0,0,6,1,0,1,2,1,2,0,2,0,0,1,0,0,0,0,0,10,0.14895012974739075,0.5189476013183594,0.15923354029655457,3.396803617477417,20,2.1106457710266113,8,3,3,0,0,2,2,1,0,0,R000265,7.115802783529767
CTGAN_000002,attack,time,85,14,23,32,0,3,6,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,11,0.17645952105522156,0.5788466930389404,0.13100077211856842,3.2568154335021973,19,2.335282802581787,5,5,1,0,0,1,1,1,0,0,R000262,5.96647794486381
CTGAN_000003,attack,time,82,34,0,26,0,1,4,0,0,1,0,0,2,0,2,0,0,2,0,0,2,1,0,10,0.17654164135456085,0.4209587872028351,0.11965540051460266,3.5004143714904785,21,2.139507532119751,9,2,0,0,4,0,0,0,0,0,R000212,7.072555032716755
CTGAN_000004,attack,time,85,23,21,26,1,1,2,1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,10,0.10096460580825806,0.29438096284866333,0.1066134124994278,3.8365907669067383,16,2.126786470413208,8,3,1,0,1,0,0,0,1,0,R000097,6.526266816268947
CTGAN_000005,attack,time,70,22,10,30,0,0,4,1,1,2,1,0,2,0,1,0,0,1,0,0,0,0,1,7,0.15396088361740112,0.4233861267566681,0.14363940060138702,3.019521713256836,16,1.9951285123825073,8,4,2,0,2,0,0,2,2,0,R000153,5.832163680869863
CTGAN_000006,attack,time,74,24,9,22,0,0,5,0,0,2,0,1,0,2,0,0,0,1,1,0,0,0,0,9,0.0,0.380053848028183,0.18190644681453705,3.059093952178955,19,2.2046730518341064,10,3,0,1,1,2,1,2,0,0,R000034,6.342204183992509
CTGAN_000007,attack,time,83,36,17,31,3,0,5,0,1,1,0,3,2,0,1,0,1,0,0,0,0,0,1,10,0.17508777976036072,0.33435553312301636,0.11985917389392853,3.130824565887451,14,2.2567615509033203,5,5,0,1,1,0,1,1,3,0,R000119,7.503929908514507
CTGAN_000008,attack,time,77,24,10,41,6,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0.3002029061317444,0.4217046797275543,0.20891571044921875,3.4897301197052,20,2.7381653785705566,6,3,0,1,0,1,0,1,1,0,R000195,6.13942213525614
CTGAN_000009,attack,time,77,27,10,32,1,0,4,0,0,1,2,1,2,0,0,0,1,3,0,0,1,0,1,6,0.05878575146198273,0.4783685505390167,0.13624590635299683,3.48956561088562,14,3.0200703144073486,5,3,0,0,1,0,0,0,0,1,R000033,6.582092623295754
CTGAN_000010,attack,time,66,23,10,50,0,1,8,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,9,0.15974728763103485,0.4117679297924042,0.135085791349411,4.176315784454346,13,3.1238646507263184,6,2,2,0,2,1,0,1,1,0,R000097,7.209273828751766
CTGAN_000011,attack,time,78,27,2,32,0,3,6,1,0,1,0,2,1,0,0,0,0,0,1,0,1,0,1,17,0.11634083837270737,0.5146465301513672,0.16248749196529388,3.999981164932251,18,1.3926177024841309,6,4,0,0,1,0,2,1,2,0,R000297,7.624046141271876
CTGAN_000012,attack,time,84,18,10,20,0,0,5,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,7,0.34574493765830994,0.4799720048904419,0.14021216332912445,3.805725574493408,19,2.2227673530578613,6,3,2,0,0,2,0,0,0,0,R000273,6.5196396472604246
CTGAN_000013,attack,time,68,22,10,25,0,0,5,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,6,0.12966963648796082,0.2837972044944763,0.14463436603546143,3.1762373447418213,16,2.3109962940216064,5,1,2,0,0,2,0,0,1,0,R000242,5.519545124609223
CTGAN_000014,attack,time,73,11,16,40,1,0,9,1,2,1,2,2,2,0,2,0,0,0,0,0,0,0,0,11,0.13378380239009857,0.2998662292957306,0.12087307125329971,2.796231985092163,20,3.186079502105713,8,3,0,0,2,1,0,1,0,0,R000092,7.107396638171376
CTGAN_000015,attack,time,77,20,0,28,0,0,6,1,0,1,0,3,0,0,3,0,0,0,0,0,0,1,1,14,0.10112003982067108,0.31364747881889343,0.13078996539115906,3.1668992042541504,17,2.181520938873291,9,3,0,0,0,0,0,0,0,1,R000017,7.247865964831442
CTGAN_000016,attack,time,80,38,9,28,1,0,3,0,0,1,2,1,3,0,2,0,0,2,0,0,0,0,1,7,0.16613677144050598,0.3749109208583832,0.09161339700222015,4.052614688873291,16,2.861156702041626,7,3,0,2,4,0,1,2,2,0,R000084,7.814690420664357
CTGAN_000017,attack,time,77,35,22,23,0,0,5,0,0,2,0,2,2,0,2,1,0,1,0,0,0,0,0,11,0.2134864181280136,0.18627798557281494,0.12098206579685211,4.247855186462402,18,1.5367236137390137,5,3,3,0,0,0,1,2,1,1,R000259,8.305217716328682
CTGAN_000018,attack,time,83,18,10,31,0,0,6,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,1,13,0.14743366837501526,0.4044908881187439,0.11929459869861603,3.242621660232544,16,3.4233579635620117,5,3,3,0,0,0,0,0,0,1,R000003,6.761754113296337
CTGAN_000019,attack,time,73,15,0,26,0,0,4,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,1,13,0.05501873791217804,0.4181409776210785,0.13463523983955383,3.2664873600006104,18,2.350900888442993,10,0,2,2,4,0,0,1,0,0,R000088,7.3663614951455765
CTGAN_000020,attack,time,85,15,11,35,0,3,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0.15224233269691467,0.486483633518219,0.21672318875789642,2.9313793182373047,14,3.2526867389678955,5,3,2,1,3,1,0,1,0,0,R000074,8.254941358294635
CTGAN_000021,attack,time,66,18,10,39,0,0,4,0,0,1,2,0,3,0,2,0,1,0,0,0,3,0,1,12,0.12594188749790192,0.20036081969738007,0.20558026432991028,3.7589848041534424,15,2.0722670555114746,8,4,2,0,1,0,2,2,0,0,R000179,8.763673239924595
