id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,payload_length,alpha_count,digit_count,space_count,upper_count,lower_count,symbol_count,printable_ratio,alpha_ratio,digit_ratio,space_ratio,symbol_ratio,entropy,single_quote_count,double_quote_count,dash_count,hash_count,slash_count,backslash_count,left_paren_count,right_paren_count,comma_count,semicolon_count,equals_count,greater_count,less_count,percent_count,plus_count,asterisk_count,at_count,url_encoded_count,hex_literal_count,unicode_escape_count,comment_marker_count,comparison_op_count,function_call_count,quoted_string_count,kw_select,kw_union,kw_where,kw_from,kw_sleep,kw_benchmark,kw_pg_sleep,kw_waitfor,kw_delay,kw_case,kw_when,kw_then,kw_else,kw_end,kw_exists,kw_order,kw_group,kw_having,kw_information_schema,kw_sysibm,kw_mysql,kw_sqlite,kw_substring,kw_substr,kw_ascii,kw_char,kw_cast,kw_convert,kw_concat,kw_update,kw_delete,kw_insert,kw_drop,kw_create,kw_table,kw_database,kw_user,kw_version,kw_and,kw_or,kw_not,kw_like,kw_by,sql_keyword_total,boolean_signal,union_signal,time_signal,error_signal,order_signal,exists_signal,stacked_signal
GAN_000001,attack,error,"1""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""rfpq""  =  ""rfpq",nearest_attack_euclidean,R000061,4.075678522456814,169.96522521972656,41.903621673583984,34.62055969238281,67.57189178466797,-0.3195578455924988,51.72044372558594,24.003137588500977,0.7089037895202637,0.25365710258483887,0.2195776253938675,0.3915141522884369,0.1297304928302765,3.669215202331543,0.7140373587608337,1.3213791847229004,0.3510377109050751,0.18442347645759583,0.036395810544490814,0.2939700782299042,5.963343620300293,6.541408061981201,4.70721960067749,0.1056455448269844,1.3184950351715088,0.434492290019989,-0.2381928712129593,-0.07140083611011505,0.08103030920028687,0.23796570301055908,-0.12158972024917603,-0.17334936559200287,2.73762583732605,0.02243071049451828,0.318028062582016,1.577775001525879,4.633375644683838,0.9111757874488831,1.1876158714294434,-0.005590662360191345,0.254090815782547,0.2705985903739929,-0.25549525022506714,0.2085924744606018,0.4307158887386322,-0.37502673268318176,-0.020507484674453735,0.06496579945087433,0.06818374246358871,0.08979646116495132,-0.06576313078403473,-0.06760595738887787,-0.17413339018821716,0.26598113775253296,-0.12952080368995667,-0.25077593326568604,0.011787407100200653,0.194481760263443,0.017206639051437378,0.19013267755508423,0.12380670011043549,-0.10819296538829803,-0.23282480239868164,0.0038828179240226746,0.08030959963798523,-0.00755772739648819,0.9200626015663147,0.49779263138771057,0.14993280172348022,0.15962430834770203,-0.1375797688961029,-0.11926285177469254,0.025833886116743088,0.09380808472633362,0.035939496010541916,-0.13351058959960938,1.3809943199157715,0.29851967096328735,-0.19106408953666687,0.0798557698726654,0.2712951898574829,4.080051422119141,0.7325881719589233,0.28651660680770874,0.061050258576869965,0.8069481253623962,0.044789932668209076,0.0748986303806305,-0.08536253124475479
GAN_000002,attack,error,"1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  'lbwh'  =  'lbwh",nearest_attack_euclidean,R000239,3.6162689097859517,171.43722534179688,46.988224029541016,34.177974700927734,66.55122375488281,0.27431291341781616,48.44942092895508,23.203006744384766,0.8975734710693359,0.27903634309768677,0.20822425186634064,0.3890184462070465,0.1290443390607834,3.734050750732422,1.0986354351043701,0.8972499370574951,0.3668179512023926,0.08889412134885788,0.04158930480480194,0.10594483464956284,6.161767959594727,6.454321384429932,4.801237106323242,0.16562297940254211,1.378883957862854,0.06200078874826431,0.048645272850990295,0.1526108831167221,0.053009696304798126,0.1916077435016632,0.031515225768089294,-0.13783876597881317,2.6915714740753174,0.015313172712922096,0.3606131374835968,1.4540127515792847,4.657166004180908,1.0189158916473389,1.2094383239746094,-0.019320618361234665,0.31052592396736145,0.19453366100788116,-0.002235688269138336,0.24633120000362396,-0.019727766513824463,-0.06551992148160934,-0.16240312159061432,0.040638964623212814,0.03718043863773346,0.057457901537418365,-0.0003002859011758119,-0.004442406352609396,-0.16809022426605225,0.06821776181459427,0.0335797443985939,-0.2329573780298233,-0.09976860880851746,-0.16435830295085907,0.12301677465438843,0.1653788685798645,-0.035119444131851196,-0.057797499001026154,-0.004394762217998505,0.010574590414762497,0.04067940264940262,-0.05257568880915642,0.9364323019981384,0.14627057313919067,0.05661866068840027,0.04474959149956703,0.14565861225128174,0.05124431848526001,0.16453489661216736,0.11196425557136536,0.015126245096325874,-0.15412019193172455,1.0234352350234985,0.3654669523239136,-0.05991915613412857,0.07161283493041992,0.07927604764699936,4.222317695617676,0.5682047605514526,0.08363572508096695,0.21486513316631317,0.8868489265441895,0.018864359706640244,0.06421497464179993,-0.021827206015586853
GAN_000003,attack,error,"1""  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  ""mhfc""  =  ""mhfc",nearest_attack_euclidean,R000212,3.9616396356724657,171.29287719726562,46.21250915527344,35.5830078125,65.27034759521484,0.5387682914733887,48.50305938720703,23.344261169433594,1.1748082637786865,0.26211103796958923,0.2051979899406433,0.39315474033355713,0.1273943930864334,3.6664974689483643,0.8966314792633057,1.2930312156677246,0.6694847345352173,0.15907374024391174,0.024574104696512222,-0.14925916492938995,6.093952178955078,6.422178268432617,4.616960525512695,0.1712290495634079,1.3848515748977661,0.26071131229400635,0.09767743200063705,0.2103559970855713,0.11347944289445877,0.17930474877357483,-0.04057665169239044,-0.029009148478507996,2.833293914794922,0.11793822050094604,0.36103555560112,1.6082367897033691,4.550447940826416,0.8908144235610962,1.2343806028366089,-0.1763618290424347,0.3723323345184326,0.16266471147537231,0.10035610944032669,0.23685134947299957,0.10939311236143112,-0.14998969435691833,-0.1767013669013977,0.05069370195269585,0.054502930492162704,0.044703733175992966,-0.020333630964159966,0.0027168490923941135,-0.26888570189476013,0.27119576930999756,-0.007620892953127623,0.09862269461154938,0.23688076436519623,0.15008105337619781,-0.20001494884490967,0.098212331533432,0.09070456027984619,0.11495646089315414,-0.17492717504501343,0.07482580840587616,0.09682179987430573,-0.05711572617292404,1.006394863128662,-0.04368023946881294,0.12613943219184875,-0.010723710060119629,0.11587914824485779,-0.25446340441703796,-0.022311337292194366,0.05011311173439026,0.017747217789292336,0.12932834029197693,1.0139020681381226,0.32593512535095215,0.04023976996541023,0.07557103782892227,-0.09034297615289688,4.139840602874756,0.4966545104980469,0.1266501247882843,0.14434292912483215,0.9295623302459717,-0.05443482846021652,-0.20507675409317017,0.03067716956138611
GAN_000004,attack,error,"1'  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  'mevd'  =  'mevd",nearest_attack_euclidean,R000153,3.995095302113944,169.24607849121094,43.93052291870117,33.83953094482422,65.64875030517578,0.04128895699977875,49.882057189941406,23.791227340698242,0.7836939692497253,0.26111578941345215,0.2187824547290802,0.3892902731895447,0.12794393301010132,3.7068467140197754,0.7335817217826843,1.0101186037063599,0.2758176624774933,0.16424864530563354,0.034235235303640366,0.11885348707437515,6.1959967613220215,6.392277240753174,4.586706161499023,0.09370551258325577,1.299682378768921,0.38152557611465454,-0.10392811894416809,-0.01442874874919653,0.09277927875518799,0.22435635328292847,0.02487833797931671,-0.38245558738708496,2.733973741531372,-0.09724660217761993,0.30294811725616455,1.566737174987793,4.6621994972229,0.9673279523849487,1.228376030921936,-0.17714527249336243,0.4141995310783386,0.20171573758125305,-0.10268731415271759,0.21014133095741272,0.2818264067173004,-0.3685268461704254,0.0026397109031677246,0.046828076243400574,0.07109446823596954,0.10208379477262497,-0.011705679818987846,-0.055826585739851,-0.04458680748939514,0.21281391382217407,-0.008236597292125225,-0.1650366336107254,-0.05864636227488518,0.021520555019378662,-0.03755686432123184,0.35935065150260925,-0.017170019447803497,-0.07763513177633286,-0.14442387223243713,0.14811588823795319,0.07029853761196136,0.1881839632987976,0.9341962933540344,0.3737066686153412,0.1298697292804718,0.006841152906417847,-0.10125654190778732,-0.10061975568532944,0.24899479746818542,-0.05812123417854309,0.021113943308591843,-0.1807878017425537,1.1594606637954712,0.3139415681362152,-0.24846279621124268,0.11320486664772034,0.25650933384895325,4.092379570007324,0.7686188817024231,0.22560879588127136,0.18028733134269714,0.8897214531898499,0.17345750331878662,-0.027463141828775406,0.09464520215988159
GAN_000005,attack,error,"1'  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  'mevd'  =  'mevd",nearest_attack_euclidean,R000153,3.829635331820764,170.0352020263672,43.47481918334961,35.06874465942383,66.7824478149414,-0.2436112016439438,50.838462829589844,23.842409133911133,0.8793624639511108,0.254757285118103,0.21343636512756348,0.38679733872413635,0.1293061226606369,3.7146410942077637,1.1027814149856567,0.9121697545051575,0.36308059096336365,0.13800671696662903,0.019287019968032837,0.2624216377735138,6.054891109466553,6.54049825668335,4.798600673675537,0.07657913118600845,1.2878037691116333,0.19989793002605438,-0.2758427560329437,0.009893820621073246,0.07250829041004181,0.2081095427274704,-0.0012988299131393433,-0.2505294382572174,2.758010149002075,0.13602708280086517,0.3369279205799103,1.4160706996917725,4.584949493408203,0.8059943318367004,1.1081653833389282,-0.07060331851243973,0.3451622724533081,0.24809889495372772,-0.04142163693904877,0.1915317177772522,0.22619760036468506,-0.08792921155691147,-0.022026918828487396,0.05452771112322807,0.07528725266456604,0.08068529516458511,-0.01891976036131382,-0.020706960931420326,-0.013265669345855713,-0.04206746071577072,-0.15678371489048004,-0.09140299260616302,-0.00043279677629470825,0.1777881681919098,-0.10318238288164139,0.2251213937997818,-0.042037419974803925,0.1449907124042511,-0.04929187148809433,0.014562979340553284,0.0600164569914341,0.07866345345973969,0.9220612049102783,0.26152193546295166,0.1665162444114685,-0.014824733138084412,-0.18127307295799255,-0.15053041279315948,0.159905344247818,0.06986910849809647,0.01242219191044569,-0.0242411270737648,1.1487795114517212,0.23248335719108582,-0.1445869505405426,0.09486999362707138,0.0956249013543129,4.116738796234131,0.7324444055557251,0.2734014093875885,0.03723030537366867,0.8560112118721008,0.06413862854242325,0.13015565276145935,-0.028254471719264984
GAN_000006,attack,error,"1""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""rfpq""  =  ""rfpq",nearest_attack_euclidean,R000061,4.334889359848509,171.51930236816406,47.286842346191406,34.8765869140625,66.57465362548828,0.7110647559165955,49.499385833740234,24.025102615356445,1.245827555656433,0.2455739974975586,0.19937299191951752,0.3907161056995392,0.12840814888477325,3.6602096557617188,1.1057871580123901,1.8059484958648682,0.7704141736030579,0.08189409226179123,0.026125533506274223,0.06346035748720169,6.057373046875,6.302832126617432,4.8867974281311035,0.15635555982589722,1.2531291246414185,0.013983286917209625,0.2528795301914215,0.05738186836242676,0.06661511212587357,0.19568577408790588,-0.14312052726745605,0.13711538910865784,2.820347785949707,0.5288794636726379,0.4225042760372162,1.4422791004180908,4.308377742767334,0.5751058459281921,1.1567484140396118,-0.1796848177909851,0.4395601153373718,0.31439775228500366,-0.11276011168956757,0.1458417922258377,0.16662144660949707,-0.09561430662870407,-0.36763995885849,0.07802829891443253,0.03389040753245354,0.06022457778453827,-0.07523050904273987,0.04871644079685211,-0.4948573112487793,0.325277179479599,-0.05017338693141937,-0.10993784666061401,0.25045526027679443,0.2642372250556946,0.17102742195129395,0.0817200243473053,-0.04904073849320412,0.4581403136253357,-0.26205751299858093,-0.12019780278205872,0.09670191258192062,-0.10664612054824829,0.9891672730445862,0.09361482411623001,0.3663373291492462,-0.11192287504673004,-0.06577081233263016,-0.4076699912548065,-0.10022900253534317,0.13180610537528992,0.02811083383858204,0.1474975049495697,1.1458491086959839,0.11704051494598389,0.0066002607345581055,-0.10161610692739487,-0.2391887903213501,3.9183430671691895,0.669431746006012,0.2530793249607086,-0.10701111704111099,0.9024812579154968,0.003039170056581497,0.1667024791240692,-0.030758708715438843
GAN_000007,attack,error,"1""  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  ""mhfc""  =  ""mhfc",nearest_attack_euclidean,R000212,3.91124991905674,170.271728515625,45.27409362792969,34.51508712768555,65.33783721923828,0.10954464972019196,49.782386779785156,23.703601837158203,1.0412416458129883,0.26235589385032654,0.21128025650978088,0.39154982566833496,0.12677432596683502,3.6933984756469727,0.7837442755699158,1.1736444234848022,0.41015052795410156,0.13958102464675903,0.01548012439161539,-0.014728306792676449,6.432044506072998,6.526576519012451,4.606892108917236,0.08551783859729767,1.3273264169692993,0.2620924413204193,0.06474655866622925,0.07346680760383606,0.023846078664064407,0.16397477686405182,-0.05261402577161789,-0.0691174864768982,2.7693357467651367,-0.04273810610175133,0.3969040811061859,1.5896520614624023,4.628832817077637,0.9706474542617798,1.292464017868042,-0.04321090131998062,0.42171674966812134,0.22866491973400116,-0.08517415821552277,0.19744805991649628,0.24669978022575378,-0.24931463599205017,-0.13354437053203583,0.038768451660871506,0.06460220366716385,0.0838564857840538,-0.04254138842225075,-0.030155709013342857,-0.18042930960655212,0.22178983688354492,0.02660493738949299,-0.249460831284523,0.07271388173103333,-0.09065479040145874,0.03498147428035736,0.3253170847892761,0.05745774507522583,0.06612911075353622,-0.11979933828115463,0.01688658446073532,0.09788715094327927,0.07418839633464813,0.9802913665771484,0.15001270174980164,0.048151373863220215,-0.15120284259319305,0.05552487447857857,-0.10793132334947586,0.11691829562187195,-0.0272151380777359,0.021536467596888542,-0.11473888158798218,1.0383895635604858,0.36181941628456116,-0.17216423153877258,0.07796856015920639,0.0922456830739975,4.087892055511475,0.6661532521247864,0.1677655279636383,0.15818668901920319,0.8986827731132507,0.019082587212324142,-0.08819723129272461,0.15869291126728058
GAN_000008,attack,error,"1""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""rfpq""  =  ""rfpq",nearest_attack_euclidean,R000061,4.1494495624977885,170.96958923339844,43.16707992553711,33.98653793334961,64.62555694580078,0.020225180312991142,50.53839874267578,24.52556037902832,1.0777796506881714,0.24226462841033936,0.21261954307556152,0.39146095514297485,0.12984304130077362,3.6830341815948486,0.9455949664115906,1.4182072877883911,0.46701160073280334,0.19080719351768494,0.033058758825063705,-0.08050936460494995,6.11663293838501,6.299068927764893,4.3542799949646,0.07342260330915451,1.4522305727005005,0.3384416699409485,-0.11832989752292633,-0.054744794964790344,0.09469573944807053,0.2786790430545807,0.080817312002182,-0.1808459460735321,2.7126259803771973,0.16551169753074646,0.2990880310535431,1.5280859470367432,4.512539386749268,0.4642563462257385,1.259015440940857,-0.08756168186664581,0.38273683190345764,0.23055054247379303,0.025231443345546722,0.23105661571025848,0.2884652614593506,-0.17187029123306274,-0.15890395641326904,0.03983605280518532,0.029828330501914024,0.07365693897008896,-0.060006868094205856,0.018640153110027313,-0.21279272437095642,0.23756352066993713,-0.07131347060203552,-0.14896266162395477,-0.08304478228092194,0.08246113359928131,-0.03885126858949661,-0.07421812415122986,0.07348957657814026,0.2631027400493622,-0.11400371044874191,-0.018229437991976738,0.06982187181711197,-0.07924629002809525,0.9766979813575745,0.4208410680294037,0.13009773194789886,-0.00183066725730896,-0.07086620479822159,-0.09522684663534164,0.14774960279464722,0.2574062943458557,0.023904914036393166,0.16354238986968994,1.142911434173584,0.13801346719264984,-0.18267697095870972,0.03928804397583008,0.2896628677845001,4.323916912078857,0.6976126432418823,0.13303925096988678,0.09748869389295578,0.8947577476501465,0.09851527959108353,0.32537296414375305,-0.11979959160089493
GAN_000009,attack,error,"1'  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  'mevd'  =  'mevd",nearest_attack_euclidean,R000153,4.138053588615051,169.8348846435547,42.333980560302734,35.49333190917969,66.63961791992188,0.5177116394042969,51.89423751831055,24.02012825012207,0.7837405800819397,0.24973849952220917,0.20692160725593567,0.3865112066268921,0.12916633486747742,3.6905758380889893,0.8144370913505554,1.1033251285552979,0.42574620246887207,0.12093410640954971,0.024440383538603783,0.010183331556618214,6.249077320098877,6.604186058044434,4.672022342681885,0.19070470333099365,1.3567487001419067,0.407496839761734,-0.18797950446605682,-0.07681824266910553,0.06648571044206619,0.26673880219459534,-0.17864394187927246,-0.25985705852508545,2.73400616645813,-0.010170664638280869,0.305315226316452,1.6217678785324097,4.597950458526611,0.8018616437911987,1.1580018997192383,-0.2554953992366791,0.46268367767333984,0.2850308120250702,-0.13818365335464478,0.1684155911207199,0.4506964385509491,-0.1410345435142517,-0.19038964807987213,0.06374857574701309,0.08127789199352264,0.10823916643857956,-0.05062754824757576,-0.022802459076046944,-0.1356070339679718,0.313689649105072,0.06760302186012268,-0.22409416735172272,-0.04496413841843605,0.07155455648899078,0.09282560646533966,0.2791956663131714,0.23298445343971252,0.20079290866851807,-0.18235033750534058,-0.06121554970741272,0.06693872809410095,0.13336695730686188,0.9113003611564636,0.34651824831962585,0.1833907663822174,0.011749938130378723,-0.38143837451934814,-0.05041321739554405,0.15951624512672424,-0.004155382513999939,0.018879715353250504,-0.09922322630882263,1.2223997116088867,0.2044040709733963,-0.14268940687179565,0.016310490667819977,0.10775188356637955,4.25062894821167,0.7826676964759827,0.294603556394577,0.0491885170340538,0.8154098987579346,-0.04245409369468689,0.2500711679458618,0.2814457416534424
GAN_000010,attack,error,"1'  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  'mevd'  =  'mevd",nearest_attack_euclidean,R000153,3.9842454167111323,168.39932250976562,43.841773986816406,34.46088409423828,67.42408752441406,0.07228322327136993,50.164546966552734,24.378253936767578,0.9220010042190552,0.24987317621707916,0.21305815875530243,0.3867771029472351,0.1301497220993042,3.6744608879089355,1.0495809316635132,1.1450371742248535,0.4771577715873718,0.18781951069831848,0.016165869310498238,0.24892881512641907,6.009073257446289,6.501786231994629,4.808185577392578,0.15614748001098633,1.3224081993103027,0.3102840185165405,-0.28808096051216125,0.00108458218164742,-0.008545856922864914,0.24946008622646332,-0.2095312774181366,-0.11742137372493744,2.754209041595459,0.13683493435382843,0.38734060525894165,1.4967610836029053,4.566104888916016,0.5966669917106628,1.1674976348876953,-0.12424089759588242,0.32696643471717834,0.28836554288864136,-0.09815680980682373,0.18468207120895386,0.3629990816116333,-0.07166657596826553,-0.1232060045003891,0.037588585168123245,0.05327736586332321,0.06112049147486687,-0.09420931339263916,-0.005251546856015921,0.029074296355247498,0.1561306118965149,-0.10934726893901825,-0.2435857206583023,0.07642443478107452,0.0689249038696289,0.0434214323759079,0.05328425392508507,0.12902234494686127,0.03021150827407837,-0.18864858150482178,0.0817335695028305,0.058270152658224106,-0.006726682186126709,0.9470570087432861,0.23338133096694946,0.2152281403541565,0.06895659863948822,-0.1895115077495575,-0.13367684185504913,0.01691676676273346,0.23862724006175995,0.015153068117797375,0.017478082329034805,1.3327291011810303,0.2216039001941681,-0.20791295170783997,0.03387884795665741,0.17775607109069824,4.331365585327148,0.6924025416374207,0.19477802515029907,0.012992954812943935,0.8551091551780701,-0.07858134806156158,0.32802146673202515,-0.12478921562433243
