epoch,critic_loss,generator_loss
1,8.91972599029541,-0.1167316734790802
2,7.02908992767334,0.15793615579605103
3,3.25159068107605,0.738210916519165
4,-1.6195893287658691,1.6453317403793335
5,-6.447465229034424,2.3684802055358887
6,-9.61822967529297,2.8826661109924316
7,-10.902153015136719,3.0622730255126953
8,-11.207804298400879,3.045194387435913
9,-11.087906074523925,2.046537160873413
10,-10.864165306091309,1.7361042499542236
11,-11.040850067138672,-0.06850410252809525
12,-9.716854286193847,-0.7234665751457214
13,-9.277367782592773,-2.1346869468688965
14,-8.625817203521729,-3.9828879833221436
15,-7.58318567276001,-5.040160655975342
16,-6.888738441467285,-6.4631195068359375
17,-5.665220546722412,-7.29464864730835
18,-5.530823040008545,-8.947129249572754
19,-4.580101013183594,-9.30798625946045
20,-4.30701470375061,-10.671905517578125
21,-3.3747114658355715,-10.657425880432129
22,-3.1469420433044433,-11.024815559387207
23,-2.928933620452881,-10.911951065063477
24,-2.451806831359863,-10.709803581237793
25,-2.9337589263916017,-10.395953178405762
