id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,error,295,91,34,68,1,0,17,6,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,15,0.13751231133937836,0.3670635223388672,0.12137993425130844,3.794069528579712,72,1.8970907926559448,19,4,0,1,0,0,0,0,0,0,R000736,5.4037889591784
CTGAN_000002,attack,error,137,66,31,155,1,3,20,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0.13133592903614044,0.3661836087703705,0.13327892124652863,4.064215660095215,85,2.6580662727355957,7,8,0,2,0,0,0,0,0,1,R000375,5.108734840786506
CTGAN_000003,attack,error,310,56,23,67,4,0,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,17,0.15196940302848816,0.345962256193161,0.14611390233039856,3.7182257175445557,116,2.9582231044769287,9,9,0,0,0,1,0,0,1,1,R000320,7.60700936491923
CTGAN_000004,attack,error,310,68,38,148,3,0,22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0.18132750689983368,0.3586321771144867,0.1399509310722351,3.6404316425323486,102,2.9019808769226074,12,11,0,0,0,1,1,1,2,1,R000653,5.617918414219595
CTGAN_000005,attack,error,179,126,18,59,0,0,17,3,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,7,0.1864708662033081,0.4293498396873474,0.14814160764217377,3.4768028259277344,55,2.6915955543518066,11,4,0,0,0,1,0,0,2,1,R000239,5.629057274367802
CTGAN_000006,attack,error,271,107,46,86,4,0,8,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,17,0.2877878248691559,0.42959731817245483,0.1388235241174698,3.7636990547180176,69,2.5787148475646973,7,2,0,2,0,1,0,1,1,1,R000758,5.454090962410526
CTGAN_000007,attack,error,96,77,33,76,0,0,19,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,20,0.12995454668998718,0.37828299403190613,0.14119288325309753,3.550560712814331,49,3.0395891666412354,18,4,0,2,0,1,0,0,2,1,R000086,5.195846623423771
CTGAN_000008,attack,error,184,120,58,85,0,0,20,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,54,0.09989412128925323,0.4499526619911194,0.11955098807811737,3.8780524730682373,38,2.4679503440856934,12,3,1,0,0,0,0,1,1,1,R000747,6.330238931473804
CTGAN_000009,attack,error,112,62,48,57,0,0,16,6,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,19,0.1361292600631714,0.4177524149417877,0.14568626880645752,3.170405149459839,90,2.586942672729492,12,10,0,0,0,1,0,1,0,1,R000104,5.415200958039861
CTGAN_000010,attack,error,286,77,33,55,1,0,21,5,0,2,2,0,0,0,3,0,1,0,0,0,0,2,0,19,0.18433436751365662,0.44498690962791443,0.12033852934837341,3.8639986515045166,59,2.6050233840942383,11,5,0,2,0,0,0,0,2,1,R000659,5.6318685765100645
CTGAN_000011,attack,error,277,106,38,69,1,0,29,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0.10104075819253922,0.3284352719783783,0.15106995403766632,3.912522554397583,55,2.6834216117858887,12,5,0,0,0,1,0,0,0,1,R000547,4.446773518262607
CTGAN_000012,attack,error,253,109,32,85,0,0,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0.18638835847377777,0.4457205832004547,0.14184212684631348,3.49607253074646,90,2.5865559577941895,11,4,0,1,0,0,0,2,3,1,R000589,5.894396979945511
CTGAN_000013,attack,error,327,53,6,98,0,1,10,4,0,1,2,0,0,0,1,0,0,0,0,0,0,2,1,34,0.14652785658836365,0.36264458298683167,0.13375219702720642,3.6279144287109375,92,2.691649913787842,7,5,0,4,0,1,0,0,2,1,R000259,7.02100081803967
CTGAN_000014,attack,error,149,181,41,41,0,0,24,4,0,1,0,0,1,0,3,0,1,0,0,0,0,0,1,20,0.2512734532356262,0.37055665254592896,0.14153343439102173,3.8746211528778076,54,3.305788993835449,20,4,0,2,0,1,0,0,1,1,R000435,7.104635998903753
CTGAN_000015,attack,error,304,62,38,48,0,4,26,5,0,1,0,0,0,1,3,0,0,0,2,0,0,0,0,32,0.1005568653345108,0.34705811738967896,0.10869850218296051,3.715163469314575,56,2.4077987670898438,11,4,0,1,0,0,0,0,0,1,R000671,5.09623179071592
CTGAN_000016,attack,error,273,78,64,59,1,0,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.1732075810432434,0.3701278567314148,0.1793898344039917,3.7773516178131104,34,1.9699194431304932,11,9,0,1,0,0,0,0,0,1,R000638,4.408348642658921
CTGAN_000017,attack,error,185,57,42,136,4,0,22,7,0,2,1,0,0,1,0,0,0,0,2,0,0,0,1,26,0.09613434225320816,0.3964000940322876,0.09490666538476944,3.810518980026245,49,2.4099535942077637,11,5,0,1,0,1,1,0,3,1,R000624,5.195695165459549
CTGAN_000018,attack,error,238,71,51,105,0,0,9,0,1,1,2,0,0,0,3,2,0,1,0,0,0,0,0,23,0.16580742597579956,0.3479363024234772,0.15512609481811523,3.8674018383026123,116,2.6095499992370605,12,3,0,1,0,1,2,3,1,1,R000135,7.914946801876889
CTGAN_000019,attack,error,155,61,29,112,1,0,24,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0.2274927794933319,0.4248645007610321,0.09192313253879547,3.950082540512085,55,2.73103404045105,11,9,1,2,0,0,0,0,3,1,R000672,6.7739133595984296
CTGAN_000020,attack,error,181,66,35,79,0,0,22,0,0,2,2,0,0,0,1,0,0,0,2,0,0,2,0,32,0.10963243246078491,0.3567049503326416,0.13359513878822327,3.6680431365966797,55,2.5819931030273438,18,4,0,1,0,0,0,2,3,0,R000318,6.791086175833258
CTGAN_000021,attack,error,138,59,31,106,0,0,14,7,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,17,0.12659499049186707,0.49961015582084656,0.12499958276748657,3.7602198123931885,64,2.626840114593506,11,4,0,1,1,1,0,0,0,1,R000049,4.628811781816048
CTGAN_000022,attack,error,158,69,32,53,4,1,15,5,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,13,0.22388164699077606,0.35875481367111206,0.07457254081964493,3.6435647010803223,62,2.5450055599212646,11,9,0,1,0,0,0,0,0,1,R000058,4.982359235830901
CTGAN_000023,attack,error,376,103,34,45,0,0,5,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,24,0.15343447029590607,0.47566652297973633,0.13918974995613098,3.8192238807678223,40,2.7429020404815674,12,2,0,2,0,1,1,1,2,1,R000239,6.482012282113782
CTGAN_000024,attack,error,221,52,36,65,2,0,10,5,0,2,0,0,2,0,2,2,0,0,0,0,0,0,1,10,0.18451763689517975,0.4249366223812103,0.12098972499370575,3.780094861984253,62,2.7281436920166016,17,5,0,0,0,1,2,0,3,0,R000135,6.793268296997175
CTGAN_000025,attack,error,157,62,41,73,0,0,9,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,18,0.12766066193580627,0.39044439792633057,0.14724989235401154,3.6906144618988037,52,1.7163866758346558,11,4,0,2,0,1,0,2,0,1,R000268,5.390181119951847
CTGAN_000026,attack,error,276,114,38,106,0,0,20,5,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,28,0.11134429275989532,0.4921146035194397,0.10511469841003418,3.6572680473327637,35,2.3394861221313477,11,4,0,0,0,1,0,1,2,1,R000122,5.170733824619066
