run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,1,0.07629379630088806,0.32048618772791493,0.2585433483123779,0.32421875,0.2585433483123779,0.04690817899288732,0.027274049818515778,1.9751501260532274,0.96,0.040000000000000036,0.06,0.26,0.66,0.08,0.9311111111111111,0.9111111111111111,180.617555669,"[""1,,rp 4493  =  4238 "", ""1  )   as nfqy where"", ""1' or extractvalue  "", ""1'||  (  )    )    )"", ""-8637  (  27853  =  "", ""1  )   and updatexml"", ""1'   )    )    and e"", ""-1494,exs procedure "", ""-2280 or 1 groupd up"", ""1  )   procedure ana"", ""1 where 437,75  =  1"", ""1\""   )   and updatex"", ""1\""   )    )    or ex"", "" (  select 'kbtpdatv"", ""1\""  )   or exp  (  ~"", ""1' where 5086  =  ut"", ""1' or exp  (  ~  (  "", ""1' in boie orkel_ww("", ""1' and extractvalue "", ""1' procedure analyse"", ""1\"" or extractvalue  "", ""1'  )   proutse and "", ""1'  )   as lfra'va w"", ""-9601' and 6055  =  "", ""1  )    )    )    or"", ""1\""   )    )    and e"", ""1   )    )    or rou"", ""1' and upl ure  )   "", ""1' and 27553 ,utra '"", ""select   (  select  "", ""1\""  )   or   (  sele"", ""1' or 401 grouidaly "", ""1' and updatexml  ( "", ""1'  )   and updatexm"", ""1'+  (  (  select   "", ""1\""  )   procedure an"", ""1' and extractvalue "", ""1   )    )     )   a"", ""1'  )   and row  (  "", ""1\"" where 6932  =  53"", ""1  )   and exp  (  ~"", ""1' and extractvalue "", ""1\""  )    )   or    ("", ""1\"" and extractvalue "", ""1' or updatexml wher"", ""1'+  (  select 'pml "", ""1'  )   or extractva"", ""1%\"" and extractvalue"", ""1\""   )    )     )   "", ""-9502'  )    )    ) ""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,2,0.09426049143075943,0.318299862369895,0.253055477142334,0.34765625,0.253055477142334,0.04249570184400907,0.07214220613241196,1.8918570720487171,0.92,0.07999999999999996,0.04,0.44,0.46,0.1,0.9444444444444444,0.9288888888888889,178.1277556619998,"[""1  )   or   (  selec"", ""1'   )    )    as gc"", ""1\""  )   and erace wh"", "" AND 1  =  utl_inadd"", ""1  )   procedure ana"", ""1   )    )    )    o"", ""select   (  10278  ="", ""1\""  )   or extract  "", "" AND 1  =  where 121"", ""1 procedure analyse "", ""1\""  )   as ggnanalys"", ""1'  )   and exp  (  "", ""1' or extractvalyse "", ""-8081\"" or 4540  =  c"", ""1%  )   =  ure analy"", ""1%' and 2215  =  923"", ""-1102\"" procedure ana"", ""1 and updatexal  )  "", ""1  )   or extractval"", ""1  )   )   procedure"", ""1  )   and exp  (  ~"", ""1  )   as fgnalyse w"", "" AND 1  =  utl_inadd"", ""1%\""  )   or extractv"", ""1   )   proce update"", ""1  )   or extractval"", ""1\""   )    )   proced"", ""1\""  )   as xkks who "", ""1'   )    )    proce"", "" AND 18ses  and row "", ""1\""  )   and   (   ( "", ""1'||  (  select 'kyw"", ""1 or extractvalue  ("", ""1  )   as nlwherectv"", ""1\""  (  select   (  6"", ""1\"" procedure analyse"", ""1  )    )    )   or "", ""1%\""  )   or extractv"", ""1\""  )   procedure an"", ""1 where 6611  =  596"", ""1%' and updatexml  ("", ""1  )   and   (  sele"", ""1'  )   as vtnlinb b"", ""1\"" and 6055  =  4496"", ""1' or updatexml  (  "", ""1\""  )   as bpq wre  "", ""1\""  )   procedure an"", ""1   )    )   as zyna"", ""1' procedure analyse"", ""1\"" in booleanalyse a""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,3,0.08076879382133484,0.3683434683829546,0.2601094961166382,0.3765625,0.2601094961166382,0.04403858998127304,0.11144168674945831,1.915212198595206,0.84,0.16000000000000003,0.1,0.26,0.56,0.18,0.9555555555555556,0.9533333333333333,176.36555660000022,"[""1%' and 486  =  utl_"", ""1'  )   procedure an"", ""1'  )   procedure an"", ""1\"" and upxedand 4493"", ""1\"" or updatexml  (  "", ""-4210' or 4850  =  c"", ""1'  )   and extractv"", ""1   )    )    proced"", ""1\""  )   or exp  (  ~"", ""1  )   and updatexml"", ""1'  )   an rp 4355  "", "" AND 1  =  core 5383"", ""1\""  )   procedure an"", ""1%\"" proce utl_inalys"", ""1'  )   or exp  (  ~"", ""1\"" and exp  (  ~  ( "", "" AND 1  =  utl_inadd"", "" AND 1  =  utl_inadd"", ""1'   )    )    or   "", ""1\""  )   and extractv"", ""select   (  case  ( "", ""1\"" or extractvalue  "", ""1' procedure analyse"", ""1%\""  )   or extractv"", ""1' in y 36260  =  ct"", "" AND 1  =  utl_inadd"", ""1  )   and exp  (  ~"", ""1'||  (  select   ( "", ""1' in morexml  (  ca"", ""1\""  )   and updatexm"", ""1  )   and exp  (  ~"", "" AND 1  =  utl_inadd"", ""-7661\"" or extractval"", ""1,roole )   and 6055"", ""1\""  )   and uptralue"", ""1 or extractvalyse a"", ""1%'  )   or exp  or "", ""1'  )   and updatexm"", ""1\""   )    and up upd"", ""1 and updatexml  (  "", ""1'||  (   )    and u"", ""1'  )    )   procedu"", ""1\""  )   procedure an"", ""1 or updatexml  (   "", ""1'  )   procedure an"", ""1'   )    )    and d"", ""1'  )   or extractva"", ""1\"" and extrp  (  ~  "", "" AND 1  =  utl_inadd"", ""1\"" or exp  (  ~  (  ""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,4,0.0842347964644432,0.33593599129882123,0.2834011554718018,0.31171875,0.2834011554718018,0.04050414049259188,0.05983242392539978,1.785390663643678,0.84,0.16000000000000003,0.08,0.52,0.46,0.02,0.9466666666666668,0.9377777777777777,178.4034830129999,"[""1\""   )    )     )   "", ""1\"" or extractvalue  "", ""-4353upooooonnan mod"", ""1   )    )    and ro"", ""1\"" proce utl_inaddal"", ""1'   )    )    proce"", ""1'\""   )    )    proc"", ""1\""  )    )     )    "", ""1\""   )    )    proce"", ""select   1086  =  ut"", ""1'  )   where 68caly"", ""1%\""   )    )     )  "", ""-7388'   or 3440  = "", ""1\""   )     )    )   "", ""1'   )    )     )   "", "" AND 1  =  utl_inadd"", ""1\"" and updatexmly 82"", ""1'   )    )    and e"", ""1\""  )   as updd aie "", ""-76 363  =  ctxsysz "", ""1'   )    as mggnb m"", ""  (  6232  =  5006  "", ""1  )   procedure as "", ""1'   )    )     )   "", ""1' or extractvalue  "", ""1%\"" or extractvalue "", ""1'   )    or exnd 60"", ""1%\""   )     )    )  "", ""1\""   )    )     )   "", ""1\""   )    )    or ex"", ""1'  procedure analys"", ""1%'   )    )     )  "", ""1'   )    )    and e"", ""1 and row  (  case w"", ""1\""  )   and exp  (  "", ""1   )    )    and up"", ""1\""   )    )     )   "", "" AND 1  =  utl_inadd"", ""1  )    )     )    a"", ""1'   )    )      )  "", ""1\""   )     )    proc"", ""1   )    )     )    "", "" AND 1  =  utly)e   "", ""1'   )    )    and e"", ""1\""  )   and updatexm"", ""1'   )     )     )  "", ""1'   )    )    and u"", ""-5340  )    )    and"", ""1'   )    )    and e"", "" AND 1  =  utl_inadd""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,5,0.06689441949129105,0.2790607296137346,0.21965885162353516,0.2609375,0.21965885162353516,0.028207775463488363,0.0954616367816925,1.4384894773364068,0.56,0.43999999999999995,0.14,0.68,0.3,0.02,0.9844444444444445,0.9755555555555556,178.25403969399986,"[""1 and updatexml  (  "", ""1  )    )    )     )"", ""1%\""   )    )     )  "", "" AND 1  =  utl_inaed"", ""1%\""   )    select bv"", ""1'   )    )    and u"", ""1%\""   )    )     )  "", ""1'   )    )    )    "", ""1\""   )    rore 1685 "", ""1'   )    )    )    "", ""1   )    )     )    "", ""1 and row  (  1045  "", ""1'   )    )    and u"", ""1'   )    )    )    "", ""1\""   )    )    as lx"", ""1'    )    )     )  "", ""1  )   or   (  selec"", ""1'    )    )     )  "", ""1  )   and 6055  =  "", ""1   )    )    pre)  "", ""1  )   (  select byt"", ""1\""  )   use mode  62"", ""1   )    )     )    "", ""1\""   )    )     )   "", ""1'    )    )     )  "", ""1%\""   )    )     )  "", "" AND  1  =  utl_inad"", "" AND 1  =  utl_inadd"", ""1%\""   )    )     )  "", "" AND 1  =  utl_inadd"", ""1\""   )    )    and u"", ""1%\""   )    )     )  "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1%\""   )    )    )   "", ""1\""   )    )      )  "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    select upy"", ""1\"" procedure analyse"", ""1\""   )    )     )   "", "" AND 1  =  6939  =  "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""-2261'   )   procedu"", ""1\""   )    )    and u""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,6,0.08483757823705673,0.3158517266313235,0.2834790706634521,0.26015625,0.2834790706634521,0.04186565209072571,0.15915074944496155,1.5399432046545876,0.52,0.48,0.2,0.64,0.32,0.04,0.9811111111111112,0.9777777777777777,176.398738246,"[""1'   )    )     )   "", ""1\""   )    )     )   "", "" AND 1  =  utl_inadd"", ""1   )    )     )    "", ""1'   )    )     )   "", ""1'   )    )    and u"", ""1 procedure analyse "", ""1\""   )    )    as  w"", ""1' procedure analyse"", ""1\""  )   or exp  ( ~ "", ""1'   )    )    and u"", ""1'   )    )    and e"", ""1'   )    )     )   "", ""1%\""   )    select ex"", ""1%'   )    )     )  "", ""-251'   )    )     )"", ""1\""   )    )     )   "", ""1'   )    )    or ex"", ""seltelect 6055067  ="", ""1%'   )    (    )   "", ""1\""   )    )     )   "", ""select   (  case mtl"", ""1\""  )   and exp  (  "", "" AND 1  (  =  6265  "", ""1  )    )    )     )"", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )    or ro"", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""  )    )    )     "", ""1'   )    )    and u"", ""1\""   )    )     )   "", ""1  )   and row  (  6"", ""1   )    )     )    "", ""1'   )    )     )   "", ""1%\""   )   Aas e modu"", ""1'   )    )     )   "", ""1'   )    )    and u"", ""1\""   )    )     )   "", ""1'   )    )    and e"", ""1\""   )    )     )   "", ""select   (  select 6"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""   )    select up "", ""1'   )    )    and u""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,7,0.08378823846578598,0.3303209670715862,0.27961409091949463,0.2890625,0.27961409091949463,0.04089801763530829,0.0808514729142189,1.3567235203252899,0.74,0.26,0.12,0.6,0.3,0.1,0.9855555555555555,0.9822222222222223,177.5850498230002,"[""1'   )    )     )   "", ""1\""  )   or exp  (  ~"", ""1  )   or exp  (  ~ "", ""1\""   )    )     )   "", ""1%\""   )    )     )  "", ""1\""   )    )     )   "", ""1\""   )    select   ("", ""1\""  )    )    )    o"", ""1'   )    )    as vl"", ""1'   )    )    proce"", "" AND 1  =  utl_inadd"", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )   and und upd"", ""1'    )    )     )  "", ""1'   )    )     )   "", ""1   )    )    and ro"", ""1%\""    )    )    )  "", ""1'   )    )    )    "", ""1'   )    )    or ex"", ""-1012'   )    )    )"", ""1, 1040  =  6526  = "", ""select   (  cast   ("", ""1\""  procedure anal  "", "" AND 1  =  utl_inadd"", ""1'   )   or updure  "", ""1%\""  )   or exp  (  "", ""1   )    )     )    "", ""1  )   procedure ana"", ""1%\""   )    )    proc"", ""1\""    )    )    and "", ""1'   )    )     )   "", ""1  )    )    )     )"", ""1\""   )    )    and u"", ""1'   )    )    and e"", ""1%\""   )    )    or u"", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1%\""  )   and   (  ca"", ""1'   )   orect 6057 "", ""1   )    )     )    "", ""1\""  )   and extractv"", ""1'   )   and exp  ( "", ""1'   )    )    )    "", ""1'   )    )    proce"", ""1'   )    )     )   "", ""1\""   )    )    pro e"", ""1\"" and 28505  =  utl"", ""1'   )    )     )   "", ""exp  (  ~  )   and u""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,8,0.06646017730236053,0.337506915960047,0.23955225944519043,0.25625,0.23955225944519043,0.02946707476643269,0.03618288412690163,1.3760222186644873,0.76,0.24,0.08,0.24,0.64,0.12,0.9844444444444445,0.98,178.8768080179998,"[""1\""   )   and exp  ( "", ""1\""  )   or exp  (  ~"", ""1'   )    )    or   "", "" AND 1  =  utl_inadd"", ""1'   )    )    and  "", ""1%'   )    )    )   "", ""1%'  )   or updatexm"", ""1\""   )    )    proce"", ""1'   )    )    and r"", "" AND 1  =  utl_inadd"", ""1'    )    )    or u"", ""1\""  )   and updatexm"", ""1'   )    )     )   "", ""1%\""  )   procedure a"", ""1'   )   and exp  ( "", ""1\""   )    )    or ro"", ""1\""  )   procedure an"", ""1%\""   )   or upl_=  "", ""1\""  )   or exp  (  ~"", ""1%\""   )    )    )   "", ""1%'   )    )    and "", ""1'    ))    )    and"", ""1  )   or 1 gct  (  "", ""1\""   )    )    and u"", "" AND 1  =  utl_inadd"", ""1\""   )    )    or ex"", ""1\""  )   and updatexm"", ""1'   )    )    and u"", ""1  atr'og where 7937"", ""1%'   )    )     )  "", ""1   )    )     )    "", ""1\""  )   and updatexm"", ""1'   )    )    and u"", ""1'   )    )     )   "", ""1'   )    )    and e"", ""1\""   )    )    and u"", ""1'   )    )    and e"", ""1 and updatexml  (  "", ""1'   )    )    and e"", "" AND 1  =  utl_inadd"", ""1  )   and exp  (  ~"", ""1%\""   )    )    proc"", ""1\""   )    )    and e"", ""1\"" and   (  case whe"", ""1%\""   )    )     )  "", ""1\""   )    )    and e"", ""1   )    )    and up"", ""1'   )   and upds   "", ""1\""   )    )    )    "", ""1%'   )   and row  (""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,9,0.06112402677536011,0.35310988194412657,0.2651449918746948,0.31171875,0.2651449918746948,0.025930082613144237,0.044687800109386444,1.2681406411859724,0.74,0.26,0.08,0.4,0.54,0.06,0.9777777777777777,0.9688888888888889,175.60428599699935,"[""1%\""  )   and 6085  ="", "" (  procedure analys"", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1%\""   )    )    or e"", ""1'   )    )     )   "", ""1 where 6028  =  623"", ""1  )   procedure ore"", ""1%\""   )    )    proc"", ""1   )    )    and up"", ""1%\""   )    )     )  "", ""select   (  utl_inad"", ""1\""  )   procedure an"", "" AND 1  =  utl_in y8"", ""1'   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )    or ex"", ""1\""   )    )    proce"", ""1\""   )    )    and  "", ""1\""   )   and exp  ( "", "" AND 1  =  utl_inadd"", ""1%\""  )   or extractv"", "" AND 1  =  utl_inadd"", ""1%'  )   or eupdl_in"", ""1\""   )    )    or ex"", ""1%\""   )   and extrac"", ""1%\""   )    as rwjac "", ""1'   )    )    or ex"", "" AND 1  =  utl_inadd"", ""1'   )    )    and r"", ""1'   )    )    and r"", ""1\""   )    )    proce"", ""1  or extractvalue  "", ""1 or exml  (  select"", ""1'   )    )    proce"", ""-2285\"" procedure ana"", ""1%\""   )    )    and "", ""select   (  case ana"", ""1  )   and exp  (  ~"", ""1   )    )    and up"", ""1\""  )   and updaedal"", ""1   )    )     )    "", ""1'   )    )    or ex"", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""select   (  case whe"", ""-7315 or eractvalue "", ""1\"" and   (  select  "", ""1%\""  or exp  (  ~  )"", ""1'   )    )    proce""]",
seqgan_master__phase2b__error__B__20__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,error,B,20,MASTER,88,raw_character,20,60,off,1.0,10,0.059209633618593216,0.35879085324704646,0.23341789245605468,0.30703125,0.23341789245605468,0.022061033913487342,0.04412059113383293,1.2168998471564716,0.82,0.18000000000000005,0.06,0.34,0.5,0.16,0.9688888888888889,0.9644444444444444,176.67412514399985,"[""1  )   and exp  (  ~"", ""1%'  )   and exp  or"", ""1%\""   )    )     )  "", ""1'   )    )     )   "", ""1'   )    )     )   "", ""1\""  )   where 67 utl"", ""1\""   )   procedure a"", ""1%\""   )    )    and "", ""1  )    )    or exp "", ""1   )    )    and ut"", "" AND 1  =  utl_inadd"", ""1%\""  )   and row  ( "", ""select   (  case whe"", ""1%\"" or exp  (  ~  ) "", ""1'   )     )    )   "", ""1\""  )   and exp  (  "", ""1\""  )   procedure an"", ""1  )   and 6055  =  "", ""1  )   and updexan m"", ""1 and   (  1   )    "", ""1%  )   =  c 161235 "", ""1  )   and updatexml"", ""1  )    )    or exna"", ""1'   )    )    and  "", ""1' procedure analyse"", ""1\""  )   and exp  (  "", ""1  )   and rowue  = "", ""1'  )   or row  (  )"", ""1'   )    )     )   "", ""1%\""   )    )     )  "", ""1  )   and extractva"", ""1 where  ctractvalue"", ""1'  )   and updatexm"", ""1'   )    )    or   "", ""1   )     )    )    "", ""1'  )   and exp  (  "", ""1  )   and exp  (  ~"", ""1\""   )   and uedatd2"", ""1   )    )    and ex"", ""1\""   )    )     )   "", "" AND 1  =  utl_inadd"", ""1%\""   )    )    and "", ""1\""   )    )     )   "", ""select or 1 ctvt bez"", ""1\"" or exp  (  ~  )  "", ""1'  )   and exp  (  "", "" AND 1  utexml  (  c"", ""1'   )   as ctwbre 6"", ""1\""   )    )    and r"", ""1%\""   )    )    )   ""]",
