id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,108,26,34,73,1,0,6,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,27,0.0630059465765953,0.24741919338703156,0.14484785497188568,3.855996608734131,31,2.641045570373535,6,2,1,0,0,0,0,0,0,1,R000116,4.699982766929916
CTGAN_000002,attack,boolean,149,119,7,111,4,0,8,0,0,2,0,0,0,5,0,0,2,0,1,0,0,1,0,27,0.011672817170619965,0.38050228357315063,0.17510509490966797,3.868765115737915,12,2.380490779876709,2,4,1,1,3,0,0,0,0,0,R000178,8.556137241761595
CTGAN_000003,attack,boolean,313,95,8,27,0,0,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,21,0.3267609477043152,0.23707610368728638,0.13409630954265594,4.438856601715088,34,2.795102596282959,9,2,1,0,0,0,0,0,1,0,R000053,4.840004080708819
CTGAN_000004,attack,boolean,414,11,5,21,3,0,8,0,0,1,2,0,0,0,0,0,0,0,1,3,0,1,1,4,0.029510274529457092,0.2745339572429657,0.1009584367275238,3.8370113372802734,0,2.307771682739258,3,4,1,0,2,1,0,0,0,1,R000013,15.163010211320662
CTGAN_000005,attack,boolean,183,0,17,1,1,0,2,1,0,2,2,0,0,5,0,2,0,0,0,0,0,0,1,8,0.1829078197479248,0.4097125828266144,0.15586641430854797,2.5299084186553955,16,1.778653860092163,5,1,0,1,0,0,0,0,2,0,R000048,4.707379703671276
CTGAN_000006,attack,boolean,187,22,0,7,1,1,12,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.1000933051109314,0.25031208992004395,0.18311962485313416,2.5283823013305664,95,2.208014965057373,14,3,1,0,1,0,0,0,0,0,R000112,6.045016406905393
CTGAN_000007,attack,boolean,145,9,11,56,0,1,0,0,0,2,1,0,0,1,0,2,0,0,1,0,0,0,1,8,0.024481303989887238,0.27405402064323425,0.09886009991168976,3.8127455711364746,40,3.0677459239959717,8,1,3,0,1,0,0,0,0,0,R000070,5.492159931847494
CTGAN_000008,attack,boolean,174,79,34,36,6,0,22,4,0,2,1,0,0,5,0,0,0,0,7,0,0,0,0,0,0.046714942902326584,0.4436644911766052,0.1602039635181427,4.036803245544434,0,3.457085132598877,4,2,0,0,0,2,0,0,0,0,R000223,6.033299346032191
CTGAN_000009,attack,boolean,53,94,48,72,0,0,8,1,0,1,1,0,0,4,0,0,0,0,6,0,0,1,1,23,0.1940557360649109,0.29158955812454224,0.1117633804678917,3.738036870956421,28,1.5679466724395752,9,1,0,0,0,1,2,0,1,0,R000071,6.428834303151839
CTGAN_000010,attack,boolean,116,37,20,33,0,0,0,1,0,2,2,0,0,1,0,0,0,0,1,1,0,1,0,3,0.02297694981098175,0.4560174345970154,0.17658072710037231,2.9725682735443115,30,3.3212156295776367,4,2,0,0,2,0,1,0,1,0,R000262,7.974387220164045
