id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,57,36,9,19,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0.10803766548633575,0.4561050534248352,0.15655523538589478,4.667670249938965,20,2.271252393722534,5,4,2,2,1,0,0,1,1,0,R000119,6.416599687567154
CTGAN_000002,attack,time,76,36,10,29,0,0,1,0,1,1,0,2,3,0,0,0,0,0,0,0,2,0,1,11,0.02101760357618332,0.42046770453453064,0.12187407165765762,3.945828676223755,22,2.3331196308135986,8,2,0,2,0,0,0,0,3,0,R000074,7.13831585164535
CTGAN_000003,attack,time,66,22,8,52,3,0,5,1,0,0,2,1,0,0,0,3,0,3,0,0,0,0,0,8,0.3181670308113098,0.42003491520881653,0.14053797721862793,2.8269236087799072,22,2.9033091068267822,5,5,2,0,1,2,0,0,0,0,R000156,8.43453850307979
CTGAN_000004,attack,time,69,28,15,34,0,0,7,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,11,0.0,0.42341485619544983,0.17484506964683533,3.311089515686035,17,2.319338798522949,5,3,2,0,2,0,0,1,0,0,R000156,6.734985944033422
CTGAN_000005,attack,time,67,23,17,44,0,1,6,1,3,0,0,1,2,0,3,0,0,0,0,0,3,1,0,6,0.34996187686920166,0.5621213912963867,0.14214876294136047,3.379870653152466,20,2.3375802040100098,8,3,0,3,3,2,0,0,2,0,R000074,9.641825307418248
CTGAN_000006,attack,time,75,18,12,40,3,0,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,11,0.08672527223825455,0.41864871978759766,0.1274489462375641,3.3641371726989746,27,2.4933948516845703,8,3,0,1,1,2,0,2,0,0,R000259,5.697402735854832
CTGAN_000007,attack,time,73,29,8,28,1,0,5,1,1,1,1,2,1,0,1,0,0,0,1,0,2,0,0,15,0.29315343499183655,0.6139195561408997,0.12782901525497437,3.824003219604492,28,2.1676928997039795,6,4,0,0,0,0,1,1,1,1,R000263,6.7525629738638075
CTGAN_000008,attack,time,54,13,1,28,5,1,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.4607912302017212,0.15004898607730865,3.19267201423645,23,2.294248104095459,5,2,1,1,1,0,1,0,2,0,R000288,5.968692906461618
CTGAN_000009,attack,time,61,8,26,16,4,0,8,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,8,0.20089738070964813,0.4299994111061096,0.16771703958511353,2.9094526767730713,17,2.1596412658691406,8,4,2,0,1,2,0,0,1,0,R000094,5.995653739847409
CTGAN_000010,attack,time,59,24,1,50,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,12,0.02433725818991661,0.40559500455856323,0.15052849054336548,3.6687471866607666,20,2.959812641143799,5,3,1,0,3,0,2,0,0,0,R000095,6.3003228563755025
