id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,23,66,11,12,5,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,12,0.21839633584022522,0.32031068205833435,0.22009192407131195,3.2921626567840576,29,2.5707826614379883,7,3,2,2,2,0,0,0,1,0,R000186,6.0083833633765265
CTGAN_000002,attack,time,93,21,24,2,5,0,5,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0.27741867303848267,0.31050264835357666,0.08909514546394348,4.037039279937744,32,1.9573206901550293,9,3,0,2,0,0,0,0,3,0,R000128,7.447872767608805
CTGAN_000003,attack,time,72,14,0,3,2,0,7,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,9,0.22297082841396332,0.316994845867157,0.1323157399892807,4.021943092346191,11,2.20184588432312,9,1,2,0,1,2,0,0,0,0,R000110,5.179764440663453
CTGAN_000004,attack,time,112,17,17,16,6,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0.1173958033323288,0.25313329696655273,0.07762671262025833,3.516280174255371,6,1.3552839756011963,4,3,2,0,2,0,0,0,0,0,R000066,5.272033743985492
CTGAN_000005,attack,time,39,14,16,0,0,0,6,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,15,0.21121150255203247,0.5003588795661926,0.1422692835330963,3.5217738151550293,25,3.0989904403686523,7,3,0,3,4,1,0,0,2,0,R000212,7.244287398778237
CTGAN_000006,attack,time,68,26,19,16,3,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,1,9,0.2846713662147522,0.3490632176399231,0.15349312126636505,4.161556720733643,21,3.326507091522217,9,2,0,1,2,2,0,0,0,0,R000207,5.801929959752421
CTGAN_000007,attack,time,66,49,2,14,0,0,7,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,1,19,0.2468702346086502,0.41230395436286926,0.08431097865104675,3.745577335357666,14,2.1707417964935303,9,3,0,0,0,0,1,0,1,1,R000087,5.469640039389331
CTGAN_000008,attack,time,18,11,11,4,2,0,8,2,0,0,2,0,1,0,1,0,0,0,0,0,3,0,0,14,0.0036222897469997406,0.30545341968536377,0.07922440767288208,4.652016639709473,4,2.1522903442382812,8,3,1,0,2,0,1,0,2,0,R000203,8.219527094312056
CTGAN_000009,attack,time,35,6,10,48,4,0,10,1,0,2,2,0,0,0,1,0,1,0,0,1,0,0,1,23,0.2618248760700226,0.27210015058517456,0.18135781586170197,3.338406562805176,8,2.0221078395843506,6,2,2,0,2,1,0,0,1,0,R000116,7.238520853102032
CTGAN_000010,attack,time,20,40,17,10,1,1,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0.24872227013111115,0.2852936089038849,0.07388480007648468,4.377979755401611,8,1.9985737800598145,6,3,2,0,3,0,2,0,0,0,R000157,5.882524820110053
