id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,union,48,24,15,4,0,0,0,2,0,0,2,2,4,0,1,0,1,0,1,1,2,1,1,5,0.4533537030220032,0.10203875601291656,0.1281888782978058,4.197436332702637,6,2.6649811267852783,6,2,1,0,0,0,2,0,1,0,R000009,6.882519115095534
CTGAN_000002,attack,union,19,13,0,6,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0,2,1,7,0.35088303685188293,0.2826807498931885,0.15759585797786713,3.4099009037017822,15,2.59182071685791,6,3,3,0,0,0,0,1,0,0,R000157,8.113620093227354
CTGAN_000003,attack,union,32,14,14,7,0,0,3,3,1,0,0,2,0,0,2,0,0,0,0,2,2,0,1,4,0.5045386552810669,0.19061976671218872,0.11395454406738281,3.7441978454589844,10,2.8558034896850586,6,2,0,0,2,0,0,2,1,2,R000096,6.741097384243853
CTGAN_000004,attack,union,41,20,1,5,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0.14104622602462769,0.10199949145317078,0.11969763040542603,3.5612478256225586,10,2.207273006439209,6,2,0,0,0,0,2,3,0,0,R000292,7.27898270017118
CTGAN_000005,attack,union,35,15,25,8,1,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,1,0,1,1,0.3572031259536743,0.08237898349761963,0.13261865079402924,2.9845001697540283,12,2.8815982341766357,6,2,2,0,0,1,2,2,1,1,R000157,6.261671867177892
CTGAN_000006,attack,union,37,14,2,20,1,0,1,0,2,0,0,3,0,1,1,0,1,0,0,0,1,0,1,3,0.25028735399246216,0.2043607085943222,0.11457911133766174,3.024914264678955,12,2.6224305629730225,6,2,3,0,1,2,1,0,0,0,R000244,6.034696164552706
CTGAN_000007,attack,union,49,15,0,22,0,1,0,4,1,0,1,0,0,2,1,0,0,0,2,0,0,0,1,6,0.07841388136148453,0.05824607238173485,0.13468238711357117,3.441347599029541,16,2.342128038406372,6,2,2,0,0,1,0,0,0,0,R000291,5.86416851367762
CTGAN_000008,attack,union,53,14,0,16,0,0,0,1,1,0,2,2,0,0,1,0,1,0,1,0,0,1,1,5,0.025763433426618576,0.03162112087011337,0.1284884214401245,2.880113124847412,12,2.3874361515045166,6,2,2,0,2,1,1,0,0,2,R000141,6.452797739421555
CTGAN_000009,attack,union,43,15,22,3,1,1,1,1,0,0,3,2,1,0,2,0,0,0,0,2,1,0,1,0,0.21948517858982086,0.09325961023569107,0.1228131651878357,3.714724540710449,10,2.8295693397521973,6,2,2,1,0,0,1,1,1,1,R000253,6.450438691331165
CTGAN_000010,attack,union,54,19,1,6,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0.1441834568977356,0.39904022216796875,0.1262357383966446,3.819427490234375,16,2.3792033195495605,6,2,3,0,0,1,3,2,0,0,R000063,5.987363445495468
CTGAN_000011,attack,union,46,15,18,5,1,1,3,1,2,1,3,2,2,0,0,0,0,0,0,0,0,2,1,6,0.08064018189907074,0.14657777547836304,0.10771700739860535,4.019367218017578,18,2.3033487796783447,6,2,1,1,1,2,0,2,0,1,R000276,8.791425835504102
CTGAN_000012,attack,union,41,18,1,3,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,5,0.09900638461112976,0.09792521595954895,0.02550479769706726,3.4326717853546143,14,2.576545476913452,6,2,2,0,2,0,1,1,0,0,R000034,6.013912907713799
CTGAN_000013,attack,union,49,15,10,5,1,0,0,2,2,0,2,2,0,1,0,0,1,0,0,0,1,0,1,5,0.030932748690247536,0.050969433039426804,0.14604990184307098,3.740588665008545,18,2.7045657634735107,6,2,2,0,0,0,0,0,0,0,R000027,5.100284056980636
CTGAN_000014,attack,union,38,14,8,14,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,1,2,0,1,3,0.03369036316871643,0.20862260460853577,0.09620531648397446,3.6424524784088135,14,2.7896158695220947,6,2,0,0,2,0,0,3,0,1,R000280,8.201366930755416
CTGAN_000015,attack,union,50,14,6,5,1,0,3,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,1,6,0.09885572642087936,0.06131329387426376,0.052647557109594345,2.858438491821289,18,2.9578781127929688,6,2,0,0,1,3,1,2,0,1,R000197,7.694684476946396
CTGAN_000016,attack,union,35,30,13,4,1,1,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,5,0.058238424360752106,0.18525269627571106,0.11891958117485046,3.436842679977417,11,2.473421573638916,6,2,1,0,3,0,0,0,1,0,R000146,5.385835187156819
