epoch,critic_loss,generator_loss
1,8.871580886840821,0.06046012043952942
2,7.1915031433105465,0.5839565396308899
3,3.913550329208374,1.2825932502746582
4,-0.3685753345489502,2.2456634044647217
5,-4.926136541366577,3.131239652633667
6,-8.749265670776367,4.068984031677246
7,-10.90334415435791,4.313492298126221
8,-11.297976112365722,4.948550224304199
9,-11.244883346557618,4.920940399169922
10,-10.63085651397705,4.681126117706299
11,-9.930538558959961,3.3515186309814453
12,-9.683166694641113,2.713258981704712
13,-9.18950138092041,1.7741655111312866
14,-9.713569641113281,1.236365795135498
15,-8.56890287399292,-0.8133041858673096
16,-7.970590019226075,-1.2636913061141968
17,-6.928357315063477,-2.982506513595581
18,-5.578040885925293,-4.053758144378662
19,-5.234295272827149,-5.7924089431762695
20,-3.6931002616882322,-6.086811065673828
21,-3.6319692134857178,-7.177389144897461
22,-3.4000832557678224,-7.675813674926758
23,-3.0066056728363035,-7.348621845245361
24,-2.652308702468872,-7.602686882019043
25,-2.7256431102752687,-8.16695785522461
