id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,kw_order,kw_by,kw_exists,kw_case,kw_when,keyword_total
SMOTE_000001,attack,time,1  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    ) ,nearest_attack_euclidean,R000150,1.0793027465352327,64.70318755459482,22.59362489081038,3.384206058835471,19.296812445405187,10.0,28.40637510918962,7.0,0.2983010205322202,0.15455964530145477,0.43894758245530674,0.10819175171101836,0.0,0.296812445405189,0.0,0.0,0.0,1.0,0.0,4.703187554594811,0.0,1.0,0.0,1.0,0.0,0.296812445405189,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29681244540518903,0.703187554594811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000002,attack,time,"1%' and elt  (  1210  =  1210,sleep  (  5   )    )    and '%'  =  '",nearest_attack_euclidean,R000074,1.6875984776221375,68.55565463486968,17.755476292104255,2.943776384584073,13.066607219078191,7.5109525842085105,34.35583297763511,13.622261853947872,0.19147668299959852,0.11145880530540492,0.4985844051524589,0.19848010654253764,4.0,0.0,0.0,0.0,0.0,1.6888690730260638,0.0,5.244523707895745,2.0,0.0,0.6888690730260638,1.6888690730260638,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000003,attack,time,"1' or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and 'raru'  =  'raru",nearest_attack_euclidean,R000078,0.39535239837463393,89.3448354053256,27.12225776412051,3.795581780594578,26.0,21.12225776412051,30.978062112964068,11.244515528241017,0.2914410329960439,0.23662960740711286,0.3461575302779006,0.1257718293189426,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.244515528241017,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1222577641205087,0.8777422358794913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000004,attack,time,"select pg_sleep  (  5  )   and    (    (   ""byhx"" like ""byhx",nearest_attack_euclidean,R000117,1.1733796982806324,60.62879143827878,21.05681284258183,3.436771477951255,27.37120856172122,1.0,24.257582876557557,8.0,0.45179203049232997,0.01649763671014011,0.39972923911640906,0.1319810936811209,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.31439571913939,0.0,0.6856042808606101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143957191393898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31439571913939
SMOTE_000005,attack,time,1  )   as crsd where 5271  =  5271 waitfor delay '0:0:5'--,nearest_attack_euclidean,R000065,0.16437088793424878,58.30293068260502,25.18175840956301,4.140186686906639,23.242344546084016,12.0,14.939413863479,8.121172273042008,0.39849167432210114,0.20590170547584558,0.25641544713812436,0.13919117306392892,2.060586136521004,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.060586136521004,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.060586136521003864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.060586136521004
SMOTE_000006,attack,time,select pg_sleep  (  5  )   and    (    (     (  'xobx'  =  'xobx,nearest_attack_euclidean,R000014,0.3620070303770396,62.38365401871461,19.67673080374292,3.2168363459119385,24.0,1.0,27.706923214971685,9.676730803742922,0.3852733854742716,0.01605305772809465,0.4436221184362988,0.15505143836133498,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.676730803742921,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000007,attack,time,"1  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000050,0.6298375749141787,73.68124998778403,23.63046874541901,3.4914796882092682,16.789843751527,19.420312496946003,29.260937490838018,8.210156248473002,0.22852213547180822,0.26359700521045415,0.3964778645281918,0.11140299478954584,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.210156248473003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21015624847300274,0.7898437515269973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SMOTE_000008,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  ""%""  =  """,nearest_attack_euclidean,R000100,1.4305056046436073,81.83917769683416,27.548453956690594,3.7419556534181044,25.19381582676237,15.0,30.645361870071778,11.0,0.30641256235511144,0.18428265531598215,0.3741641684305196,0.13514061389838689,0.8226809350358895,2.1773190649641103,0.0,0.0,0.0,1.0,0.0,5.274226978345297,0.7257730216547035,0.0,1.0,1.0,0.2742269783452965,0.7257730216547035,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SMOTE_000009,attack,time,"1 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R000087,1.806561375341777,77.4423230442721,26.0,3.6769827829124977,19.147441014757366,21.899268861359246,28.945978737475862,7.449634430679623,0.2456954428775855,0.2861634994452602,0.3710692004437919,0.09707185723336248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.899268861359248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5503655693203761,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.449634430679624,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449634430679624
SMOTE_000010,attack,time,"select sleep  (  5  )   and    (    (   ""vzye""  =  ""vzye",nearest_attack_euclidean,R000032,1.253749117503568,56.371186415915055,17.685593207957528,3.138834623581867,22.314406792042472,1.3144067920424725,24.74237283183011,8.0,0.39609412631460594,0.023460925272888636,0.43848944325375594,0.14195550515874944,0.0,3.3144067920424716,0.0,0.0,0.0,0.6855932079575282,0.0,4.0,0.0,0.0,0.0,0.6855932079575282,0.0,1.0,0.0,0.0,0.0,0.6855932079575282,1.0,0.0,0.0,0.0,0.0,0.6855932079575282,0.0,0.0,0.0,1.3144067920424718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
