label,payload,family,payload_type,method,run_id,sample_index
attack,"""  (  )   )         ",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,0
attack,-322727% n   ( (  ) ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,1
attack,"-1460""        )   s ",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,2
attack,"-7777%%'""   un ioniy",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,3
attack,-5988'    '   l     ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,4
attack,-841'  uninion un)  ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,5
attack,@lele select from  s,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,6
attack,"-2467%""'   )    )   ",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,7
attack,-666'6'   )      )  ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,8
attack,"-46381""  )         )",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,9
attack,"-05802""  )   )      ",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,10
attack,-82221'      )   sel,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,11
attack,-761+    u   )    ) ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,12
attack,-085'x (    )     ) ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,13
attack,-212796|         )  ,union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,14
attack,"-249359""    )       ",union,union,seqgan_master,seqgan_master__phase2a__union__F__50__MASTER__raw_character__len20__gpre15__reward_off__seed88,15
