label,payload,family,payload_type,method,run_id,sample_index,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,keyword_total
attack,or from  --   --,time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,0,16.0,6.0,2.2806390622295662,6.0,0.0,6.0,4.0,0.375,0.0,0.375,0.25,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,"',waitfor   and  d",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,1,18.0,12.0,3.3027227528624894,11.0,0.0,5.0,2.0,0.6111111111111112,0.0,0.2777777777777778,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,k3885sleep  sleep  sleep  (  5   select andbenchmark--,time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,2,54.0,20.0,3.7862993072783175,34.0,5.0,12.0,3.0,0.6296296296296297,0.09259259259259259,0.2222222222222222,0.05555555555555555,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,""" or sleep  (  __TIME__  )    =  """"  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""iersor",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,3,136.0,29.0,3.3261648846972305,50.0,1.0,63.0,22.0,0.36764705882352944,0.007352941176470588,0.4632352941176471,0.16176470588235295,0.0,4.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
attack,"1"" andd@ih'0:0:2' =  5vrevrcaseetspweeaalrtdonp0""   )    )    or sleep  (  __TIME__  )    =  "" * l em '0:0:__TIME__'--",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,4,118.0,35.0,4.339092494383726,49.0,8.0,32.0,29.0,0.4152542372881356,0.06779661016949153,0.2711864406779661,0.2457627118644068,4.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,8.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,"""   )   or 8466  =   0x76555642   (  T--",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,5,40.0,17.0,3.165884199801882,4.0,13.0,17.0,6.0,0.1,0.325,0.425,0.15,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,"55702)   )    or pg_sleep@pyo3824   3885edesi5  10000000  5000000,drtiuweopdtoerdiwhereopertr  )  )   waitfor irsiovpg_sleep  814025c_  0x544d5a4c   waitfor and lvnV   =",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,6,169.0,35.0,4.416236443503709,83.0,41.0,35.0,10.0,0.4911242603550296,0.24260355029585798,0.20710059171597633,0.05917159763313609,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
attack,"1%'   )   and @6456ielofrn  0x694a4745 or sleep  3114  (9862  sleep  5pe5  (  2657,1  1   )    )   or --",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,7,104.0,30.0,3.9327466944409504,28.0,29.0,36.0,11.0,0.2692307692307692,0.27884615384615385,0.34615384615384615,0.10576923076923077,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
attack,1'||  (  select ''   )    )    rlike sleep  (  5  )   and    (    (   '    usirorpg_sleep     (  --,time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,8,99.0,24.0,3.158609271898338,32.0,2.0,48.0,17.0,0.32323232323232326,0.020202020202020204,0.48484848484848486,0.1717171717171717,4.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,"if xir   y  (  )    or     4287,mrrvyip",time,time,seqgan_improved,seqgan_improved__phase3__time__A__200__V2__sql_aware__len160__gpre60__reward_off__seed88,9,39.0,17.0,3.125357198261755,15.0,4.0,17.0,3.0,0.38461538461538464,0.10256410256410256,0.4358974358974359,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
