epoch,critic_loss,generator_loss
1,8.855020141601562,0.3418271243572235
2,6.983722496032715,0.9162087440490723
3,3.267905855178833,1.8856768608093262
4,-1.3048249721527099,2.9742021560668945
5,-5.708907508850098,4.123153209686279
6,-9.064995670318604,5.026869773864746
7,-10.48583812713623,5.161590099334717
8,-10.781619453430176,5.186975479125977
9,-10.379869079589843,4.920464992523193
10,-9.674546051025391,3.5286779403686523
11,-9.510623931884766,2.4603748321533203
12,-9.252141189575195,1.3257030248641968
13,-8.69179401397705,-0.030494343489408493
14,-8.011116790771485,-0.9507253170013428
15,-7.516896343231201,-1.4195103645324707
16,-6.927766799926758,-2.9121787548065186
17,-6.63445291519165,-3.945845365524292
18,-5.479268169403076,-4.815610408782959
19,-5.35445728302002,-5.33525276184082
20,-4.92780704498291,-6.221985340118408
21,-4.099656200408935,-6.638151168823242
22,-3.594161605834961,-5.622259616851807
23,-3.2404482841491697,-5.905123710632324
24,-3.350428056716919,-6.5115227699279785
25,-2.9147282600402833,-5.936436176300049
