id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
GAN_000001,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.661005075212329
GAN_000002,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,4.261784162473921
GAN_000003,attack,time,1 and sleep  (  5  )  -- ruuv,nearest_attack_euclidean,R000042,4.417352296665599
GAN_000004,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.6559575238869115
GAN_000005,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.479777028959417
GAN_000006,attack,time,1 and sleep  (  5  )  -- ruuv,nearest_attack_euclidean,R000042,4.702646793667371
GAN_000007,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.557417539328856
GAN_000008,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.555181694039924
GAN_000009,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.839372145033581
GAN_000010,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.420374611529112
GAN_000011,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.532537304010078
GAN_000012,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.622271212849236
GAN_000013,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,4.327359193568458
GAN_000014,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.294026091358867
GAN_000015,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,4.362411504611775
GAN_000016,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.407065030645764
GAN_000017,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.484009329255133
GAN_000018,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.620339049896387
GAN_000019,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.549718142147302
GAN_000020,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.611298486439111
GAN_000021,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.788397767466457
GAN_000022,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.562804887309162
GAN_000023,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,4.5843798015310755
GAN_000024,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.6248682196047906
GAN_000025,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.755793275332191
GAN_000026,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.34116136543354
GAN_000027,attack,time,select sleep  (  5  )   and '%'  =  ',nearest_attack_euclidean,R000275,4.447130895545211
GAN_000028,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.676405383095202
GAN_000029,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.388052645195655
GAN_000030,attack,time,1'  )   and sleep  (  5  )  #,nearest_attack_euclidean,R000177,4.38164983145654
GAN_000031,attack,time,1'  )   and sleep  (  5  ) ,nearest_attack_euclidean,R000254,4.41811274954709
GAN_000032,attack,time,1 and sleep  (  5  )  -- ruuv,nearest_attack_euclidean,R000042,4.352829107134167
GAN_000033,attack,time,"1""  )   and sleep  (  5  )  #",nearest_attack_euclidean,R000225,4.320608833247564
