id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,error,490,64,36,46,0,0,17,1,1,3,0,0,0,0,2,0,0,1,0,0,0,0,1,23,0.10510672628879547,0.3982023000717163,0.09795154631137848,3.9421401023864746,51,3.1537063121795654,11,7,0,0,0,0,1,0,3,1,R000210,6.678471079290028
CTGAN_000002,attack,error,342,89,42,105,4,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,15,0.1871197521686554,0.37540680170059204,0.1775141805410385,3.387082576751709,84,1.818274736404419,15,7,1,0,0,1,0,0,3,0,R000429,8.781726918416984
CTGAN_000003,attack,error,403,43,16,61,1,0,15,4,1,2,0,0,0,26,0,0,0,2,3,0,0,0,0,14,0.14858585596084595,0.42995160818099976,0.15934622287750244,3.839858293533325,103,2.7140626907348633,11,7,0,1,1,0,0,0,3,1,R000334,6.971229953848844
CTGAN_000004,attack,error,189,66,52,41,1,0,30,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.2344817966222763,0.4119567275047302,0.09199416637420654,4.303167819976807,58,1.9738163948059082,6,4,0,0,0,0,0,0,2,1,R000805,5.3320881368071955
CTGAN_000005,attack,error,342,115,50,54,4,0,15,6,1,1,1,0,2,0,1,0,0,1,0,0,0,1,0,37,0.11133512854576111,0.3719313144683838,0.10723170638084412,4.014271259307861,33,1.867016315460205,6,4,0,0,0,1,0,1,0,1,R000136,5.094421806976339
CTGAN_000006,attack,error,178,49,34,153,4,0,42,5,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,26,0.17533890902996063,0.4861612021923065,0.16812969744205475,3.690891742706299,58,2.582301616668701,12,4,1,0,1,0,0,0,1,0,R000673,7.2024720184323545
CTGAN_000007,attack,error,460,43,38,32,3,0,35,5,2,1,0,0,1,1,1,0,0,3,0,0,0,0,0,13,0.2325524091720581,0.4862159788608551,0.16259756684303284,3.547839403152466,77,2.223564863204956,7,4,0,0,0,1,0,0,2,1,R000695,6.301506182789296
CTGAN_000008,attack,error,396,104,48,62,0,0,23,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,61,0.1656598150730133,0.3724004924297333,0.16311876475811005,3.96793794631958,109,2.505077362060547,11,4,0,0,0,0,0,1,1,1,R000151,4.6592777164771935
CTGAN_000009,attack,error,130,114,35,182,4,0,22,3,1,1,2,0,0,18,0,2,1,1,2,0,0,0,0,34,0.17745919525623322,0.38778406381607056,0.1768549382686615,3.849642038345337,48,2.432929277420044,6,6,0,2,0,0,0,0,0,1,R000575,6.424096004769108
CTGAN_000010,attack,error,316,55,32,114,0,0,34,4,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,15,0.13087354600429535,0.2620529532432556,0.1551700234413147,3.6594531536102295,103,2.4624698162078857,7,3,0,3,1,0,0,0,0,1,R000334,6.569593605895287
