id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,union,77,31,2,13,1,0,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,4,11,0.2968806326389313,0.0,0.16054709255695343,4.083276748657227,25,2.4308066368103027,7,7,2,1,0,1,0,1,0,1,R000042,7.418425231500906
CTGAN_000002,attack,union,68,4,0,16,1,1,1,6,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,10,0.25720059871673584,0.23855747282505035,0.16114702820777893,3.557704448699951,22,2.8005332946777344,6,5,0,1,0,0,1,0,0,1,R000059,5.317761706833174
CTGAN_000003,attack,union,59,48,26,4,0,0,1,5,0,1,1,0,0,2,0,0,1,1,1,0,0,0,1,11,0.10395512729883194,0.25518256425857544,0.18615774810314178,3.720729351043701,20,2.557681083679199,7,2,0,0,0,0,0,0,0,0,R000018,5.948187400137796
CTGAN_000004,attack,union,64,11,15,4,4,0,1,4,2,1,2,0,0,1,0,0,1,2,0,0,0,2,3,11,0.3920842111110687,0.09585748612880707,0.1739768534898758,3.4350061416625977,21,2.4908621311187744,7,3,2,0,0,3,1,0,1,0,R000005,8.550969792428711
CTGAN_000005,attack,union,76,12,23,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0.6593420505523682,0.06878817081451416,0.1829935908317566,3.619257688522339,25,2.2330074310302734,6,2,2,3,0,0,0,0,0,0,R000067,6.476126062989774
CTGAN_000006,attack,union,77,32,15,11,0,0,1,8,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,7,0.5814100503921509,0.1649509072303772,0.07746360450983047,3.272782325744629,23,2.533323049545288,6,2,2,0,0,0,0,0,0,2,R000025,6.005550363423218
CTGAN_000007,attack,union,59,9,21,14,1,0,0,0,1,0,2,0,0,2,0,1,1,0,0,0,2,0,2,10,0.09900330007076263,0.14987149834632874,0.12604191899299622,4.005109786987305,22,2.3815948963165283,6,2,2,0,0,1,0,0,1,0,R000073,7.375729211180487
CTGAN_000008,attack,union,81,37,9,0,0,0,1,4,0,1,2,0,0,2,0,1,1,0,1,0,0,0,2,8,0.04841778054833412,0.2891409695148468,0.10600648820400238,3.8552744388580322,21,2.459104299545288,6,2,0,0,0,0,0,0,1,1,R000034,5.832789941375512
CTGAN_000009,attack,union,87,10,0,10,0,0,1,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,10,0.17210188508033752,0.0969458520412445,0.17523249983787537,3.790966749191284,20,2.7005815505981445,6,2,3,0,2,1,0,0,0,0,R000016,5.557931075556335
CTGAN_000010,attack,union,71,7,23,2,1,0,0,9,2,1,2,0,0,2,0,0,0,0,0,0,0,0,1,7,0.5506963729858398,0.2438439130783081,0.17104500532150269,4.1192474365234375,25,2.915517807006836,6,2,0,0,0,0,0,0,0,0,R000038,5.487088760806507
CTGAN_000011,attack,union,76,12,13,15,0,0,0,5,0,1,0,0,0,0,0,1,0,2,1,0,0,0,1,10,0.5929148197174072,0.3090737760066986,0.17361469566822052,3.477245807647705,24,2.6041955947875977,6,2,1,0,0,0,0,0,0,0,R000073,5.631692174226055
CTGAN_000012,attack,union,72,20,9,13,0,0,0,12,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,11,0.49179553985595703,0.06282169371843338,0.17765867710113525,4.031623363494873,13,2.271599531173706,6,3,0,0,0,2,0,0,0,2,R000016,7.277511866204679
CTGAN_000013,attack,union,62,9,7,20,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0.33030322194099426,0.2514091730117798,0.18070316314697266,3.7052032947540283,18,2.9043807983398438,7,2,2,1,2,0,1,2,0,0,R000026,6.320884516561363
CTGAN_000014,attack,union,72,6,0,13,1,0,0,5,0,1,3,0,0,2,0,0,1,1,2,0,0,0,2,8,0.6201493740081787,0.19983330368995667,0.17423564195632935,4.673469543457031,22,2.6634163856506348,6,5,1,1,0,3,0,0,0,1,R000013,7.070390106728699
CTGAN_000015,attack,union,72,10,16,2,0,0,1,9,0,1,1,0,0,2,0,0,0,0,3,0,0,0,2,10,0.0,0.10804872214794159,0.10031986236572266,4.043124198913574,25,2.3392412662506104,6,2,3,2,0,1,0,1,2,0,R000066,7.606021433292914
CTGAN_000016,attack,union,69,8,0,10,1,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,11,0.2550036907196045,0.2234240174293518,0.16379979252815247,3.3581409454345703,23,2.4949405193328857,6,3,1,0,0,1,0,0,0,0,R000067,4.377563103016791
CTGAN_000017,attack,union,58,17,0,12,0,0,2,3,0,1,3,0,0,2,0,0,1,1,0,0,0,0,2,12,0.5570080280303955,0.19163154065608978,0.1746302843093872,3.865952968597412,16,2.404210090637207,6,3,2,2,0,3,0,0,0,1,R000062,6.503607593850618
CTGAN_000018,attack,union,84,51,17,9,0,0,0,5,1,0,4,0,2,0,0,0,0,0,2,0,0,0,2,12,0.0490415059030056,0.0,0.15980327129364014,3.8942461013793945,21,2.303123950958252,6,2,0,2,2,1,0,0,0,0,R000046,9.556485042676174
