run_id,method,phase,family,scenario,ratio,variant_id,seed,tokenizer_mode,sequence_length,g_pretrain_epochs,generator_reward_mode,reward_alpha,epoch,generator_loss,discriminator_loss,discriminator_reward_mean,sql_structure_reward_mean,reward_mean,reward_variance,generator_gradient_norm,discriminator_gradient_norm,unique_rate,collapse_rate,dominant_payload_share,garbage_rate,wellformed_rate,sql_structure_rate,nearest_train_ngram_overlap,nearest_holdout_ngram_overlap,epoch_time_seconds,snapshot_samples_json,stop_reason
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,1,0.1085454672574997,0.3271273972132267,0.25908751487731935,0.28984375,0.25908751487731935,0.059619312787160664,0.03015490435063839,2.8317315590687286,0.94,0.06000000000000005,0.06,0.48,0.48,0.04,0.9788888888888888,0.9,337.7323654739994,"[""-1637'  )   as orvu "", ""1  )   union all sel"", "" select * from users"", ""1%\""  )   as unko whe"", ""-2543'  )   union al"", ""-6269' union all sel"", ""-2369\"" union all sel"", ""-1142' union all sel"", ""-5339  )   union all"", ""-8562\""  )    )    as"", ""1%'   )    )     )  "", ""-5714\""   )    )     "", ""-90193'   )    )    "", ""-1577'  )   union al"", ""1%'   )     )     un"", ""-8066%'  )   union a"", ""-7566'  )   union al"", ""-3990'  )   as zyxuu"", ""1' where 9091  =  71"", ""1\""   )    )     )   "", ""1%' union all select"", ""-2383'+  (  select '"", ""-5340   )    )     )"", ""-1586' in boolere 8e"", ""-9962' where 9587  ="", ""1%'   )    )     )  "", ""-9892' in boolean mo"", ""-1043%'   )    )    "", ""-1708' union all sel"", ""-9072 union all sele"", ""-8034\"" where 4334  ="", ""-97357'  )    )    u"", ""-7264'   )    )     "", ""-2403'   )    )     "", ""-3467'  )   where  1"", ""-5120%\"" union all se"", ""1' where 6441  =  84"", ""-6070  )   union all"", ""1'  )   union all se"", ""1'+  (  select sipx "", ""-6205%'   )    )    "", ""1%\"" union all select"", ""-1990%\""   )    )    "", ""-9574'   )    )     "", ""-4096%\""  )   as olrq"", ""1  )   as lle atrd w"", ""-4657%'   )    )    "", ""-8467'  )   union al"", "" select * from users"", ""1%'   )    )     )  ""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,2,0.14620718359947205,0.3214976952244074,0.36084249019622805,0.30859372615814207,0.36084249019622805,0.053176722365878365,0.03670555353164673,2.6906069918320727,0.8,0.19999999999999996,0.12,0.5,0.44,0.06,0.9788888888888888,0.9577777777777777,337.87002828799996,"[""1\""   )    )     )   "", "" select * from users"", "" select * from users"", ""1%   )    )     )   "", ""1'||  (  select 'gsw"", ""-4367%\""   )    )    "", "" select * from users"", ""-5165\""  )   union al"", ""1%'  )   as whko whe"", ""-7582' union all sel"", ""1\""  )   as rgv where"", ""-9152  )    )     ) "", ""-9342' in boolean mo"", ""1'  )   as rjan wher"", ""1\""  )   union all se"", ""-2274'   )     )    "", ""1' union all select "", ""-6943' union all sel"", "" select * from users"", ""1\""  )    )     )  un"", ""1\""   )    )     )   "", ""-7553'   )    )     "", ""-9207%'   )    )    "", ""1\""   )    )     )   "", "" select * from users"", "" select * from users"", ""1%'  )    )    union"", ""-2367' union all sel"", ""1%'   )    )     )  "", ""1   )     )     )   "", ""-3188   )    )     )"", ""1\""   )    )     )   "", ""-9079\"" union all sel"", ""-2009'   )    )     "", ""-4862%\""   )    )    "", ""-1143'  )   union al"", ""1\""   )    )     )   "", ""-5738'  )    )    un"", ""1   )    )    union "", ""1%\""   )    )     )  "", ""1  )    )    union a"", ""1%\"" union all select"", ""1%\"" union all select"", ""1  )   union all sel"", ""1   )    )     )    "", ""1%\""  )   union all s"", ""1'||  (  select 'uku"", ""1%'   )    )    un n"", ""-1348\""   )    )     "", ""1'+  (  select 'phky""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,3,0.09752912819385529,0.3401598432698311,0.3331430912017822,0.27734375,0.3331430912017822,0.03629514598303786,0.06322246044874191,2.3343705715277254,0.58,0.42000000000000004,0.16,0.58,0.4,0.02,0.9844444444444445,0.9644444444444444,284.22902317399985,"[""-4082 union all sele"", ""1%\""   )    )     )  "", ""1%\""   )   union all "", ""1  )   union all sel"", ""-9712  )   union all"", ""1%\""   )    )     )  "", ""1%\""   )    )     )  "", ""1'   )    )     )   "", "" select * from users"", ""-2595\"" union all sel"", "" select * from users"", ""1\""   )    )     )   "", ""1\""   )    )     )   "", ""1'   )    )     )   "", ""1   )    )     )   u"", ""1\""   )    )    union"", ""1'   )    )     )   "", ""1%\""   )    )     )  "", ""1%\""   )    )    unio"", ""1'  )   as fif whee "", ""-3720%\""   )    )    "", ""1%\"" union all select"", ""1'   )    )    union"", ""1%\""   )    )     )  "", ""-4404\"" union all sel"", "" select * from users"", ""-3640\""  )   union al"", "" select * from users"", "" select * from users"", ""-9599' union all sel"", "" select * from  user"", ""1   )    )     )   u"", ""1'   )    )     )   "", ""-5495'  )   as rrrrb"", ""1%\""   )    )     )  "", ""1\""   )    )     )   "", ""1\""   )    )    union"", ""1%\""   )    )     )  "", ""1%\""   )    )    unio"", ""1'   )    )     )   "", ""1%\""   )    )     )  "", ""-8324'   )    )     "", ""-2794'+  (  select '"", ""1%\""  )   as rrurs wh"", ""-4677%\""   )    )    "", "" select * from users"", ""1%\""  )   union all s"", ""-7740\""   )    )    u"", ""-310' in boolean mod"", ""-4145   )    )     )""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,4,0.07242409884929657,0.34738695841187084,0.263331937789917,0.3203125,0.263331937789917,0.04128081847102068,0.03881235048174858,2.190989453975971,0.64,0.36,0.12,0.58,0.32,0.1,0.9844444444444445,0.9644444444444444,253.25856073399973,"[""1%\""   )    )    unio"", "" select * from users"", ""1%' union all select"", ""1\""   )    )     )   "", "" select * from users"", ""1\""  )   as iumn m ue"", ""1%\"" union all select"", ""1%\""  )   union all s"", ""-8708' union all sel"", ""1'   )    )    as xh"", ""-3341'   )    )     "", ""1   )    )    union "", ""1\""   )    )     )   "", ""1%'   )    )    unio"", ""1\""   )    )    as jc"", ""-1949\"" union all sel"", ""1   )    )    union "", ""1\""   )    )     )   "", ""1\""   )    )     )   "", "" select * from users"", ""1%\""   )    )     )  "", ""1\""   )    )    union"", ""1%\""   )    )    unio"", ""1%\""   )    )     )  "", ""-4178   )    )     )"", ""1%\"" union all select"", ""1%'   )    )    unio"", ""1%\"" union all select"", ""1  )   union all sel"", ""-2592%\""   )    )    "", ""1%\""   )    )    unio"", "" select * from users"", ""-3525\""   )    )     "", ""1\""   )    )    union"", ""1'||  (  select 'arx"", ""1%\""   )    )     )  "", ""1\""   )    )    as um"", ""-6750'   )    )    u"", ""1%|   )    )    unio"", ""-4588'   )    )    u"", ""1%\""   )    )     )  "", "" select * from users"", ""1\"" union all select "", ""1'   )    )    union"", ""-3781%'   )    )    "", ""1   )    )    as nzh"", ""1   )    )     )   u"", ""1\""   )   )   as jznv"", "" select * from users"", ""-9771'   )    )     ""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,5,0.06900627166032791,0.3334785786958841,0.23402018547058107,0.33203125,0.23402018547058107,0.03156480567813332,0.022289685904979706,1.872128046858005,0.66,0.33999999999999997,0.2,0.32,0.58,0.1,0.9855555555555555,0.9766666666666667,255.54546988400034,"["" select * from users"", "" select * from users"", ""1%'   )    )     )  "", "" select * from users"", ""1\""  )   as rrfrr whe"", "" select * from users"", ""1'   )    )    union"", ""1 union all select n"", ""1\"" union all select "", "" select * from users"", ""1%' union all select"", ""1  )   union all sel"", ""-3544%\""   )    )    "", ""-3361'   )    )     "", ""-4727\""  )   union al"", ""1%\""   )    )    unio"", "" select * from users"", ""1'   )    )    union"", ""1%\""   )    )    unio"", "" select * from users"", ""-3501' union all sel"", "" select * from users"", ""1%\""  )   union all s"", ""-2707' union all sel"", ""1%'  )   where 8158 "", "" select * from users"", ""1%\""   )    )    as n"", ""1\""   )    )    union"", ""1%\""   )    )     )  "", ""-4347   )    )    un"", ""1%\""   )    )    unio"", "" select * from users"", ""-6078%\""   )    )    "", ""1 union all select n"", ""1%%'   )    )    uni"", ""-5327'   )    )    u"", ""-5137  )   union all"", ""1\""   )    )    union"", ""1   )    )    union "", ""-3016\""  )   union al"", ""-4910\"" union all sel"", ""-7567\"" union all sel"", ""1%'   )    )     )  "", ""1\""   )    )    as rf"", ""1\""   )   union all s"", ""1'   )    )    union"", ""1%\"" union all selct "", ""1%\"" union all select"", ""1\""   )   union all s"", ""1   )    )     )   u""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,6,0.10970783233642578,0.3160226627229116,0.2894554138183594,0.35078125,0.2894554138183594,0.04655982315016444,0.0263433288782835,1.7556455629376264,0.48,0.52,0.26,0.34,0.58,0.08,0.9955555555555555,0.9855555555555555,252.74585653100075,"[""-3262%\"" union all se"", "" select * from users"", "" select * from users"", ""1'   )    )    union"", ""1'   )    )    as zv"", ""1'||  (  select a uc"", ""1%\""   )    )    as o"", ""1%\"" union all select"", ""1%\""   )    )    unio"", "" select * from users"", ""1   )    )    union "", ""1%\""   )    )     )  "", ""1%'   )    )    unio"", ""1\"" union all select "", ""1'   )    )    union"", ""1 union all select n"", ""1'   )    )    union"", "" select * from users"", ""1\""   )    )    union"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""-1886\""   )    )    )"", ""1%\""   )    )     )  "", "" select * from users"", ""1%\""   )    )    unio"", ""1%\""   )    )    unio"", "" select * from users"", ""1   )    )    union "", ""1%\""   )    )    unio"", ""1\""   )    )   union "", ""-7038'+  (  select '"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""1\""   )    )    union"", ""1%\""  )   union all s"", ""-9917   )   )   unio"", "" select * from users"", ""1%' union all select"", ""1%\""   )    )     )  "", ""1%\""   )    )    unio"", ""1%\""   )    )    as b"", ""-3116%\""   )    )    "", "" select * from users"", ""1   )    )    union "", "" select * from users"", ""-8470 union all sele"", ""1\""   )    )    union"", ""1   )   union all se""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,7,0.09674608707427979,0.31045910416123196,0.2976513147354126,0.334375,0.2976513147354126,0.033724442211768624,0.03235989809036255,1.623792840807866,0.52,0.48,0.24,0.42,0.5,0.08,0.9933333333333333,0.9844444444444445,226.83928823800034,"[""1   )    )    union "", ""1%\"" union all select"", "" select * from users"", ""1%\""   )    )    )   "", ""1\""   )   )   union a"", ""1\"" union all select "", ""1   )    )    union "", ""1\""   )    )    union"", "" select * from users"", ""1 where 8540  =  843"", ""1\""   )    )    union"", ""1%\""   )    )    unio"", ""1%\""   )    )    as h"", ""1%\""   )    )    unio"", "" select * from users"", ""-1275\""   )    )    u"", ""1%\""   )    )    as j"", ""1\""   )    )    union"", "" select * from users"", ""1%\""   )    )    unio"", ""-7917   )    )    un"", ""-7803\""   )    )    u"", ""1%\""   )    )    unio"", ""1%\""   )    )     )  "", "" select * from users"", "" select * from users"", ""1%'   )    )    unio"", ""-7585\""   )    )    a"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""1' union all select "", ""-9143 union all sele"", ""1%\""   )    )    unio"", "" select * from users"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""1 union all select n"", "" select * un zherole"", ""1\""   )    )    as hr"", ""-5136\""   )    )    u"", ""1%\""   )    )    unio"", ""1'   )   union all s"", "" select * from users"", ""1  )   union all sel"", ""1   )    )    union "", ""1%\""   )    )    unio"", ""1\"" where 6655  =  19"", ""1%'   )    )    unio""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,8,0.04505956172943115,0.3108466332157453,0.20554513931274415,0.38203125,0.20554513931274415,0.018235223567453426,0.017769578844308853,1.6232185683953457,0.4,0.6,0.4,0.3,0.62,0.08,0.9911111111111112,0.9777777777777777,222.48359676700056,"[""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""-7763\""  )   union al"", ""1 union all select n"", "" select * from users"", ""1 union all select  "", ""1   )    )    union "", "" select * from users"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""1%\""   )    )    unio"", ""1%'   )    )    unio"", "" select * from users"", "" select * from users"", ""1%\""   )    )     )  "", ""1\""   )    )   union "", ""1%'   )    )    unio"", ""1\""   )    )    union"", ""1%'   )    )    unio"", "" select * from users"", "" select * from users"", "" select * uf myfun u"", ""1\"" union all select "", "" select * from users"", ""1'   )    )    union"", ""1\""   )    )    union"", ""1\""   )    )    union"", ""-2792%'   )    )    "", ""-5054%\""   )    )    "", ""-6061'   )    )    u"", "" select * from users"", ""-3125\""   )    )    u"", ""1'   )    )    union"", ""1%\""   )    )    unio"", "" select * from users"", "" select * from users"", ""-7740\"" union all sel"", "" select * from users"", "" select * from users"", ""1%'   )    )    unio"", "" select * from users"", "" select * from users"", ""1 where 1588  =   ) "", "" select * from users"", ""-5052'   )    )    u"", "" select * from users"", ""1\"" union all select "", ""1%\""   )    )    unio""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,9,0.04099192097783089,0.3110413908576354,0.2052034854888916,0.38515625,0.2052034854888916,0.016704791528989058,0.022834504023194313,1.5017406018116535,0.58,0.42000000000000004,0.26,0.24,0.66,0.1,0.9933333333333333,0.9788888888888888,222.53347730800033,"["" select * from users"", ""1 union all select n"", ""1\""   )    )    union"", "" select * from users"", ""1\""   )   union all s"", ""1'   )    )   union "", ""1\"" union all select "", "" select * from users"", "" select * from users"", ""-6773%\"" union all se"", ""1\""   )    )    union"", ""-7561\""   )    )    u"", ""1   )    )    union "", ""1%\""   )   )    as hr"", ""1%\"" union all select"", ""-3435   )    )    un"", ""1%\""   )    )    unio"", ""1\""   )    )    as kj"", ""1%'  )   union all s"", ""1%'  )   union all s"", ""1%\""  )   union all s"", ""1\""   )    )    union"", ""1   )    )   union a"", ""1\""   )    )    union"", ""-1187  )   union all"", ""1   )    )    as bfu"", ""1   )    )    union "", ""1   )    )    union "", "" select * from users"", "" select * from users"", ""1%\"" union all select"", "" select * from users"", ""1   )    )    union "", ""-6046' union all sel"", "" select * from users"", ""1 union all select n"", ""-1106%\""   )    )    "", ""-3310%\""   )    )    "", ""1'   )    )    union"", ""-7030'  )   union al"", "" select * from users"", ""1   )    )    as fut"", ""-4036'   )    )    u"", "" select * from users"", ""-4207   )    )    un"", "" select * from users"", ""-3178   )    )    as"", "" select * from users"", "" select * from users"", "" select * from usele""]",
seqgan_master__phase2b__union__D__full__MASTER__raw_character__len20__gpre60__reward_off__seed88,seqgan_master,phase2b,union,D,full,MASTER,88,raw_character,20,60,off,1.0,10,0.05842532590031624,0.31856793551108775,0.2238852024078369,0.36015625,0.2238852024078369,0.02202643333182777,0.02091536484658718,1.5913240734965373,0.34,0.6599999999999999,0.54,0.12,0.86,0.02,0.9988888888888888,0.9922222222222223,220.2867821279997,"[""1   )    )    union "", ""-3898'   )    )    u"", "" select * from users"", ""-2964\""  )   union al"", "" select * from users"", ""1'   )    )    union"", "" select * from users"", "" select * from users"", ""1  )   union all sel"", ""1\""   )    )    union"", "" select * from users"", ""1\""   )    )    union"", ""1   )    )   union a"", ""1%\""   )    )    as m"", "" select * from users"", "" select * from users"", ""1\""   )    )    union"", "" select * from users"", ""1'   )    )    where"", ""1\""   )    )    union"", "" select * from users"", ""1   )    )    union "", "" select * from users"", ""-3487\""   )    )    u"", "" select * from users"", "" select * from users"", ""1%'   )    )    unio"", "" select * from users"", "" select * from users"", ""1   )    )    union "", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", "" select * from users"", ""1\""   )    )    union"", "" select * from users"", "" select * from users"", ""1   )    )    union "", ""1%' union all select"", ""1%'  )   union all s"", "" select * from users"", ""-3478\""   )    )    a"", ""1   )    )    as tms"", ""1%\""   )   union all "", "" select * from users""]",
