id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,error,156,67,31,55,3,0,8,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,24,0.15717051923274994,0.362540066242218,0.13675282895565033,3.952561378479004,34,2.6375741958618164,12,4,1,0,0,1,2,1,1,1,R000165,4.885502465620417
CTGAN_000002,attack,error,158,35,0,54,5,1,14,6,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,23,0.1785065084695816,0.38862961530685425,0.12179125845432281,3.6989052295684814,38,2.659688711166382,11,4,0,0,0,1,1,0,3,1,R000298,6.125700448115491
CTGAN_000003,attack,error,198,55,27,61,0,0,11,4,0,2,0,0,3,0,1,0,0,0,5,0,0,0,0,18,0.3036191165447235,0.39932453632354736,0.13205638527870178,3.8693809509277344,42,2.8847105503082275,11,3,0,1,0,1,2,0,2,0,R000008,9.378453788499245
CTGAN_000004,attack,error,176,67,34,82,0,0,10,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0.12504573166370392,0.38103845715522766,0.1443452090024948,3.432018995285034,41,2.5024497509002686,7,2,0,2,0,1,1,0,0,1,R000080,6.5404570717275705
CTGAN_000005,attack,error,158,66,34,86,0,0,16,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0.28221404552459717,0.4135325253009796,0.1359255313873291,3.7490944862365723,39,2.5921125411987305,12,4,3,1,0,1,0,0,1,1,R000117,5.646650654953438
CTGAN_000006,attack,error,125,49,19,47,0,1,12,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,23,0.24283768236637115,0.4023831784725189,0.13170719146728516,3.730093002319336,49,2.5852088928222656,11,4,0,0,1,0,1,0,0,1,R000181,5.854134449384059
CTGAN_000007,attack,error,163,37,48,77,0,0,14,4,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,20,0.2779688537120819,0.44031453132629395,0.13694770634174347,3.965965509414673,31,2.5853142738342285,12,3,0,0,0,1,0,0,3,1,R000239,6.062327486455541
CTGAN_000008,attack,error,176,58,31,68,1,0,16,4,0,2,2,0,0,0,1,0,0,2,0,0,0,0,0,27,0.3363327980041504,0.39244362711906433,0.12253378331661224,3.7143075466156006,29,2.7990853786468506,11,3,1,0,0,1,1,0,1,1,R000312,5.510306741959475
CTGAN_000009,attack,error,157,59,34,78,5,0,10,6,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,23,0.22427013516426086,0.372925341129303,0.12094085663557053,3.5475502014160156,44,2.722618579864502,11,4,0,0,0,1,1,0,1,1,R000225,3.9548607778235927
CTGAN_000010,attack,error,150,42,26,63,0,2,15,7,0,1,2,0,0,0,1,0,0,0,0,3,0,1,1,20,0.2614016532897949,0.41447076201438904,0.10698260366916656,3.9117071628570557,37,2.241359233856201,11,3,2,1,0,0,0,0,3,1,R000065,6.8306091670846865
CTGAN_000011,attack,error,185,52,3,59,0,0,16,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0.21300747990608215,0.41038280725479126,0.12681955099105835,3.666869640350342,43,2.6241040229797363,12,1,0,0,0,1,0,1,0,1,R000276,5.455242689761683
CTGAN_000012,attack,error,154,64,1,59,0,0,17,6,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,27,0.31080541014671326,0.4032723903656006,0.12578870356082916,3.6998517513275146,37,2.4954044818878174,12,4,0,0,0,1,3,3,0,0,R000155,8.097828219443958
CTGAN_000013,attack,error,96,53,41,62,0,0,11,5,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,28,0.1568768322467804,0.37449073791503906,0.1338813155889511,3.6606099605560303,49,2.7309882640838623,11,3,1,0,0,1,2,0,1,1,R000057,6.1868926696174364
CTGAN_000014,attack,error,187,61,23,62,0,0,13,6,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,20,0.19796845316886902,0.40234673023223877,0.14720968902111053,3.8213560581207275,32,2.3086960315704346,5,3,1,3,0,1,0,0,1,1,R000086,6.827498635103125
CTGAN_000015,attack,error,174,45,27,65,0,0,8,5,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,19,0.04501589015126228,0.3458954691886902,0.11193142086267471,3.78426194190979,50,2.982396364212036,12,4,1,0,0,0,0,0,2,1,R000072,7.017457667057779
CTGAN_000016,attack,error,165,67,44,60,5,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,22,0.18949009478092194,0.41650527715682983,0.11799895018339157,3.690157175064087,35,2.362205743789673,11,3,1,0,0,1,0,0,3,1,R000184,8.184686692613527
CTGAN_000017,attack,error,181,62,26,66,0,0,13,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.23068886995315552,0.41162532567977905,0.14562015235424042,3.6498658657073975,38,2.536027431488037,12,4,1,0,1,0,3,0,0,0,R000276,6.62794174848153
CTGAN_000018,attack,error,175,37,31,80,2,0,11,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,23,0.26713085174560547,0.46309882402420044,0.13373437523841858,3.7951107025146484,43,2.657224178314209,12,6,1,0,1,1,2,1,2,1,R000281,6.216798936177155
CTGAN_000019,attack,error,171,66,4,65,0,0,11,6,0,1,0,0,0,0,2,1,0,4,0,0,0,0,0,24,0.17437250912189484,0.3809927999973297,0.13566720485687256,3.9945566654205322,40,2.594663619995117,11,4,0,2,0,1,0,1,1,1,R000036,6.862545299560145
CTGAN_000020,attack,error,167,37,36,52,0,0,12,4,0,2,0,0,2,0,0,0,0,1,0,1,3,0,0,18,0.21149837970733643,0.42454925179481506,0.10221157968044281,4.535608768463135,29,2.678962230682373,12,4,0,0,0,1,1,0,1,1,R000115,7.615933347342947
CTGAN_000021,attack,error,171,68,26,64,4,0,10,2,0,2,0,0,2,0,0,0,0,0,4,2,0,0,1,27,0.1757836639881134,0.370330274105072,0.12970294058322906,3.930483341217041,38,2.8257100582122803,12,4,2,0,0,1,0,0,2,1,R000009,7.626163203413458
CTGAN_000022,attack,error,144,56,49,74,2,0,10,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0.20950984954833984,0.41608262062072754,0.14483128488063812,3.925337314605713,45,2.5707578659057617,12,4,0,0,0,1,1,0,3,0,R000036,5.882550030397615
CTGAN_000023,attack,error,187,34,29,82,1,0,11,5,0,2,0,0,0,0,1,0,0,2,0,2,0,0,0,21,0.11695380508899689,0.3228512406349182,0.1405865103006363,3.7676594257354736,52,2.7789735794067383,12,4,2,2,0,1,0,0,0,0,R000155,6.745569512795676
CTGAN_000024,attack,error,156,45,0,65,0,0,11,6,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,0.2089935541152954,0.3509679138660431,0.13852842152118683,4.0299201011657715,41,3.6601040363311768,11,4,2,0,0,1,0,0,1,1,R000165,7.921871435029901
CTGAN_000025,attack,error,111,54,21,66,0,0,14,7,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,25,0.22969162464141846,0.39523231983184814,0.12677130103111267,3.6748077869415283,43,2.5484607219696045,12,4,1,1,0,0,1,1,0,0,R000183,6.562476715934661
CTGAN_000026,attack,error,137,56,33,69,0,0,17,6,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,26,0.15439008176326752,0.43173691630363464,0.1403333693742752,3.739971160888672,32,3.3547143936157227,12,4,1,3,0,1,0,1,2,1,R000134,7.755218904579515
CTGAN_000027,attack,error,150,52,36,66,3,0,17,5,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,23,0.16001297533512115,0.43212687969207764,0.12605026364326477,3.582651376724243,40,2.6799724102020264,12,1,2,0,0,1,1,0,1,1,R000044,6.882720557803502
CTGAN_000028,attack,error,132,50,32,57,0,0,15,7,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,25,0.17199215292930603,0.3587808907032013,0.16072815656661987,3.4515206813812256,38,2.640411138534546,12,4,1,0,1,1,0,0,1,1,R000044,7.3354509229106855
CTGAN_000029,attack,error,183,61,8,68,0,1,12,0,0,2,3,0,1,0,0,0,0,2,0,0,0,0,0,19,0.23361970484256744,0.3328953683376312,0.12984248995780945,3.8188395500183105,47,3.615415573120117,12,4,0,0,0,1,2,0,2,1,R000186,7.567739564752672
CTGAN_000030,attack,error,179,36,31,71,0,0,16,5,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,33,0.19390888512134552,0.3681600093841553,0.14463850855827332,3.7183799743652344,52,2.73039174079895,12,2,3,2,0,1,2,0,0,1,R000090,7.284127116271456
CTGAN_000031,attack,error,162,51,25,83,2,0,12,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,23,0.2605314254760742,0.3682844936847687,0.094542495906353,3.9241244792938232,41,2.57080078125,12,5,1,0,0,1,3,0,2,1,R000113,6.232852428405688
CTGAN_000032,attack,error,166,52,37,94,0,0,15,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0.2585088014602661,0.3914338946342468,0.1387416422367096,3.618481159210205,35,2.600886583328247,11,4,0,0,0,1,3,0,1,1,R000157,5.992567306507633
CTGAN_000033,attack,error,154,42,43,85,0,0,16,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0.24650730192661285,0.34517842531204224,0.1407608836889267,3.3004934787750244,49,2.3762753009796143,12,4,1,0,1,1,0,2,3,1,R000262,6.901245466496223
CTGAN_000034,attack,error,142,58,39,55,0,0,15,5,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,22,0.289704829454422,0.3462444841861725,0.13473917543888092,3.6934211254119873,35,2.5724613666534424,12,4,1,0,0,1,0,0,1,1,R000302,5.577856452558211
CTGAN_000035,attack,error,161,47,35,56,0,0,10,7,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,24,0.2514881491661072,0.3637992739677429,0.13081899285316467,3.8660295009613037,33,2.654696464538574,11,4,2,1,0,1,0,0,1,1,R000246,4.80395992541045
CTGAN_000036,attack,error,170,66,43,68,0,3,12,4,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,11,0.18097710609436035,0.39538297057151794,0.14163735508918762,3.967442035675049,50,2.6461009979248047,5,4,0,0,0,1,2,1,2,1,R000105,7.4589240021392005
CTGAN_000037,attack,error,144,42,32,49,0,0,17,6,1,1,2,0,1,0,0,2,0,0,0,1,4,0,0,23,0.21394702792167664,0.4376258850097656,0.08331966400146484,3.6663737297058105,52,2.588927984237671,12,3,0,0,0,1,1,0,0,1,R000125,9.61064438471085
CTGAN_000038,attack,error,152,65,31,61,0,0,15,6,0,2,0,0,0,0,0,0,0,3,0,1,0,1,0,22,0.12504523992538452,0.3561803698539734,0.12396633625030518,3.802992105484009,35,2.6160378456115723,11,3,0,0,0,1,3,0,1,1,R000219,7.051818195189461
CTGAN_000039,attack,error,172,67,35,71,0,0,11,1,0,2,0,0,0,0,1,0,0,2,0,2,0,0,0,11,0.2622933089733124,0.3678070902824402,0.12874409556388855,3.765137195587158,40,2.2714879512786865,12,4,2,0,0,0,2,0,2,1,R000239,7.1320500316356314
CTGAN_000040,attack,error,175,38,37,65,5,0,16,5,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,21,0.25565335154533386,0.44826510548591614,0.12519702315330505,3.768524646759033,35,2.6582882404327393,11,3,0,0,0,1,1,2,1,1,R000016,5.017737710172938
CTGAN_000041,attack,error,128,39,42,58,5,0,16,4,2,1,0,1,0,0,0,0,0,3,0,2,0,0,1,22,0.1935412883758545,0.3410699665546417,0.10696864128112793,3.619027614593506,52,2.761465311050415,12,3,0,0,0,1,1,0,0,1,R000086,7.135612834036602
CTGAN_000042,attack,error,172,51,44,55,0,0,15,5,0,1,0,0,2,0,1,0,0,3,0,0,0,0,1,29,0.21865680813789368,0.36120185256004333,0.10370107740163803,3.8358116149902344,51,2.514803647994995,12,1,2,1,0,1,0,0,1,1,R000219,6.655413527827026
CTGAN_000043,attack,error,164,52,35,66,0,1,16,5,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,25,0.2151319980621338,0.3794326186180115,0.1349402666091919,3.879189968109131,27,2.826124429702759,11,4,0,1,0,1,1,2,0,1,R000105,5.798661846638492
CTGAN_000044,attack,error,164,53,35,79,0,0,16,6,0,1,2,0,0,0,0,0,0,1,8,0,0,0,0,15,0.24499726295471191,0.3984012305736542,0.13165166974067688,4.104024410247803,29,2.613241195678711,12,4,0,0,0,1,0,0,3,1,R000006,11.131273785222854
CTGAN_000045,attack,error,129,49,0,49,0,0,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.1817311942577362,0.40849238634109497,0.16842113435268402,3.5658411979675293,34,2.5804381370544434,4,4,1,1,0,1,1,2,0,1,R000132,8.0238375314755
CTGAN_000046,attack,error,168,44,23,57,0,0,12,0,0,1,2,0,0,0,1,0,0,1,0,3,2,0,1,23,0.14349888265132904,0.3655375838279724,0.1383180469274521,3.8762545585632324,45,2.890806198120117,4,4,1,0,0,1,2,0,0,1,R000125,7.786407859087342
CTGAN_000047,attack,error,178,58,40,74,0,0,14,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,21,0.2083377242088318,0.44360804557800293,0.16092035174369812,3.6142594814300537,44,2.646527051925659,12,4,0,0,0,1,2,1,0,1,R000157,4.507507324747569
CTGAN_000048,attack,error,182,66,28,76,0,0,14,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,21,0.16498376429080963,0.40403956174850464,0.13385972380638123,3.8919708728790283,26,2.5982160568237305,10,3,0,0,0,1,1,0,0,1,R000300,5.219066877902262
CTGAN_000049,attack,error,110,41,40,70,0,5,10,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,24,0.16971355676651,0.440940797328949,0.135677307844162,3.8182177543640137,50,2.616849422454834,13,4,0,1,0,1,2,1,2,1,R000216,6.269187351682303
CTGAN_000050,attack,error,177,62,30,74,0,0,11,6,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,17,0.19186820089817047,0.3545128405094147,0.12025512009859085,3.5652260780334473,44,2.7030258178710938,11,3,1,0,1,1,2,0,2,1,R000181,5.429011425891957
CTGAN_000051,attack,error,140,55,26,53,0,0,15,4,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,21,0.17740990221500397,0.37087950110435486,0.1263410449028015,3.375033378601074,44,2.673966407775879,12,4,0,0,0,0,3,0,3,1,R000285,6.785116586397936
CTGAN_000052,attack,error,122,36,39,74,0,0,16,5,2,2,2,0,1,0,0,0,1,1,0,0,3,0,0,25,0.29128608107566833,0.4257839024066925,0.1267470121383667,3.385664939880371,48,3.0387306213378906,11,1,0,0,1,1,2,3,0,1,R000044,10.007776482353265
