id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,error,117,101,40,187,0,0,47,7,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,51,0.29276177287101746,0.3735925555229187,0.11815197020769119,3.853910446166992,29,2.9607274532318115,19,5,1,0,0,1,0,2,0,1,R000241,8.013677234286178
CTGAN_000002,attack,error,441,67,6,106,0,0,13,1,0,3,0,0,0,0,0,0,0,2,0,0,3,0,1,10,0.16547521948814392,0.39801642298698425,0.12254874408245087,3.4277377128601074,37,2.0054430961608887,16,3,0,0,1,1,0,0,0,1,R000302,6.712413291506529
CTGAN_000003,attack,error,223,71,31,73,0,0,4,5,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,16,0.07296773791313171,0.4479874074459076,0.11651242524385452,3.745145797729492,33,3.862231492996216,10,4,0,0,0,1,2,0,1,1,R000170,5.879533927613893
CTGAN_000004,attack,error,137,67,49,151,0,0,7,2,1,2,0,0,0,22,0,0,0,0,0,0,0,2,0,65,0.1089124009013176,0.3686197102069855,0.12471143156290054,3.7113564014434814,102,2.828184127807617,11,2,0,0,0,0,1,0,0,1,R000196,5.533646954266727
CTGAN_000005,attack,error,138,45,42,135,0,0,47,4,2,4,2,0,3,24,3,0,0,2,0,0,0,0,0,64,0.1044543981552124,0.38945069909095764,0.11283229291439056,4.126640319824219,75,2.276824712753296,11,8,0,0,0,1,2,1,0,1,R000294,8.303665908614406
CTGAN_000006,attack,error,369,74,53,84,4,0,14,5,0,2,0,0,0,22,0,0,0,1,0,0,0,0,1,29,0.12907487154006958,0.3782585561275482,0.11914924532175064,3.7805604934692383,92,2.797734022140503,13,1,0,0,0,0,1,0,0,1,R000196,4.878652158176145
CTGAN_000007,attack,error,243,69,41,37,5,0,39,5,0,1,0,1,2,0,0,0,0,2,0,1,0,0,0,78,0.3002478778362274,0.35604190826416016,0.14598730206489563,3.364767551422119,54,2.33742356300354,18,8,0,0,0,0,0,0,1,1,R000148,7.671049410255071
CTGAN_000008,attack,error,151,65,39,100,1,0,18,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,29,0.10829313099384308,0.3442997336387634,0.09486520290374756,3.7447433471679688,78,3.4329965114593506,6,3,0,0,0,1,0,1,2,0,R000062,5.885074192378179
CTGAN_000009,attack,error,180,45,53,162,0,0,15,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,36,0.19534452259540558,0.36169251799583435,0.11104197800159454,3.95318865776062,36,2.0439419746398926,13,4,0,0,0,0,0,2,1,1,R000241,4.727923112588697
CTGAN_000010,attack,error,228,45,25,55,0,0,7,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,14,0.1399906873703003,0.337125301361084,0.10986901819705963,3.938462257385254,22,3.7144904136657715,19,2,0,0,0,1,0,0,0,1,R000187,5.408410274965695
