id,label,payload_type,length,num_letters,num_digits,num_spaces,num_single_quotes,num_double_quotes,num_parentheses,num_commas,num_semicolons,num_equal,num_dash,num_slash,num_backslash,num_pipe,num_ampersand,num_percent,num_hash,num_at,num_underscore,num_angle,num_plus,num_star,num_comment_tokens,num_special,ratio_digits,ratio_spaces,ratio_special,entropy,token_count,avg_token_len,max_token_len,sql_keyword_count,has_union_select,has_boolean_pattern,has_time_pattern,has_error_pattern,has_order_pattern,has_stacked_pattern,has_exists_pattern,has_encoded_pattern,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,118,73,15,171,5,0,14,0,2,2,2,0,1,1,0,1,0,1,0,0,1,2,0,11,0.07191665470600128,0.5136538147926331,0.22891107201576233,3.5323383808135986,63,2.2775039672851562,14,1,0,0,0,0,0,0,0,1,R000026,6.660423746343062
CTGAN_000002,attack,boolean,0,90,29,60,2,5,5,0,0,4,1,0,1,3,0,0,2,0,0,0,0,0,1,3,0.05344883352518082,0.3836420774459839,0.22702541947364807,3.091935634613037,104,3.0028743743896484,17,2,0,0,0,0,0,0,0,0,R000028,8.007864275618909
CTGAN_000003,attack,boolean,32,110,13,3,1,0,0,4,2,2,2,0,1,8,0,2,1,0,0,0,2,0,0,21,0.15158191323280334,0.48010382056236267,0.08299799263477325,3.6115472316741943,14,2.9269216060638428,10,0,0,1,0,1,1,0,2,0,R000023,7.493582762780785
CTGAN_000004,attack,boolean,173,97,40,29,0,0,28,0,2,3,2,0,1,14,0,0,2,2,0,0,15,0,0,0,0.1475348174571991,0.2393459975719452,0.12710382044315338,3.5452630519866943,79,2.0271177291870117,13,6,0,0,0,0,2,0,2,0,R000013,9.158225434484972
CTGAN_000005,attack,boolean,203,82,30,8,4,1,0,6,1,3,1,0,0,1,0,1,2,0,0,1,0,0,1,17,0.15095558762550354,0.5085570812225342,0.2131495177745819,3.4738972187042236,17,3.24145245552063,10,2,0,0,0,2,0,0,1,0,R000031,7.099486183132023
CTGAN_000006,attack,boolean,96,119,32,47,3,0,8,6,0,1,0,0,1,0,1,0,2,0,2,0,7,2,0,53,0.3157285153865814,0.3215242028236389,0.1533237099647522,3.2369751930236816,23,2.8531312942504883,6,5,0,0,0,0,1,0,1,0,R000020,6.901859332618825
CTGAN_000007,attack,boolean,186,39,24,0,0,0,0,0,0,0,4,0,0,16,0,4,2,2,1,0,0,1,0,6,0.47364601492881775,0.259769082069397,0.1483326107263565,3.6516239643096924,30,2.061774253845215,13,3,1,0,0,1,0,0,0,0,R000019,8.794858938267502
CTGAN_000008,attack,boolean,333,62,35,0,0,1,36,6,0,2,1,0,0,0,1,0,1,4,0,0,0,1,0,25,0.09770896285772324,0.4880383014678955,0.09462194889783859,3.117858648300171,8,3.0859692096710205,20,2,0,0,0,0,0,0,0,0,R000020,8.00405738008303
CTGAN_000009,attack,boolean,96,95,97,37,1,0,2,2,2,2,4,0,0,0,2,0,3,0,1,0,2,1,0,10,0.03999636322259903,0.2561488747596741,0.065650574862957,3.5593042373657227,35,3.2803850173950195,8,4,0,0,0,0,0,1,3,1,R000016,8.621230202280016
CTGAN_000010,attack,boolean,222,83,4,40,3,5,11,1,1,2,2,0,0,1,2,2,2,3,0,2,0,1,0,67,0.04426320642232895,0.40851229429244995,0.055239006876945496,3.078998565673828,25,2.866677761077881,5,5,0,0,0,0,2,0,1,0,R000028,7.781186231577722
CTGAN_000011,attack,boolean,172,0,34,26,2,0,10,0,2,4,3,0,1,17,2,1,0,0,2,0,1,1,1,14,0.04628608375787735,0.48290637135505676,0.11714987456798553,3.399825096130371,35,2.486840009689331,6,0,0,0,1,0,0,0,0,0,R000005,8.056810161550898
CTGAN_000012,attack,boolean,136,47,44,137,7,2,2,3,1,1,3,0,1,0,0,0,0,0,2,0,1,0,1,0,0.04290972650051117,0.42442840337753296,0.23669683933258057,2.98714017868042,79,2.001075267791748,20,3,0,0,0,0,0,0,0,1,R000012,7.0184655725421505
CTGAN_000013,attack,boolean,384,125,34,145,0,2,18,1,2,2,1,0,0,0,2,0,3,0,0,1,0,1,0,34,0.3557114005088806,0.40568017959594727,0.08191289007663727,4.177282333374023,110,3.345266342163086,9,3,0,0,1,0,1,0,0,0,R000009,7.931741379077485
CTGAN_000014,attack,boolean,58,57,23,51,6,0,4,0,2,1,2,1,1,0,1,0,1,1,0,0,1,0,1,15,0.03919166326522827,0.4844377040863037,0.21529430150985718,3.247097969055176,128,2.164764642715454,10,0,0,0,1,1,2,0,0,0,R000022,6.479765245330754
CTGAN_000015,attack,boolean,42,105,32,76,3,4,13,0,3,2,2,0,0,1,0,0,0,3,0,0,1,1,1,16,0.11847440898418427,0.5383800268173218,0.17270222306251526,3.4987101554870605,102,3.220646858215332,15,3,0,0,3,0,1,1,0,0,R000009,8.734323080806742
CTGAN_000016,attack,boolean,336,95,25,26,3,0,5,1,2,2,1,0,0,0,0,0,2,2,0,0,0,0,0,52,0.04468454420566559,0.4882670044898987,0.15902888774871826,3.6780214309692383,34,3.582566261291504,5,2,0,0,0,0,1,0,0,1,R000012,7.316481509643776
CTGAN_000017,attack,boolean,0,55,26,94,0,1,7,1,2,2,3,0,1,0,0,1,0,2,0,0,0,0,1,38,0.045494094491004944,0.5780752897262573,0.11804379522800446,2.8449063301086426,38,2.5070202350616455,6,6,0,0,2,0,0,0,2,0,R000011,7.451398679269519
CTGAN_000018,attack,boolean,74,68,42,63,3,0,22,2,3,2,1,0,0,0,2,0,0,0,2,0,12,1,1,20,0.2952979803085327,0.43387308716773987,0.1375870406627655,3.470266342163086,22,2.3065125942230225,11,2,0,0,0,0,3,0,0,0,R000031,7.6627051834582725
CTGAN_000019,attack,boolean,266,84,45,39,0,0,22,0,3,2,1,0,0,2,0,1,2,1,0,0,3,1,0,19,0.09043414890766144,0.39032620191574097,0.17342384159564972,4.123652458190918,37,1.81856369972229,16,5,2,0,0,0,0,0,0,0,R000012,6.794987998611678
CTGAN_000020,attack,boolean,0,42,39,51,3,2,3,3,0,2,1,0,0,1,1,0,0,3,0,0,9,0,1,0,0.12565994262695312,0.49513834714889526,0.12007366865873337,2.4441239833831787,57,2.3578155040740967,12,5,0,0,0,0,0,0,1,0,R000011,7.450197584387607
CTGAN_000021,attack,boolean,159,97,37,0,2,0,9,9,0,2,2,0,0,7,0,0,2,3,0,0,2,0,0,34,0.3450013995170593,0.23888719081878662,0.11729739606380463,3.428953170776367,0,2.4923133850097656,10,7,0,0,2,1,0,0,0,1,R000020,8.33027647485896
CTGAN_000022,attack,boolean,428,4,8,14,0,0,27,3,0,2,1,0,0,1,1,0,1,0,3,0,0,0,1,43,0.08778072893619537,0.2876761555671692,0.19240666925907135,4.1957807540893555,111,1.9059243202209473,8,1,0,0,0,0,0,1,1,1,R000025,6.072125646493641
CTGAN_000023,attack,boolean,354,114,24,14,6,0,1,1,0,2,2,0,0,0,0,0,2,0,1,0,0,0,1,42,0.06401536613702774,0.36579471826553345,0.18635034561157227,3.498192310333252,82,2.424382448196411,15,5,0,0,0,1,0,2,2,1,R000012,6.397909082992951
CTGAN_000024,attack,boolean,74,24,40,14,6,1,12,0,0,2,2,0,3,15,0,0,0,2,0,0,0,0,0,12,0.08940497040748596,0.5277101397514343,0.19907230138778687,3.2636642456054688,96,2.5165536403656006,18,1,1,0,0,0,0,0,0,1,R000012,7.038368013451977
